,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Sergio Asenjo,es  ESP,GK,Villarreal,31-266,1989,27.0,31,5,0,2,2,25.4,0.24,-2.6,-0.10,160,355,45.1,759,150,33.6,35.1,199,50.3,43.4,318,31,9.7,15,0.56,13.7
1,Édgar Badía,es  ESP,GK,Elche,29-037,1992,27.0,41,3,0,4,0,40.5,0.30,-0.5,-0.02,237,470,50.4,789,127,39.0,35.5,260,62.3,42.5,278,18,6.5,18,0.67,13.3
2,Rubén Blanco,es  ESP,GK,Celta Vigo,25-239,1995,18.2,27,1,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9
3,Yassine Bounou,ma  MAR,GK,Sevilla,29-350,1991,24.0,16,2,0,3,2,16.2,0.21,+3.2,+0.14,140,296,47.3,616,96,34.7,35.2,145,56.6,43.9,195,22,11.3,15,0.65,15.4
4,Claudio Bravo,cl  CHI,GK,Betis,37-342,1983,10.0,16,2,0,2,1,16.6,0.40,+1.6,+0.16,73,179,40.8,284,45,51.4,41.5,53,62.3,49.5,67,4,6.0,3,0.30,12.3
5,Dani Cárdenas,es  ESP,GK,Levante,23-358,1997,3.0,2,0,0,0,0,4.1,0.19,+2.1,+0.71,19,43,44.2,71,18,42.3,34.7,29,44.8,38.5,46,2,4.3,2,0.67,13.4
6,Alberto Cifuentes,es  ESP,GK,Cádiz,41-296,1979,2.0,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1.00,14.3
7,Jasper Cillessen,nl  NED,GK,Valencia,31-333,1989,4.0,5,1,0,0,0,5.5,0.36,+0.5,+0.12,28,67,41.8,84,17,57.1,42.5,31,61.3,45.4,35,4,11.4,6,1.50,15.5
8,Thibaut Courtois,be  BEL,GK,Real Madrid,28-314,1992,28.0,23,6,0,3,1,23.5,0.24,+2.5,+0.09,96,253,37.9,748,156,24.3,32.1,167,42.5,40.7,205,18,8.8,17,0.63,14.8
9,Marko Dmitrović,rs  SRB,GK,Eibar,29-056,1992,26.7,32,3,0,2,0,33.1,0.34,+2.1,+0.08,223,587,38.0,627,70,68.6,54.6,172,91.3,72.8,209,14,6.7,29,1.13,17.1
10,Jaume Doménech,es  ESP,GK,Valencia,30-136,1990,23.0,32,3,2,4,2,31.5,0.28,+1.5,+0.07,236,457,51.6,534,85,55.6,41.9,212,75.5,54.8,270,19,7.0,11,0.48,13.3
