,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,30-229,1990,18.7,852,1073,79.4,14277,6701,438,492,89.0,324,398,81.4,76,144,52.8,1,0.8,+0.2,11,65,26,4,107
1,Tammy Abraham,eng  ENG,FW,Chelsea,23-195,1997,11.3,147,215,68.4,2045,327,90,116,77.6,39,63,61.9,9,15,60.0,1,0.9,+0.1,8,12,2,0,11
2,Che Adams,sco  SCO,FW,Southampton,24-276,1996,24.3,358,516,69.4,5828,1290,182,244,74.6,114,151,75.5,41,56,73.2,4,4.6,-0.6,26,22,18,1,48
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,23-203,1997,27.0,1257,1453,86.5,29867,9839,234,263,89.0,721,768,93.9,292,399,73.2,0,0.3,-0.3,4,60,3,0,57
4,Adrián,es  ESP,GK,Liverpool,34-102,1987,3.0,76,99,76.8,2031,1135,16,16,100.0,37,38,97.4,21,43,48.8,0,0.0,0.0,0,0,0,0,0
5,Sergio Agüero,ar  ARG,FW,Manchester City,32-317,1988,4.2,85,101,84.2,1009,130,53,59,89.8,18,21,85.7,3,3,100.0,0,0.6,-0.6,3,6,2,0,5
6,Ola Aina,ng  NGA,DF,Fulham,24-189,1996,26.9,1240,1594,77.8,23948,9961,482,534,90.3,579,673,86.0,162,335,48.4,1,1.4,-0.4,14,93,15,9,97
7,Rayan Aït Nouri,fr  FRA,DF,Wolves,19-313,2001,9.8,398,473,84.1,6466,1946,200,217,92.2,174,198,87.9,18,38,47.4,1,0.7,+0.3,6,18,8,3,28
8,Semi Ajayi,ng  NGA,DF,West Brom,27-157,1993,24.4,597,811,73.6,12996,5456,174,203,85.7,309,378,81.7,112,219,51.1,0,0.1,-0.1,2,51,3,0,51
9,Nathan Aké,nl  NED,DF,Manchester City,26-056,1995,5.9,472,507,93.1,8605,2426,196,204,96.1,237,252,94.0,37,45,82.2,0,0.0,0.0,1,39,0,0,28
