,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Portu,7.0,es  ESP,"FW,RW",29-086,65,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0.0
1,Julen Lobete,35.0,es  ESP,RW,20-331,25,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,
2,Mikel Oyarzabal,10.0,es  ESP,"LW,AM",24-116,90,0,0,0,0,0,0,0,2,1,0,0,0,6,1,1,50.0
3,Adnan Januzaj,11.0,be  BEL,RW,26-191,45,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0.0
4,Ander Barrenetxea,22.0,es  ESP,"LW,RW",19-231,45,0,0,0,1,1,0,0,2,1,0,0,0,2,1,0,100.0
5,David Silva,21.0,es  ESP,AM,35-219,45,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,
6,Jon Bautista,25.0,es  ESP,"FW,AM",26-043,45,0,0,0,1,1,1,0,1,0,0,0,0,2,1,1,50.0
7,Martín Zubimendi,3.0,es  ESP,DM,22-194,90,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
8,Mikel Merino,8.0,es  ESP,DM,25-054,90,0,0,0,2,2,0,0,1,1,0,0,0,10,1,2,33.3
9,Aihen Muñoz,12.0,es  ESP,LB,23-364,90,1,0,0,3,2,0,4,3,2,0,0,0,9,3,1,75.0
10,Robin Le Normand,24.0,fr  FRA,CB,24-277,90,1,0,0,5,1,0,0,4,0,0,0,0,9,0,1,0.0
11,Aritz Elustondo,6.0,es  ESP,CB,27-140,80,1,0,0,2,0,0,0,1,1,0,0,0,4,3,2,60.0
12,Jon Pacheco,26.0,es  ESP,CB,20-219,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,Joseba Zaldúa,2.0,es  ESP,RB,29-052,65,0,0,0,1,0,0,0,1,2,0,0,0,3,1,0,100.0
14,Andoni Gorosabel,18.0,es  ESP,RB,25-011,25,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,
15,Álex Remiro,1.0,es  ESP,GK,26-144,90,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
16,16 Players,,,,,990,4,0,0,21,11,2,4,17,12,0,0,0,64,11,11,50.0
