,Possession_Barcelona,Possession_Real Sociedad
0,63%,37%
1,Passing Accuracy,Passing Accuracy
2,519 of 594 —  87%,78%  — 274 of 351
3,Shots on Target,Shots on Target
4,8 of 13 —  62%,27%  — 3 of 11
5,Saves,Saves
6,1 of 3 —  33%,50%  — 4 of 8
7,Cards,Cards
8,,
