,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Memphis Depay,9.0,nl  NED,FW,27-183,89,0,1,0,0,2,2,0,0,58,10,0,0,1,0.4,0.4,0.4,8,2,31,41,75.6,3,41,1,0,1
1,Clément Lenglet,15.0,fr  FRA,CB,26-059,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
2,Martin Braithwaite,12.0,dk  DEN,"LW,AM",30-071,90,2,1,0,0,4,3,0,0,46,8,1,0,1,0.5,0.5,1.3,3,1,22,28,78.6,0,35,3,2,3
3,Antoine Griezmann,7.0,fr  FRA,"RW,FW",30-147,90,0,0,0,0,3,0,0,0,60,26,5,1,3,0.2,0.2,0.0,1,1,29,34,85.3,2,45,4,2,3
4,Pedri,16.0,es  ESP,"CM,DM",18-263,90,0,0,0,0,1,1,0,0,58,26,2,0,2,0.1,0.1,0.0,2,1,42,46,91.3,2,45,4,0,0
5,Frenkie de Jong,21.0,nl  NED,CM,24-095,70,0,1,0,0,0,0,0,0,38,9,0,2,0,0.0,0.0,0.5,4,1,33,34,97.1,4,33,7,1,1
6,Sergi Roberto,20.0,es  ESP,"CM,AM",29-189,20,1,0,0,0,1,1,0,0,15,3,0,0,0,0.8,0.8,0.1,1,0,14,14,100.0,0,10,0,0,0
7,Sergio Busquets,5.0,es  ESP,DM,33-030,82,0,0,0,0,0,0,1,0,56,15,1,1,1,0.0,0.0,0.0,0,0,44,49,89.8,3,39,3,0,0
8,Nicolás González,28.0,es  ESP,DM,19-224,8,0,0,0,0,0,0,1,0,7,2,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,1,0,0
9,Jordi Alba,18.0,es  ESP,"LB,WB",32-147,90,0,0,0,0,1,0,0,0,96,11,2,3,5,0.4,0.4,0.1,2,1,65,84,77.4,8,57,5,2,3
10,Gerard Piqué,3.0,es  ESP,CB,34-194,90,1,0,0,0,1,1,0,0,83,7,1,3,2,0.2,0.2,0.0,1,0,73,75,97.3,2,56,1,0,0
11,Eric García,24.0,es  ESP,CB,20-218,82,0,0,0,0,0,0,0,0,86,7,2,3,3,0.0,0.0,0.0,1,0,74,76,97.4,8,59,7,0,0
12,Ronald Araújo,4.0,uy  URU,CB,22-161,8,0,0,0,0,0,0,0,0,6,4,0,1,0,0.0,0.0,0.0,0,0,5,5,100.0,0,5,1,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-285,70,0,0,0,0,0,0,0,0,50,16,1,0,6,0.0,0.0,0.0,0,0,35,38,92.1,1,24,3,1,1
14,Emerson,22.0,br  BRA,"RB,WB",22-213,20,0,0,0,0,0,0,0,0,14,5,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,9,0,0,0
15,Neto,13.0,br  BRA,GK,32-027,90,0,0,0,0,0,0,0,0,51,0,0,0,0,0.0,0.0,0.0,0,0,35,48,72.9,0,33,0,0,0
16,16 Players,,,,,990,4,3,0,0,13,8,2,0,726,149,15,15,24,2.7,2.7,2.4,23,7,519,594,87.4,34,497,40,8,12
