,Real Sociedad (4-2-3-1),Real Sociedad (4-2-3-1).1
0,1,Álex Remiro
1,2,Joseba Zaldúa
2,3,Martín Zubimendi
3,6,Aritz Elustondo
4,7,Portu
5,8,Mikel Merino
6,10,Mikel Oyarzabal
7,11,Adnan Januzaj
8,12,Aihen Muñoz
9,21,David Silva
10,24,Robin Le Normand
11,Bench,Bench
12,34,Gaizka Ayesa
13,4,Asier Illarramendi
14,16,Ander Guevara
15,18,Andoni Gorosabel
16,22,Ander Barrenetxea
17,25,Jon Bautista
18,26,Jon Pacheco
19,27,Beñat Turrientes
20,29,Roberto Navarro
21,35,Julen Lobete
