,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Portu,7.0,es  ESP,"FW,RW",29-086,65,11,9,2,0,0,4,0,0,0,0,0,0,11,0,0,1,10,0,0,0,7,0,0,1,2
1,Julen Lobete,35.0,es  ESP,RW,20-331,25,7,6,1,1,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,6,0,0,0,0
2,Mikel Oyarzabal,10.0,es  ESP,"LW,AM",24-116,90,28,25,3,1,0,7,1,0,1,1,0,0,22,4,2,21,6,0,0,0,21,0,0,1,2
3,Adnan Januzaj,11.0,be  BEL,RW,26-191,45,11,9,2,0,0,4,0,0,2,0,2,0,7,1,3,9,2,0,0,0,7,0,0,2,0
4,Ander Barrenetxea,22.0,es  ESP,"LW,RW",19-231,45,15,15,0,0,1,8,0,0,0,0,0,0,12,1,2,3,11,0,0,0,10,0,0,0,3
5,David Silva,21.0,es  ESP,AM,35-219,45,18,17,1,0,0,6,0,0,0,0,0,0,12,1,5,13,4,1,0,0,14,0,0,0,1
6,Jon Bautista,25.0,es  ESP,"FW,AM",26-043,45,8,7,1,0,0,2,0,0,0,0,0,0,6,2,0,2,4,1,0,0,6,0,1,0,0
7,Martín Zubimendi,3.0,es  ESP,DM,22-194,90,30,29,1,1,0,7,0,0,0,0,0,0,30,0,0,7,23,0,0,0,26,1,0,1,1
8,Mikel Merino,8.0,es  ESP,DM,25-054,90,42,41,1,1,0,6,0,0,0,0,0,0,34,3,5,33,5,3,0,0,33,0,1,1,2
9,Aihen Muñoz,12.0,es  ESP,LB,23-364,90,50,37,13,2,0,12,1,4,0,0,0,0,32,9,9,31,5,1,11,0,35,0,1,3,6
10,Robin Le Normand,24.0,fr  FRA,CB,24-277,90,46,43,3,3,0,5,1,0,0,0,0,0,35,4,7,5,37,4,0,0,40,0,2,1,0
11,Aritz Elustondo,6.0,es  ESP,CB,27-140,80,22,22,0,0,0,2,0,0,0,0,0,0,18,0,4,2,18,1,0,0,20,0,1,0,1
12,Jon Pacheco,26.0,es  ESP,CB,20-219,10,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,0,0,4,0,0,0,0
13,Joseba Zaldúa,2.0,es  ESP,RB,29-052,65,24,16,8,0,0,1,0,0,0,0,0,0,10,10,4,3,9,1,8,2,17,0,0,2,2
14,Andoni Gorosabel,18.0,es  ESP,RB,25-011,25,11,9,2,0,0,0,0,0,0,0,0,0,9,2,0,1,8,0,2,0,8,0,0,2,1
15,Álex Remiro,1.0,es  ESP,GK,26-144,90,24,19,5,2,0,3,1,0,0,0,0,0,13,0,11,3,19,0,0,2,20,0,1,0,0
16,16 Players,,,,,990,351,308,43,11,1,68,4,4,3,1,2,0,261,37,53,137,168,13,21,4,274,1,7,14,21
