,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Memphis Depay,9.0,nl  NED,FW,27-183,89,41,32,9,2,0,8,1,1,4,2,0,0,32,3,6,3,37,0,0,0,31,0,0,4,1
1,Clément Lenglet,15.0,fr  FRA,CB,26-059,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2,Martin Braithwaite,12.0,dk  DEN,"LW,AM",30-071,90,28,27,1,0,0,4,0,1,0,0,0,0,17,8,3,2,22,2,1,0,22,0,0,2,0
3,Antoine Griezmann,7.0,fr  FRA,"RW,FW",30-147,90,34,34,0,0,0,11,1,0,0,0,0,0,25,5,4,27,6,0,0,0,29,0,0,2,1
4,Pedri,16.0,es  ESP,"CM,DM",18-263,90,46,45,1,0,0,7,0,0,1,0,0,0,45,1,0,9,37,0,0,0,42,0,0,1,1
5,Frenkie de Jong,21.0,nl  NED,CM,24-095,70,34,32,2,2,1,9,0,1,0,0,0,0,32,0,2,0,32,0,0,2,33,0,0,0,0
6,Sergi Roberto,20.0,es  ESP,"CM,AM",29-189,20,14,14,0,0,0,2,0,0,0,0,0,0,13,1,0,4,10,0,0,0,14,0,0,0,0
7,Sergio Busquets,5.0,es  ESP,DM,33-030,82,49,46,3,3,0,6,1,0,0,0,0,0,40,4,5,8,36,2,0,2,44,0,1,1,0
8,Nicolás González,28.0,es  ESP,DM,19-224,8,7,6,1,1,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,6,0,0,0,0
9,Jordi Alba,18.0,es  ESP,"LB,WB",32-147,90,84,64,20,2,0,3,1,3,0,0,0,0,44,26,14,55,5,6,18,0,65,1,1,5,5
10,Gerard Piqué,3.0,es  ESP,CB,34-194,90,75,69,6,5,0,6,3,0,0,0,0,0,68,2,5,10,62,0,0,1,73,0,0,0,0
11,Eric García,24.0,es  ESP,CB,20-218,82,76,72,4,3,0,7,2,0,0,0,0,0,69,1,6,10,64,0,1,0,74,0,0,0,0
12,Ronald Araújo,4.0,uy  URU,CB,22-161,8,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,0,5,0,0,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-285,70,38,24,14,1,0,2,0,0,0,0,0,0,21,10,7,3,21,0,13,0,35,0,0,0,2
14,Emerson,22.0,br  BRA,"RB,WB",22-213,20,14,9,5,0,0,2,1,1,0,0,0,0,7,5,2,0,9,0,5,0,10,0,0,0,1
15,Neto,13.0,br  BRA,GK,32-027,90,48,42,6,0,0,19,1,0,0,0,0,0,24,0,24,5,42,0,0,1,35,0,2,0,0
16,16 Players,,,,,990,594,522,72,19,1,87,11,7,5,2,0,0,449,66,79,137,395,10,38,6,519,1,4,15,11
