,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Portu,7.0,es  ESP,"FW,RW",29-086,65,0,0,0,0,1,0,0,0,18,26,0,1,1,0.0,0.0,0.0,0,0,7,11,63.6,0,16,1,1,1
1,Julen Lobete,35.0,es  ESP,RW,20-331,25,1,0,0,0,1,1,0,0,11,6,0,0,1,0.4,0.4,0.0,1,1,6,7,85.7,0,7,0,0,0
2,Mikel Oyarzabal,10.0,es  ESP,"LW,AM",24-116,90,1,0,0,0,3,1,0,0,37,6,1,2,1,0.2,0.2,0.0,4,0,21,28,75.0,0,27,3,3,3
3,Adnan Januzaj,11.0,be  BEL,RW,26-191,45,0,0,0,0,0,0,0,0,19,2,1,1,0,0.0,0.0,0.0,1,0,7,11,63.6,3,15,0,1,4
4,Ander Barrenetxea,22.0,es  ESP,"LW,RW",19-231,45,0,1,0,0,2,0,0,0,24,7,1,2,0,0.1,0.1,0.4,4,2,10,15,66.7,1,26,5,5,6
5,David Silva,21.0,es  ESP,AM,35-219,45,0,0,0,0,0,0,0,0,19,7,1,0,0,0.0,0.0,0.0,2,0,14,18,77.8,4,15,1,1,1
6,Jon Bautista,25.0,es  ESP,"FW,AM",26-043,45,0,0,0,0,1,0,0,0,16,16,3,1,1,0.0,0.0,0.0,0,0,6,8,75.0,2,7,1,1,1
7,Martín Zubimendi,3.0,es  ESP,DM,22-194,90,0,0,0,0,0,0,1,0,36,15,3,0,1,0.0,0.0,0.0,1,0,26,30,86.7,1,28,3,0,0
8,Mikel Merino,8.0,es  ESP,DM,25-054,90,0,0,0,0,1,1,0,0,51,18,2,1,1,0.0,0.0,0.1,2,0,33,42,78.6,2,40,3,1,1
9,Aihen Muñoz,12.0,es  ESP,LB,23-364,90,0,0,0,0,2,0,1,0,66,11,4,3,1,0.0,0.0,0.0,1,0,35,50,70.0,5,42,6,3,4
10,Robin Le Normand,24.0,fr  FRA,CB,24-277,90,0,0,0,0,0,0,1,0,57,14,0,4,0,0.0,0.0,0.0,0,0,40,46,87.0,4,36,1,0,0
11,Aritz Elustondo,6.0,es  ESP,CB,27-140,80,0,0,0,0,0,0,1,0,29,8,1,1,1,0.0,0.0,0.0,0,0,20,22,90.9,3,17,1,0,0
12,Jon Pacheco,26.0,es  ESP,CB,20-219,10,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
13,Joseba Zaldúa,2.0,es  ESP,RB,29-052,65,0,0,0,0,0,0,0,0,32,2,3,1,3,0.0,0.0,0.0,0,0,17,24,70.8,0,12,0,0,0
14,Andoni Gorosabel,18.0,es  ESP,RB,25-011,25,0,0,0,0,0,0,0,0,13,4,1,0,1,0.0,0.0,0.0,0,0,8,11,72.7,0,10,3,1,1
15,Álex Remiro,1.0,es  ESP,GK,26-144,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,20,24,83.3,0,17,0,0,0
16,16 Players,,,,,990,2,1,0,0,11,3,4,0,462,143,21,17,12,0.8,0.8,0.6,16,3,274,351,78.1,25,317,28,17,22
