,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Memphis Depay,9.0,nl  NED,FW,27-183,89,31,41,75.6,553,176,13,14,92.9,13,18,72.2,3,5,60.0,1,0.4,4,3,2,1,3
1,Clément Lenglet,15.0,fr  FRA,CB,26-059,1,1,1,100.0,13,10,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
2,Martin Braithwaite,12.0,dk  DEN,"LW,AM",30-071,90,22,28,78.6,321,55,14,15,93.3,8,11,72.7,0,1,0.0,1,1.3,2,0,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,"RW,FW",30-147,90,29,34,85.3,628,112,8,10,80.0,11,12,91.7,7,7,100.0,0,0.0,0,1,0,0,2
4,Pedri,16.0,es  ESP,"CM,DM",18-263,90,42,46,91.3,676,128,20,22,90.9,17,19,89.5,3,3,100.0,0,0.0,0,7,2,0,2
5,Frenkie de Jong,21.0,nl  NED,CM,24-095,70,33,34,97.1,618,178,15,16,93.8,15,15,100.0,3,3,100.0,1,0.5,3,5,2,1,4
6,Sergi Roberto,20.0,es  ESP,"CM,AM",29-189,20,14,14,100.0,272,22,6,6,100.0,4,4,100.0,3,3,100.0,0,0.1,1,0,0,0,0
7,Sergio Busquets,5.0,es  ESP,DM,33-030,82,44,49,89.8,882,163,17,18,94.4,20,23,87.0,7,8,87.5,0,0.0,0,6,0,0,3
8,Nicolás González,28.0,es  ESP,DM,19-224,8,6,7,85.7,120,2,2,3,66.7,3,3,100.0,1,1,100.0,0,0.0,0,0,0,0,0
9,Jordi Alba,18.0,es  ESP,"LB,WB",32-147,90,65,84,77.4,1069,472,35,37,94.6,26,33,78.8,4,6,66.7,0,0.1,1,4,2,0,8
10,Gerard Piqué,3.0,es  ESP,CB,34-194,90,73,75,97.3,1570,349,19,20,95.0,42,42,100.0,12,13,92.3,0,0.0,0,3,0,0,2
11,Eric García,24.0,es  ESP,CB,20-218,82,74,76,97.4,1518,360,24,24,100.0,40,40,100.0,10,12,83.3,0,0.0,1,3,1,0,8
12,Ronald Araújo,4.0,uy  URU,CB,22-161,8,5,5,100.0,111,31,1,1,100.0,4,4,100.0,0,0,,0,0.0,0,1,0,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-285,70,35,38,92.1,547,168,20,20,100.0,13,14,92.9,2,2,100.0,0,0.0,0,2,1,0,1
14,Emerson,22.0,br  BRA,"RB,WB",22-213,20,10,14,71.4,216,26,5,5,100.0,3,4,75.0,2,4,50.0,0,0.0,0,0,0,0,1
15,Neto,13.0,br  BRA,GK,32-027,90,35,48,72.9,989,608,8,8,100.0,11,11,100.0,16,29,55.2,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,519,594,87.4,10103,2860,208,220,94.5,230,253,90.9,73,97,75.3,3,2.4,12,35,10,2,34
