,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,8,8,714,7.9,0,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.6,0.6,1.0,1.6,0.08,0.13,0.20,0.08,0.20
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,4,0,119,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.02,0.10,0.07,0.10
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,5,5,378,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.14,0.14,0.00,0.14
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,5,3,293,3.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,8,1,237,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.6,0.6,0.2,0.8,0.24,0.08,0.32,0.24,0.32
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,6,6,488,5.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,8,8,602,6.7,3,1,1,2,3,2,0,0.45,0.15,0.60,0.15,0.30,3.9,1.6,1.1,2.7,0.59,0.16,0.75,0.25,0.40
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,6,6,502,5.6,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,0.8,1.1,0.05,0.15,0.20,0.05,0.20
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12
