,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7,7,630,7.0,13,1.86,29,16,55.2,3,1,3,2,28.6,0,0,0,0,
1,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13,13,1170,13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,
2,Kepa Arrizabalaga,es  ESP,GK,eng  Chelsea,26,1994,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
3,Giorgos Athanasiadis,gr  GRE,GK,md  Sheriff Tiraspol,28,1993,5,5,450,5.0,8,1.60,34,27,79.4,2,1,2,1,20.0,1,1,0,0,0.0
4,David von Ballmoos,ch  SUI,GK,ch  Young Boys,26,1994,3,3,270,3.0,6,2.00,16,10,62.5,1,0,2,0,0.0,0,0,0,0,
5,Yassine Bounou,ma  MAR,GK,es  Sevilla,30,1991,6,6,540,6.0,5,0.83,16,12,81.3,1,3,2,2,33.3,4,2,0,2,0.0
6,Denys Boyko,ua  UKR,GK,ua  Dynamo Kyiv,33,1988,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
7,Heorhiy Bushchan,ua  UKR,GK,ua  Dynamo Kyiv,27,1994,5,5,450,5.0,11,2.20,23,13,56.5,0,0,5,0,0.0,1,1,0,0,0.0
8,Scott Carson,eng  ENG,GK,eng  Manchester City,35,1985,1,0,18,0.2,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
9,Koen Casteels,be  BEL,GK,de  Wolfsburg,29,1992,5,5,450,5.0,8,1.60,25,18,72.0,1,2,2,1,20.0,1,1,0,0,0.0
10,Dumitru Celeadnic,md  MDA,GK,md  Sheriff Tiraspol,29,1992,1,1,90,1.0,3,3.00,9,6,66.7,0,0,1,0,0.0,0,0,0,0,
11,Leonardo César Jardim,br  BRA,GK,fr  Lille,26,1995,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,
12,Diogo Costa,pt  POR,GK,pt  Porto,21,1999,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,
13,Thibaut Courtois,be  BEL,GK,es  Real Madrid,29,1992,13,13,1230,13.7,14,1.02,71,56,80.3,9,0,4,5,38.5,1,0,1,0,100.0
14,Johan Dahlin,se  SWE,GK,se  Malmö,34,1986,4,4,315,3.5,8,2.29,24,18,75.0,0,1,3,0,0.0,3,2,0,1,0.0
15,Ersin Destanoğlu,tr  TUR,GK,tr  Beşiktaş,20,2001,5,5,450,5.0,17,3.40,33,19,57.6,0,0,5,0,0.0,3,3,0,0,0.0
