,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,8,714,89,99.2,7.9,8,89,7,0,,0,1.70,10,14,-4,-0.50,-0.50,11.1,12.4,-1.3,-0.17,-0.46
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,4,119,30,22.0,1.3,0,,0,4,30,2,1.13,0,4,-4,-3.03,-1.10,0.4,3.8,-3.5,-2.61,-0.67
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,5,378,76,70.0,4.2,5,76,3,0,,0,1.20,4,3,+1,+0.24,+0.79,5.1,5.6,-0.5,-0.11,-0.17
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,5,293,59,54.3,3.3,3,84,2,2,20,0,0.80,7,12,-5,-1.54,-3.72,4.7,8.5,-3.7,-1.15,-2.39
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,8,237,30,32.9,2.6,1,60,0,7,25,0,1.56,1,6,-5,-1.90,-2.09,2.1,6.0,-3.9,-1.48,-1.95
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7,630,90,87.5,7.0,7,90,7,0,,1,1.43,12,13,-1,-0.14,+1.86,9.5,10.9,-1.4,-0.20,+1.03
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,6,488,81,90.4,5.4,6,81,3,0,,0,1.75,6,9,-3,-0.55,+1.18,3.6,12.0,-8.4,-1.55,+1.03
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,8,602,75,83.6,6.7,8,75,1,0,,0,1.70,9,11,-2,-0.30,+1.23,10.3,11.1,-0.8,-0.12,+0.25
8,Adrián,es  ESP,GK,eng  Liverpool,34,1987,0,,,,,0,,0,0,,7,,,,,,,,,,,
9,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,6,502,84,93.0,5.6,6,84,4,0,,0,1.45,7,12,-5,-0.90,-0.90,7.5,8.4,-0.9,-0.16,-0.61
10,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,1,16,16,3.0,0.2,0,,0,1,16,0,3.00,0,0,0,0.00,+1.20,0.0,0.0,0.0,+0.12,+0.49
11,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,5,412,82,76.3,4.6,5,82,4,0,,0,1.25,1,8,-7,-1.53,+2.69,1.9,11.4,-9.5,-2.08,+0.07
12,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5,450,90,83.3,5.0,5,90,5,0,,0,1.20,5,11,-6,-1.20,-6.20,7.2,7.3,-0.1,-0.02,-3.44
13,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,6,326,54,29.4,3.6,3,89,2,3,20,5,2.17,10,6,+4,+1.10,+0.07,6.8,3.9,+2.9,+0.79,-0.34
14,Ilias Akhomach,es  ESP,FW,es  Barcelona,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
15,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,12,1039,87,84.5,11.5,12,87,10,0,,1,2.00,24,11,+13,+1.13,+0.18,17.0,15.5,+1.6,+0.14,-0.31
16,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,5,373,75,69.1,4.1,5,75,3,0,,0,1.40,2,2,0,0.00,+3.77,4.5,3.4,+1.1,+0.26,+2.01
17,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,12,1042,87,96.5,11.6,12,87,9,0,,0,1.50,18,15,+3,+0.26,-2.11,15.2,16.9,-1.7,-0.14,-1.55
18,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,3,74,25,6.9,0.8,1,57,0,2,9,7,0.00,1,0,+1,+1.22,+0.95,1.1,0.9,+0.2,+0.22,+0.33
19,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,10,601,60,51.4,6.7,7,74,1,3,29,0,2.20,11,7,+4,+0.60,-1.30,10.1,6.2,+3.9,+0.58,-1.15
20,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,9,791,88,67.6,8.8,9,88,5,0,,3,2.33,18,9,+9,+1.02,-0.64,17.5,6.7,+10.8,+1.23,+0.28
21,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13,1170,90,100.0,13.0,13,90,13,0,,0,2.38,30,14,+16,+1.23,,25.7,10.8,+14.8,+1.14,
22,Teddy Alloh,fr  FRA,DF,fr  Paris S-G,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
