,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,0,0,0,4,15,5,13,5,9,0,0,0,55,9,23,28.1
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,0,0,0,6,4,0,1,0,1,0,0,0,7,3,3,50.0
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,0,0,0,10,7,0,17,12,10,0,0,0,32,1,6,14.3
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,4,0,0,7,3,0,1,3,4,0,0,0,39,2,3,40.0
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,0,0,0,10,2,1,3,3,1,0,0,0,15,7,13,35.0
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,1,0,0,0,1,0,0,0,0,0,0,0,37,0,0,
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,3,0,0,18,5,0,0,20,13,0,1,0,43,1,4,20.0
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,2,0,0,11,19,1,7,3,3,4,0,0,28,2,9,18.2
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,2,0,0,4,6,0,7,9,9,0,0,0,53,2,7,22.2
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,1,1,0,5,1,0,0,12,3,0,0,0,38,5,7,41.7
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,0,0,0,2,2,0,0,14,4,0,0,0,42,7,8,46.7
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,1,0,0,3,4,2,0,13,1,0,0,0,30,12,13,48.0
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,1,0,0,7,3,0,12,10,9,0,0,0,62,9,12,42.9
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,0,0,0,4,2,1,23,7,2,0,0,0,31,2,0,100.0
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,1,0,0,10,6,0,1,25,10,0,0,0,89,24,12,66.7
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,0,0,0,1,0,0,0,0,1,0,0,0,2,0,4,0.0
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,1,0,0,8,8,0,1,23,15,0,0,0,84,12,8,60.0
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,2,0,0,5,5,0,38,16,9,0,0,0,79,4,7,36.4
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,
20,André Almeida,pt  POR,DF,pt  Benfica,30,1990,2.6,0,0,0,2,5,0,2,9,5,0,0,0,23,8,3,72.7
21,Marcos Alonso,es  ESP,DF,eng  Chelsea,30,1990,6.1,1,0,0,10,10,0,15,10,7,0,0,0,42,10,7,58.8
22,Éder Álvarez Balanta,co  COL,MF,be  Club Brugge,28,1993,4.5,4,0,0,21,3,0,2,14,15,0,0,0,59,10,2,83.3
23,Edson Álvarez,mx  MEX,MF,nl  Ajax,23,1997,6.2,4,0,0,20,8,2,0,8,7,0,0,0,62,18,8,69.2
24,Mohamed Aly Camara,gn  GUI,DF,ch  Young Boys,23,1997,3.8,0,0,0,4,0,0,1,5,4,0,0,0,43,5,1,83.3
25,Benjamin André,fr  FRA,MF,fr  Lille,30,1990,7.0,3,0,0,13,10,1,4,12,12,0,0,0,94,22,27,44.9
26,Oleksandr Andriyevskyi,ua  UKR,MF,ua  Dynamo Kyiv,27,1994,1.1,0,0,0,0,2,0,0,4,2,0,0,0,11,0,0,
27,Angeliño,es  ESP,DF,de  RB Leipzig,24,1997,4.8,2,1,1,3,2,0,18,7,0,0,0,0,29,0,4,0.0
28,Marcos Antônio,br  BRA,MF,ua  Shakhtar,21,2000,2.8,1,0,0,4,2,0,0,3,4,0,0,0,19,0,3,0.0
29,Antony,br  BRA,FW,nl  Ajax,21,2000,6.4,1,0,0,5,11,4,23,12,4,0,0,0,53,5,5,50.0
30,Ronald Araújo,uy  URU,DF,es  Barcelona,22,1999,4.1,1,0,0,1,5,2,3,5,8,0,0,0,37,8,7,53.3
31,Danilo Arboleda,co  COL,DF,md  Sheriff Tiraspol,26,1995,6.0,1,0,0,1,1,0,0,11,3,0,0,0,19,4,3,57.1
32,Maximilian Arnold,de  GER,MF,de  Wolfsburg,27,1994,6.0,3,0,0,14,10,0,4,9,5,0,0,0,58,5,4,55.6
33,Kepa Arrizabalaga,es  ESP,GK,eng  Chelsea,26,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
34,Marco Asensio,es  ESP,"FW,MF",es  Real Madrid,25,1996,2.3,0,0,0,3,0,0,2,0,1,0,0,0,12,2,4,33.3
35,Giorgos Athanasiadis,gr  GRE,GK,md  Sheriff Tiraspol,28,1993,5.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
36,Ludwig Augustinsson,se  SWE,DF,es  Sevilla,27,1994,0.9,1,0,0,2,3,0,5,5,0,0,0,0,6,3,1,75.0
37,Serge Aurier,ci  CIV,DF,es  Villarreal,28,1992,1.5,0,0,0,1,1,0,1,3,1,0,0,0,16,4,1,80.0
38,Sardar Azmoun,ir  IRN,FW,ru  Zenit,26,1995,3.4,0,0,0,5,1,1,2,2,2,0,0,0,7,8,13,38.1
39,César Azpilicueta,es  ESP,DF,eng  Chelsea,31,1989,7.5,2,0,0,10,3,0,15,15,6,0,0,0,47,13,11,54.2
40,Eric Bailly,ci  CIV,DF,eng  Manchester Utd,27,1994,2.0,0,0,0,2,2,0,0,5,0,0,0,0,19,4,3,57.1
41,Tiemoué Bakayoko,fr  FRA,MF,it  Milan,26,1994,0.7,1,0,0,1,4,0,0,2,2,0,0,0,7,2,1,66.7
42,Ridle Baku,de  GER,"DF,FW",de  Wolfsburg,23,1998,4.6,0,0,0,4,3,0,4,4,7,0,0,0,37,3,3,50.0
43,Alejandro Balde,es  ESP,"DF,FW",es  Barcelona,17,2003,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
44,Gareth Bale,wls  WAL,FW,es  Real Madrid,32,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
45,David von Ballmoos,ch  SUI,GK,ch  Young Boys,26,1994,3.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
46,Fodé Ballo-Touré,sn  SEN,"DF,MF",it  Milan,24,1997,1.0,0,0,0,2,2,0,1,3,6,0,0,0,6,2,3,40.0
47,Jonathan Bamba,fr  FRA,"MF,FW",fr  Lille,25,1996,5.2,3,0,0,8,14,2,15,13,6,1,0,0,30,3,10,23.1
48,Nicolò Barella,it  ITA,MF,it  Inter,24,1997,5.5,0,1,0,5,10,0,9,7,9,0,0,0,35,3,2,60.0
49,Ross Barkley,eng  ENG,MF,eng  Chelsea,27,1993,1.1,0,0,0,0,1,0,1,1,0,0,0,0,10,1,0,100.0
50,Wílmar Barrios,co  COL,"MF,DF",ru  Zenit,27,1993,6.0,1,0,0,11,9,0,0,12,17,0,0,0,53,3,4,42.9
51,Gil Bastião Dias,pt  POR,FW,pt  Benfica,24,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,Alessandro Bastoni,it  ITA,DF,it  Inter,22,1999,7.4,2,0,0,11,8,0,7,13,7,0,0,0,67,11,6,64.7
53,Michy Batshuayi,be  BEL,FW,tr  Beşiktaş,27,1993,4.3,1,0,0,6,4,7,5,1,2,0,0,0,9,6,6,50.0
54,Donny van de Beek,nl  NED,MF,eng  Manchester Utd,24,1997,2.3,1,0,0,4,2,0,1,5,4,0,0,0,19,1,2,33.3
55,Jude Bellingham,eng  ENG,"MF,FW",de  Dortmund,18,2003,5.6,1,0,0,10,20,1,4,10,11,1,0,0,37,10,3,76.9
56,Hatem Ben Arfa,fr  FRA,"FW,MF",fr  Lille,34,1987,0.3,1,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0.0
57,Ismaël Bennacer,dz  ALG,MF,it  Milan,23,1997,4.2,1,0,0,7,10,0,4,14,11,0,1,0,46,5,4,55.6
