,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,10,9,2,4,4,3,18,16.7,15,216,64,29.6,31,102,83,7,1,0,6,5,15,6,0
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,2,1,1,1,0,0,0,,0,18,3,16.7,6,6,6,1,0,0,1,0,2,2,0
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,14,10,7,5,2,3,10,30.0,7,53,20,37.7,22,27,4,6,1,0,5,12,26,2,0
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,9,4,4,2,3,4,12,33.3,8,94,28,29.8,24,57,13,9,2,0,7,3,12,1,0
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,2,1,1,0,1,0,1,0.0,1,48,13,27.1,2,18,28,1,0,0,1,3,5,0,0
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,18,13,14,4,0,6,17,35.3,11,136,31,22.8,90,41,5,14,4,0,10,20,38,1,0
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,3,3,2,1,0,2,6,33.3,4,108,27,25.0,10,40,58,5,0,0,5,3,6,0,0
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,14,9,4,5,5,6,12,50.0,6,73,24,32.9,24,33,16,5,1,0,4,9,23,4,0
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,5,3,4,0,1,2,5,40.0,3,44,19,43.2,29,9,6,10,4,0,6,12,17,22,0
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,6,4,4,2,0,2,7,28.6,5,47,21,44.7,26,20,1,14,1,0,13,14,20,10,0
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,3,1,2,1,0,2,2,100.0,0,31,9,29.0,14,13,4,2,1,0,1,13,16,19,0
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,19,9,11,7,1,6,12,50.0,6,118,38,32.2,67,41,10,14,9,0,5,10,29,34,0
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,3,2,0,3,0,3,8,37.5,5,53,16,30.2,15,31,7,8,0,0,8,7,10,4,0
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,14,10,9,5,0,4,11,36.4,7,81,42,51.9,47,32,2,27,18,1,9,25,39,53,0
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,1,1,0,1,0,0,0,,0,12,3,25.0,1,3,8,0,0,0,0,0,1,0,0
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,19,15,4,11,4,6,15,40.0,9,135,43,31.9,20,71,44,6,0,0,6,23,42,11,1
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,14,9,7,4,3,9,22,40.9,13,77,30,39.0,28,23,26,13,0,0,13,16,30,11,0
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,1,0,0,1,0,0,0,1
20,André Almeida,pt  POR,DF,pt  Benfica,30,1990,2.6,9,5,5,3,1,3,6,50.0,3,32,9,28.1,11,20,1,1,0,0,1,9,18,4,0
21,Marcos Alonso,es  ESP,DF,eng  Chelsea,30,1990,6.1,11,7,3,4,4,5,13,38.5,8,94,24,25.5,26,38,30,17,0,0,17,10,21,3,0
22,Éder Álvarez Balanta,co  COL,MF,be  Club Brugge,28,1993,4.5,20,15,13,5,2,7,17,41.2,10,138,41,29.7,52,71,15,13,3,0,10,14,34,6,0
23,Edson Álvarez,mx  MEX,MF,nl  Ajax,23,1997,6.2,17,7,6,7,4,6,16,37.5,10,123,41,33.3,43,59,21,12,2,0,10,8,25,18,0
24,Mohamed Aly Camara,gn  GUI,DF,ch  Young Boys,23,1997,3.8,10,4,10,0,0,5,10,50.0,5,45,19,42.2,36,9,0,7,2,0,5,5,15,6,1
25,Benjamin André,fr  FRA,MF,fr  Lille,30,1990,7.0,25,12,7,15,3,13,26,50.0,13,149,46,30.9,44,86,19,11,1,0,10,12,37,10,0
