,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,354,5,50,167,164,15,323,6,13,46.2,8,2,230,1062,519,29,9,5,26,22,354,224,63.3,49
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,52,3,10,23,20,2,50,0,1,0.0,0,0,34,103,19,0,0,0,4,3,55,35,63.6,3
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,377,11,120,205,86,1,318,4,9,44.4,4,2,257,1253,783,31,12,0,5,8,265,248,93.6,5
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,204,6,54,130,34,2,203,3,6,50.0,3,0,145,645,337,11,2,1,2,2,144,138,95.8,2
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,97,0,8,40,54,10,97,3,8,37.5,3,0,72,266,162,5,1,0,13,11,127,73,57.5,25
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,252,229,252,2,0,0,186,0,0,,0,0,120,504,260,0,0,0,0,0,109,109,100.0,0
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,202,17,100,103,15,0,199,4,6,66.7,4,0,131,823,396,8,3,0,4,5,102,95,93.1,0
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,190,3,15,64,136,44,186,10,30,33.3,15,1,160,973,654,40,14,15,22,16,287,147,51.2,70
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,337,8,78,187,100,5,322,4,7,57.1,6,0,218,1003,625,26,5,2,7,11,250,227,90.8,18
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,8,0,0,3,5,1,8,2,3,66.7,3,0,7,17,12,2,0,0,0,0,12,6,50.0,0
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,279,40,145,138,11,0,270,1,1,100.0,1,0,163,820,524,10,1,0,2,2,181,176,97.2,0
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,340,54,188,166,14,4,331,0,0,,0,0,216,1337,771,18,3,0,0,0,241,236,97.9,0
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,322,28,136,190,31,7,301,0,1,0.0,0,0,215,1208,849,11,4,0,0,1,238,232,97.5,2
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,750,127,426,316,71,12,725,1,1,100.0,1,0,537,3352,1660,28,8,0,4,0,588,577,98.1,8
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,391,9,62,201,147,10,352,1,1,100.0,1,0,257,893,515,21,9,3,2,2,327,297,90.8,18
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,580,136,384,228,6,1,565,1,1,100.0,1,0,324,1988,1080,8,0,0,2,1,353,347,98.3,0
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,14,0,1,6,9,4,13,0,0,,0,0,8,48,30,1,1,0,0,1,31,10,32.3,1
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,645,18,116,419,156,5,632,6,12,50.0,6,0,461,1846,906,36,17,0,5,11,501,474,94.6,15
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,908,16,163,481,315,15,763,3,6,50.0,4,2,579,2221,1201,47,18,4,11,6,658,619,94.1,23
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,505,387,503,4,0,0,432,2,2,100.0,2,0,323,1117,540,0,0,0,0,0,313,311,99.4,0
20,André Almeida,pt  POR,DF,pt  Benfica,30,1990,2.6,136,18,64,65,15,1,127,0,2,0.0,1,0,78,268,117,2,3,0,1,0,81,80,98.8,0
21,Marcos Alonso,es  ESP,DF,eng  Chelsea,30,1990,6.1,464,5,88,177,230,19,375,5,10,50.0,5,1,272,1139,550,29,12,1,6,11,317,278,87.7,36
