,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,0,9,3,33.3,1.13,0.38,0.00,0.00,21.6,1,0,0,0.6,0.6,0.07,-0.6,-0.6
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,0,2,0,0.0,1.51,0.00,0.00,,32.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,1,4,2,50.0,1.52,0.76,0.25,0.50,16.8,0,0,0,0.6,0.6,0.16,+0.4,+0.4
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,0,1,0,0.0,0.18,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.01,0.0,0.0
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,3,13,8,61.5,1.94,1.20,0.08,0.13,19.0,0,2,3,3.9,1.6,0.13,-0.9,-0.6
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,0,7,1,14.3,1.25,0.18,0.00,0.00,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,0,1,0,0.0,5.63,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,0,1,0,0.0,0.20,0.00,0.00,,18.4,0,0,0,0.0,0.0,0.03,0.0,0.0
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,1,4,1,25.0,1.10,0.28,0.25,1.00,7.0,0,0,0,0.5,0.5,0.12,+0.5,+0.5
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,1,5,1,20.0,0.43,0.09,0.20,1.00,22.6,2,0,0,0.3,0.3,0.05,+0.7,+0.7
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,0,3,2,66.7,0.72,0.48,0.00,0.00,22.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,0,2,0,0.0,0.17,0.00,0.00,,14.6,0,0,0,0.0,0.0,0.02,0.0,0.0
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,1,4,2,50.0,4.86,2.43,0.25,0.50,12.5,0,0,0,0.6,0.6,0.15,+0.4,+0.4
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,1,10,3,30.0,1.50,0.45,0.10,0.33,25.9,0,0,0,0.2,0.2,0.02,+0.8,+0.8
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,0,13,1,7.7,1.48,0.11,0.00,0.00,26.1,3,0,0,0.4,0.4,0.03,-0.4,-0.4
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
20,André Almeida,pt  POR,DF,pt  Benfica,30,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
21,Marcos Alonso,es  ESP,DF,eng  Chelsea,30,1990,6.1,0,12,4,33.3,1.97,0.66,0.00,0.00,16.4,3,0,0,1.0,1.0,0.09,-1.0,-1.0
22,Éder Álvarez Balanta,co  COL,MF,be  Club Brugge,28,1993,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
23,Edson Álvarez,mx  MEX,MF,nl  Ajax,23,1997,6.2,0,8,1,12.5,1.29,0.16,0.00,0.00,17.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4
24,Mohamed Aly Camara,gn  GUI,DF,ch  Young Boys,23,1997,3.8,0,2,1,50.0,0.52,0.26,0.00,0.00,8.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
25,Benjamin André,fr  FRA,MF,fr  Lille,30,1990,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
26,Oleksandr Andriyevskyi,ua  UKR,MF,ua  Dynamo Kyiv,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
27,Angeliño,es  ESP,DF,de  RB Leipzig,24,1997,4.8,0,5,0,0.0,1.05,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
28,Marcos Antônio,br  BRA,MF,ua  Shakhtar,21,2000,2.8,0,1,0,0.0,0.35,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0
29,Antony,br  BRA,FW,nl  Ajax,21,2000,6.4,2,26,10,38.5,4.08,1.57,0.08,0.20,17.6,0,0,0,1.7,1.7,0.06,+0.3,+0.3
30,Ronald Araújo,uy  URU,DF,es  Barcelona,22,1999,4.1,0,3,0,0.0,0.74,0.00,0.00,,21.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
31,Danilo Arboleda,co  COL,DF,md  Sheriff Tiraspol,26,1995,6.0,0,1,0,0.0,0.17,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.13,-0.1,-0.1
32,Maximilian Arnold,de  GER,MF,de  Wolfsburg,27,1994,6.0,0,5,1,20.0,0.83,0.17,0.00,0.00,35.7,3,0,0,0.2,0.2,0.04,-0.2,-0.2
33,Kepa Arrizabalaga,es  ESP,GK,eng  Chelsea,26,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
34,Marco Asensio,es  ESP,"FW,MF",es  Real Madrid,25,1996,2.3,1,6,3,50.0,2.58,1.29,0.17,0.33,16.8,0,0,0,0.7,0.7,0.12,+0.3,+0.3
35,Giorgos Athanasiadis,gr  GRE,GK,md  Sheriff Tiraspol,28,1993,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
36,Ludwig Augustinsson,se  SWE,DF,es  Sevilla,27,1994,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
37,Serge Aurier,ci  CIV,DF,es  Villarreal,28,1992,1.5,0,1,0,0.0,0.68,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0
38,Sardar Azmoun,ir  IRN,FW,ru  Zenit,26,1995,3.4,2,8,6,75.0,2.37,1.78,0.25,0.33,12.0,0,0,0,1.8,1.8,0.23,+0.2,+0.2
39,César Azpilicueta,es  ESP,DF,eng  Chelsea,31,1989,7.5,1,3,3,100.0,0.40,0.40,0.33,0.33,16.7,0,0,0,0.2,0.2,0.07,+0.8,+0.8
40,Eric Bailly,ci  CIV,DF,eng  Manchester Utd,27,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
41,Tiemoué Bakayoko,fr  FRA,MF,it  Milan,26,1994,0.7,0,2,0,0.0,3.05,0.00,0.00,,10.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
42,Ridle Baku,de  GER,"DF,FW",de  Wolfsburg,23,1998,4.6,1,2,1,50.0,0.44,0.22,0.50,1.00,13.5,0,0,0,0.5,0.5,0.26,+0.5,+0.5
43,Alejandro Balde,es  ESP,"DF,FW",es  Barcelona,17,2003,0.2,0,1,0,0.0,4.29,0.00,0.00,,11.2,0,0,0,0.0,0.0,0.04,0.0,0.0
44,Gareth Bale,wls  WAL,FW,es  Real Madrid,32,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
45,David von Ballmoos,ch  SUI,GK,ch  Young Boys,26,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
46,Fodé Ballo-Touré,sn  SEN,"DF,MF",it  Milan,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
47,Jonathan Bamba,fr  FRA,"MF,FW",fr  Lille,25,1996,5.2,0,4,1,25.0,0.77,0.19,0.00,0.00,17.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
48,Nicolò Barella,it  ITA,MF,it  Inter,24,1997,5.5,0,8,0,0.0,1.46,0.00,0.00,,21.0,0,0,0,0.7,0.7,0.08,-0.7,-0.7
49,Ross Barkley,eng  ENG,MF,eng  Chelsea,27,1993,1.1,0,3,1,33.3,2.78,0.93,0.00,0.00,24.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
50,Wílmar Barrios,co  COL,"MF,DF",ru  Zenit,27,1993,6.0,0,1,0,0.0,0.17,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0
51,Gil Bastião Dias,pt  POR,FW,pt  Benfica,24,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
