,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,13,0,0,2,0,10.2,0.36,-2.8,-0.40,35,97,36.1,206,35,41.3,37.1,33,36.4,36.0,54,9,16.7,2,0.29,11.2
1,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,14,0,0,2,0,11.7,0.42,-2.3,-0.18,69,119,58.0,436,69,22.5,30.1,53,39.6,36.1,63,8,12.7,14,1.08,16.2
2,Kepa Arrizabalaga,es  ESP,GK,eng  Chelsea,26,1994,1.0,3,0,0,0,0,3.4,0.48,+0.4,+0.36,6,13,46.2,21,1,47.6,39.9,8,37.5,31.9,8,0,0.0,0,0.00,15.5
3,Giorgos Athanasiadis,gr  GRE,GK,md  Sheriff Tiraspol,28,1993,5.0,8,1,1,1,0,10.5,0.30,+2.5,+0.50,32,85,37.6,98,13,48.0,41.5,67,56.7,42.7,49,1,2.0,0,0.00,8.5
4,David von Ballmoos,ch  SUI,GK,ch  Young Boys,26,1994,3.0,6,0,0,0,0,7.0,0.48,+1.0,+0.35,16,44,36.4,71,5,56.3,42.0,14,28.6,30.1,17,3,17.6,1,0.33,14.5
5,Yassine Bounou,ma  MAR,GK,es  Sevilla,30,1991,6.0,5,2,0,0,0,6.4,0.29,+1.4,+0.23,31,63,49.2,151,26,32.5,34.1,33,42.4,35.8,27,2,7.4,4,0.67,16.3
6,Denys Boyko,ua  UKR,GK,ua  Dynamo Kyiv,33,1988,1.0,0,0,0,0,0,0.5,0.12,+0.5,+0.46,11,22,50.0,27,3,55.6,39.9,8,87.5,61.8,8,0,0.0,0,0.00,13.3
7,Heorhiy Bushchan,ua  UKR,GK,ua  Dynamo Kyiv,27,1994,5.0,11,1,0,1,0,8.4,0.33,-2.6,-0.52,31,91,34.1,152,26,44.1,39.0,44,54.5,45.9,51,6,11.8,0,0.00,10.6
8,Scott Carson,eng  ENG,GK,eng  Manchester City,35,1985,0.2,0,0,0,0,0,0.2,0.17,+0.2,+0.85,0,0,,2,0,0.0,18.0,3,0.0,11.7,0,0,,0,0.00,
9,Koen Casteels,be  BEL,GK,de  Wolfsburg,29,1992,5.0,8,1,1,2,0,7.6,0.27,-0.4,-0.07,40,99,40.4,144,22,47.9,39.1,45,66.7,52.7,41,4,9.8,1,0.20,14.0
10,Dumitru Celeadnic,md  MDA,GK,md  Sheriff Tiraspol,29,1992,1.0,3,0,0,2,0,3.3,0.37,+0.3,+0.35,5,16,31.3,16,2,62.5,47.2,16,37.5,34.3,9,2,22.2,0,0.00,15.3
11,Leonardo César Jardim,br  BRA,GK,fr  Lille,26,1995,2.0,4,0,0,1,0,3.6,0.45,-0.4,-0.19,5,18,27.8,31,8,45.2,37.0,8,50.0,33.9,14,1,7.1,0,0.00,10.1
12,Diogo Costa,pt  POR,GK,pt  Porto,21,1999,6.0,11,0,0,1,1,8.7,0.33,-1.3,-0.21,68,168,40.5,247,25,59.9,45.7,33,60.6,47.0,41,2,4.9,8,1.33,17.5
