,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
649,Kenneth Taylor,nl  NED,MF,nl  Ajax,19,2002,0.5,14,21,66.7,194,49,8,10,80.0,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2
650,Alex Teixeira,br  BRA,MF,tr  Beşiktaş,31,1990,2.0,41,48,85.4,672,138,17,18,94.4,22,25,88.0,1,2,50.0,0,0.2,-0.2,1,2,0,0,5
651,Alex Telles,br  BRA,DF,eng  Manchester Utd,28,1992,3.2,192,236,81.4,3245,1267,89,92,96.7,88,102,86.3,13,36,36.1,0,0.2,-0.2,4,18,3,3,14
652,Marc-André ter Stegen,de  GER,GK,es  Barcelona,29,1992,6.0,186,216,86.1,4914,2942,43,43,100.0,81,82,98.8,60,89,67.4,0,0.0,0.0,0,0,0,0,0
653,Tetê,br  BRA,"FW,MF",ua  Shakhtar,21,2000,4.1,114,137,83.2,1914,412,52,56,92.9,48,58,82.8,10,11,90.9,0,0.5,-0.5,5,2,7,0,17
654,Sébastien Thill,lu  LUX,MF,md  Sheriff Tiraspol,27,1993,6.0,176,229,76.9,3259,903,82,89,92.1,64,79,81.0,24,52,46.2,1,0.9,+0.1,9,15,4,0,10
655,Steffen Tigges,de  GER,FW,de  Dortmund,23,1998,1.1,12,18,66.7,142,42,8,11,72.7,2,4,50.0,0,0,,0,0.0,0.0,0,2,0,0,2
656,Samson Tijani,ng  NGA,MF,at  RB Salzburg,19,2002,0.3,5,7,71.4,113,19,1,3,33.3,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
657,Malik Tillman,us  USA,"MF,FW",de  Bayern Munich,19,2002,0.2,5,6,83.3,77,26,3,3,100.0,2,2,100.0,0,1,0.0,0,0.3,-0.3,1,0,0,0,1
658,Jurrien Timber,nl  NED,DF,nl  Ajax,20,2001,6.4,481,508,94.7,9663,2743,149,159,93.7,257,266,96.6,69,73,94.5,0,0.0,0.0,0,51,1,0,41
659,Corentin Tolisso,fr  FRA,MF,de  Bayern Munich,26,1994,2.6,179,200,89.5,3420,820,82,89,92.1,72,79,91.1,24,27,88.9,1,0.1,+0.9,2,27,2,0,20
660,Rafael Tolói,it  ITA,DF,it  Atalanta,30,1990,4.0,187,233,80.3,3884,1715,62,74,83.8,91,107,85.0,33,47,70.2,0,1.3,-1.3,6,28,9,3,26
661,Tiago Tomás,pt  POR,"FW,MF",pt  Sporting CP,19,2002,1.8,23,38,60.5,458,97,9,13,69.2,10,15,66.7,4,7,57.1,0,0.0,0.0,0,2,0,0,2
662,Fikayo Tomori,eng  ENG,DF,it  Milan,23,1997,4.6,177,210,84.3,3873,1414,51,55,92.7,93,100,93.0,31,49,63.3,0,0.0,0.0,0,4,0,0,2
663,Sandro Tonali,it  ITA,MF,it  Milan,21,2000,3.7,141,185,76.2,2770,649,65,76,85.5,48,58,82.8,25,44,56.8,0,0.0,0.0,1,16,2,0,13
664,Mehmet Topal,tr  TUR,"MF,DF",tr  Beşiktaş,35,1986,2.9,73,84,86.9,1445,359,30,34,88.2,28,30,93.3,15,19,78.9,0,0.0,0.0,0,3,1,0,4
665,Gökhan Töre,tr  TUR,"MF,FW",tr  Beşiktaş,29,1992,0.9,15,24,62.5,155,56,13,13,100.0,2,4,50.0,0,5,0.0,0,0.0,0.0,0,1,1,0,2
666,Ferrán Torres,es  ESP,FW,eng  Manchester City,21,2000,0.8,9,10,90.0,195,12,2,2,100.0,5,6,83.3,2,2,100.0,0,0.1,-0.1,2,1,0,0,0
667,Óliver Torres,es  ESP,MF,es  Sevilla,26,1994,1.9,99,118,83.9,2065,448,43,47,91.5,33,38,86.8,21,30,70.0,0,0.1,-0.1,4,14,0,0,7
668,Pau Torres,es  ESP,DF,es  Villarreal,24,1997,12.0,459,533,86.1,10404,3624,110,125,88.0,258,275,93.8,85,125,68.0,0,0.5,-0.5,3,30,1,0,25
669,Adama Traoré,ml  MLI,"FW,MF",md  Sheriff Tiraspol,26,1995,5.9,76,105,72.4,1171,189,49,60,81.7,20,33,60.6,6,10,60.0,1,0.1,+0.9,2,0,2,0,3
670,Manu Trigueros,es  ESP,"MF,FW",es  Villarreal,29,1991,3.7,119,148,80.4,2024,542,51,59,86.4,53,66,80.3,9,11,81.8,0,0.7,-0.7,8,11,5,1,17
671,Kieran Trippier,eng  ENG,DF,es  Atlético Madrid,30,1990,2.4,84,115,73.0,1574,664,38,44,86.4,34,47,72.3,10,20,50.0,0,0.0,0.0,1,7,3,0,10
672,Anatolii Trubin,ua  UKR,GK,ua  Shakhtar,19,2001,3.0,75,93,80.6,1769,1170,28,29,96.6,28,29,96.6,19,35,54.3,0,0.0,0.0,0,0,0,0,0
673,Kostas Tsimikas,gr  GRE,DF,eng  Liverpool,25,1996,3.8,192,263,73.0,3759,1424,83,97,85.6,75,92,81.5,31,64,48.4,2,1.0,+1.0,7,9,7,5,22
674,Viktor Tsyhankov,ua  UKR,"FW,MF",ua  Dynamo Kyiv,23,1997,5.4,147,188,78.2,2125,770,97,111,87.4,38,52,73.1,9,16,56.3,1,0.6,+0.4,6,6,6,0,17
675,Oleksandr Tymchyk,ua  UKR,DF,ua  Dynamo Kyiv,24,1997,1.8,93,118,78.8,1512,399,49,58,84.5,33,39,84.6,9,13,69.2,0,0.2,-0.2,3,6,2,0,7
676,Salih Uçan,tr  TUR,MF,tr  Beşiktaş,27,1994,1.3,49,61,80.3,1025,259,15,18,83.3,19,26,73.1,11,13,84.6,0,0.1,-0.1,1,3,1,0,2
677,Manuel Ugarte Ribeiro,uy  URU,MF,pt  Sporting CP,20,2001,2.3,67,77,87.0,1196,202,26,28,92.9,32,35,91.4,7,9,77.8,0,0.0,0.0,1,5,0,0,2
678,Andreas Ulmer,at  AUT,DF,at  RB Salzburg,35,1985,7.9,273,397,68.8,5297,2594,118,146,80.8,118,153,77.1,36,87,41.4,0,0.1,-0.1,3,28,1,0,34
679,Sven Ulreich,de  GER,GK,de  Bayern Munich,32,1988,1.0,31,32,96.9,723,400,10,10,100.0,13,13,100.0,8,9,88.9,0,0.0,0.0,0,0,0,0,0
680,Dayot Upamecano,fr  FRA,DF,de  Bayern Munich,22,1998,7.3,512,558,91.8,11564,3285,125,136,91.9,287,300,95.7,98,119,82.4,0,0.0,0.0,2,58,0,0,38
681,Mateus Uribe,co  COL,MF,pt  Porto,30,1991,3.2,86,108,79.6,1646,342,42,51,82.4,30,35,85.7,13,18,72.2,0,0.0,0.0,1,7,2,0,6
682,Necip Uysal,tr  TUR,DF,tr  Beşiktaş,30,1991,2.1,51,76,67.1,932,437,21,26,80.8,23,31,74.2,5,15,33.3,0,0.0,0.0,0,2,2,2,1
683,Jesús Vallejo,es  ESP,DF,es  Real Madrid,24,1997,0.1,6,8,75.0,133,33,1,1,100.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
684,Federico Valverde,uy  URU,"MF,FW",es  Real Madrid,23,1998,8.9,333,406,82.0,5198,1236,196,218,89.9,99,121,81.8,28,48,58.3,1,1.0,0.0,6,23,10,2,29
685,Ignace Van Der Brempt,be  BEL,"DF,MF",be  Club Brugge,19,2002,1.8,37,65,56.9,508,272,21,29,72.4,12,21,57.1,2,5,40.0,0,0.2,-0.2,2,1,1,0,7
686,Hans Vanaken,be  BEL,MF,be  Club Brugge,28,1992,6.0,247,304,81.3,4029,1476,135,160,84.4,73,88,83.0,27,37,73.0,1,0.7,+0.3,5,26,4,1,36
687,Raphaël Varane,fr  FRA,DF,eng  Manchester Utd,28,1993,3.9,221,242,91.3,5310,1214,50,57,87.7,112,116,96.6,58,67,86.6,0,0.0,0.0,0,14,0,0,9
688,Berkay Vardar,az  AZE,DF,tr  Beşiktaş,18,2003,0.2,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
689,Lucas Vázquez,es  ESP,"DF,FW",es  Real Madrid,30,1991,3.9,217,261,83.1,3721,922,121,129,93.8,64,77,83.1,27,40,67.5,0,0.8,-0.8,9,9,5,2,11
690,Matías Vecino,uy  URU,MF,it  Inter,29,1991,1.4,29,44,65.9,523,243,12,18,66.7,13,15,86.7,3,5,60.0,0,0.0,0.0,0,4,0,0,6
691,Benjamin Verbič,si  SVN,"MF,FW",ua  Dynamo Kyiv,27,1993,1.0,21,27,77.8,253,63,15,17,88.2,5,8,62.5,0,0,,0,0.0,0.0,1,1,1,0,1
692,Lucas Veríssimo,br  BRA,DF,pt  Benfica,26,1995,3.0,87,111,78.4,1951,685,28,32,87.5,43,55,78.2,16,22,72.7,0,0.2,-0.2,2,6,0,0,5
693,Marco Verratti,it  ITA,MF,fr  Paris S-G,28,1992,4.8,401,442,90.7,6388,1525,214,230,93.0,144,156,92.3,33,37,89.2,0,0.6,-0.6,10,23,5,0,24
694,Jan Vertonghen,be  BEL,DF,pt  Benfica,34,1987,10.0,349,436,80.0,7823,2541,87,97,89.7,191,207,92.3,66,116,56.9,1,0.0,+1.0,0,15,0,0,12
