,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,20,2.52,15,2,1,1,1,0,5,0.63,5,0,0,0,0,0
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,1,0.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,14,3.33,8,5,1,0,0,0,0,0.00,0,0,0,0,0,0
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,2,0.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,5,1.90,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,2,0.29,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,7,1.29,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,20,2.99,11,0,2,1,6,0,4,0.60,2,0,0,0,2,0
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,15,2.69,7,6,0,1,0,1,2,0.36,1,1,0,0,0,0
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,4,0.80,4,0,0,0,0,0,1,0.20,1,0,0,0,0,0
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,6,1.66,5,0,0,0,0,1,1,0.28,0,0,0,0,0,1
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,9,0.78,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,7,1.69,7,0,0,0,0,0,1,0.24,1,0,0,0,0,0
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,2,0.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,16,2.40,15,0,0,0,1,0,0,0.00,0,0,0,0,0,0
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,32,3.64,18,11,0,2,1,0,5,0.57,4,0,0,1,0,0
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
20,André Almeida,pt  POR,DF,pt  Benfica,30,1990,2.6,2,0.76,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
21,Marcos Alonso,es  ESP,DF,eng  Chelsea,30,1990,6.1,15,2.46,5,8,0,2,0,0,1,0.16,1,0,0,0,0,0
22,Éder Álvarez Balanta,co  COL,MF,be  Club Brugge,28,1993,4.5,5,1.11,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
23,Edson Álvarez,mx  MEX,MF,nl  Ajax,23,1997,6.2,6,0.97,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0
24,Mohamed Aly Camara,gn  GUI,DF,ch  Young Boys,23,1997,3.8,4,1.04,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
25,Benjamin André,fr  FRA,MF,fr  Lille,30,1990,7.0,9,1.29,6,0,0,1,1,1,0,0.00,0,0,0,0,0,0
26,Oleksandr Andriyevskyi,ua  UKR,MF,ua  Dynamo Kyiv,27,1994,1.1,2,1.89,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Angeliño,es  ESP,DF,de  RB Leipzig,24,1997,4.8,8,1.67,5,2,0,1,0,0,3,0.63,3,0,0,0,0,0
28,Marcos Antônio,br  BRA,MF,ua  Shakhtar,21,2000,2.8,5,1.76,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
29,Antony,br  BRA,FW,nl  Ajax,21,2000,6.4,29,4.55,24,0,1,3,0,1,10,1.57,7,0,1,1,0,1
30,Ronald Araújo,uy  URU,DF,es  Barcelona,22,1999,4.1,1,0.25,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
31,Danilo Arboleda,co  COL,DF,md  Sheriff Tiraspol,26,1995,6.0,1,0.17,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
32,Maximilian Arnold,de  GER,MF,de  Wolfsburg,27,1994,6.0,14,2.33,7,6,0,0,0,1,3,0.50,1,1,0,0,0,1
33,Kepa Arrizabalaga,es  ESP,GK,eng  Chelsea,26,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
34,Marco Asensio,es  ESP,"FW,MF",es  Real Madrid,25,1996,2.3,5,2.15,3,1,0,1,0,0,2,0.86,1,0,0,1,0,0
35,Giorgos Athanasiadis,gr  GRE,GK,md  Sheriff Tiraspol,28,1993,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Ludwig Augustinsson,se  SWE,DF,es  Sevilla,27,1994,0.9,2,2.25,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
37,Serge Aurier,ci  CIV,DF,es  Villarreal,28,1992,1.5,1,0.68,1,0,0,0,0,0,1,0.68,1,0,0,0,0,0
38,Sardar Azmoun,ir  IRN,FW,ru  Zenit,26,1995,3.4,6,1.78,3,0,1,2,0,0,2,0.59,0,0,1,1,0,0
39,César Azpilicueta,es  ESP,DF,eng  Chelsea,31,1989,7.5,8,1.06,8,0,0,0,0,0,2,0.27,2,0,0,0,0,0
40,Eric Bailly,ci  CIV,DF,eng  Manchester Utd,27,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Tiemoué Bakayoko,fr  FRA,MF,it  Milan,26,1994,0.7,3,4.58,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
42,Ridle Baku,de  GER,"DF,FW",de  Wolfsburg,23,1998,4.6,6,1.31,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0
43,Alejandro Balde,es  ESP,"DF,FW",es  Barcelona,17,2003,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
44,Gareth Bale,wls  WAL,FW,es  Real Madrid,32,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
45,David von Ballmoos,ch  SUI,GK,ch  Young Boys,26,1994,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
46,Fodé Ballo-Touré,sn  SEN,"DF,MF",it  Milan,24,1997,1.0,2,1.98,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0
47,Jonathan Bamba,fr  FRA,"MF,FW",fr  Lille,25,1996,5.2,16,3.07,11,2,1,0,2,0,1,0.19,0,0,0,0,1,0
48,Nicolò Barella,it  ITA,MF,it  Inter,24,1997,5.5,23,4.20,21,0,0,0,1,1,0,0.00,0,0,0,0,0,0
49,Ross Barkley,eng  ENG,MF,eng  Chelsea,27,1993,1.1,6,5.57,3,3,0,0,0,0,2,1.86,1,1,0,0,0,0
50,Wílmar Barrios,co  COL,"MF,DF",ru  Zenit,27,1993,6.0,5,0.83,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0
51,Gil Bastião Dias,pt  POR,FW,pt  Benfica,24,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
52,Alessandro Bastoni,it  ITA,DF,it  Inter,22,1999,7.4,8,1.08,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
53,Michy Batshuayi,be  BEL,FW,tr  Beşiktaş,27,1993,4.3,6,1.41,3,0,2,1,0,0,0,0.00,0,0,0,0,0,0
54,Donny van de Beek,nl  NED,MF,eng  Manchester Utd,24,1997,2.3,1,0.44,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
55,Jude Bellingham,eng  ENG,"MF,FW",de  Dortmund,18,2003,5.6,20,3.60,12,0,7,0,1,0,5,0.90,3,0,1,0,1,0
56,Hatem Ben Arfa,fr  FRA,"FW,MF",fr  Lille,34,1987,0.3,1,3.91,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
57,Ismaël Bennacer,dz  ALG,MF,it  Milan,23,1997,4.2,4,0.96,0,2,0,1,1,0,0,0.00,0,0,0,0,0,0
58,Rodrigo Bentancur,uy  URU,"MF,FW",it  Juventus,24,1997,4.2,7,1.67,6,0,0,0,0,1,1,0.24,1,0,0,0,0,0
59,Karim Benzema,fr  FRA,FW,es  Real Madrid,33,1987,12.2,45,3.68,36,0,6,1,1,1,5,0.41,4,0,0,0,1,0
60,Steven Berghuis,nl  NED,MF,nl  Ajax,29,1991,6.9,33,4.77,28,5,0,0,0,0,2,0.29,2,0,0,0,0,0
61,Federico Bernardeschi,it  ITA,"FW,MF",it  Juventus,27,1994,3.2,16,4.98,11,2,1,2,0,0,3,0.93,3,0,0,0,0,0
62,Bernardo,br  BRA,"DF,MF",at  RB Salzburg,26,1995,0.3,1,3.60,0,0,0,1,0,0,1,3.60,0,0,0,1,0,0
63,Paulo Bernardo,pt  POR,MF,pt  Benfica,19,2002,0.5,1,2.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Veljko Birmančević,rs  SRB,"FW,MF",se  Malmö,23,1998,3.9,8,2.05,5,0,1,0,1,1,1,0.26,1,0,0,0,0,0
65,Blanco,es  ESP,MF,es  Real Madrid,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
66,Daley Blind,nl  NED,DF,nl  Ajax,31,1990,6.3,13,2.05,12,0,1,0,0,0,2,0.32,2,0,0,0,0,0
67,Valerii Bondar,ua  UKR,DF,ua  Shakhtar,22,1999,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
68,Artem Bondarenko,ua  UKR,MF,ua  Shakhtar,20,2000,0.9,3,3.21,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
69,Solomon Bonnah,nl  NED,DF,de  RB Leipzig,17,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
70,Leonardo Bonucci,it  ITA,DF,it  Juventus,34,1987,6.4,8,1.24,8,0,0,0,0,0,2,0.31,2,0,0,0,0,0
71,Sebastiaan Bornauw,be  BEL,DF,de  Wolfsburg,22,1999,2.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
72,Sven Botman,nl  NED,DF,fr  Lille,21,2000,4.6,2,0.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
73,Yassine Bounou,ma  MAR,GK,es  Sevilla,30,1991,6.0,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Denys Boyko,ua  UKR,GK,ua  Dynamo Kyiv,33,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
75,Can Bozdogan,de  GER,MF,tr  Beşiktaş,20,2001,2.4,5,2.05,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
76,Domagoj Bradarić,hr  CRO,DF,fr  Lille,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
77,Conor Bradley,nir  NIR,FW,eng  Liverpool,18,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
78,Daniel Bragança,pt  POR,"MF,FW",pt  Sporting CP,22,1999,1.5,4,2.71,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
79,Julian Brandt,de  GER,"MF,FW",de  Dortmund,25,1996,4.4,13,2.96,8,3,1,0,0,1,1,0.23,1,0,0,0,0,0
80,John Brooks,us  USA,DF,de  Wolfsburg,28,1993,3.7,2,0.55,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
81,Franz Brorsson,se  SWE,DF,se  Malmö,25,1996,5.0,3,0.61,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
82,Marcelo Brozović,hr  CRO,MF,it  Inter,28,1992,7.0,19,2.71,12,4,1,2,0,0,4,0.57,2,1,1,0,0,0
83,Nicolas Bürgy,ch  SUI,DF,ch  Young Boys,25,1995,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
84,Heorhiy Bushchan,ua  UKR,GK,ua  Dynamo Kyiv,27,1994,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
