club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season
Athletic Bilbao,Germán Pezzella,30,Argentina,Centre-Back,CB,€5.00m,Fiorentina,Italy,€3.50m,in,summer,liga,2021
Athletic Bilbao,Juan Miranda,21,Spain,Left-Back,LB,€7.00m,Barcelona,Spain,free transfer,in,summer,liga,2021
Athletic Bilbao,Youssouf Sabaly,28,Senegal,Right-Back,RB,€6.50m,G. Bordeaux,France,free transfer,in,summer,liga,2021
Athletic Bilbao,Rui Silva,27,Portugal,Goalkeeper,GK,€12.00m,Granada CF,Spain,free transfer,in,summer,liga,2021
Athletic Bilbao,Willian José,29,Brazil,Centre-Forward,CF,€18.00m,Real Sociedad,Spain,loan transfer,in,summer,liga,2021
Athletic Bilbao,Héctor Bellerín,26,Spain,Right-Back,RB,€20.00m,Arsenal,England,loan transfer,in,summer,liga,2021
Athletic Bilbao,Emerson Royal,22,Brazil,Right-Back,RB,€25.00m,Barcelona,Spain,€14.00m,out,summer,liga,2021
Athletic Bilbao,Aïssa Mandi,29,Algeria,Centre-Back,CB,€8.00m,Villarreal,Spain,free transfer,out,summer,liga,2021
Athletic Bilbao,Dani Martín,23,Spain,Goalkeeper,GK,€2.00m,Málaga CF,Spain,loan transfer,out,summer,liga,2021
Athletic Bilbao,Loren Morón,27,Spain,Centre-Forward,CF,€9.00m,Espanyol,Spain,loan transfer,out,summer,liga,2021
Athletic Bilbao,Sidnei,32,Brazil,Centre-Back,CB,€2.00m,Without Club,,-,out,summer,liga,2021
Athletic Bilbao,Juan Miranda,21,Spain,Left-Back,LB,€7.00m,Barcelona,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
CA Osasuna,Landry Dimata,23,Belgium,Centre-Forward,CF,€3.00m,RSC Anderlecht,Belgium,€2.20m,in,summer,liga,2021
CA Osasuna,Álvaro Vadillo,26,Spain,Left Winger,LW,€1.00m,Celta de Vigo,Spain,€1.80m,in,summer,liga,2021
CA Osasuna,Sergi Gómez,29,Spain,Centre-Back,CB,€2.00m,Sevilla FC,Spain,€1.00m,in,summer,liga,2021
CA Osasuna,Miguelón,25,Spain,Right-Back,RB,€1.00m,Villarreal,Spain,€500Th.,in,summer,liga,2021
CA Osasuna,Aleix Vidal,31,Spain,Right-Back,RB,€2.00m,Sevilla FC,Spain,free transfer,in,summer,liga,2021
CA Osasuna,Manu Morlanes,22,Spain,Central Midfield,CM,€5.00m,Villarreal,Spain,loan transfer,in,summer,liga,2021
