,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Oliver Baumann,de  GER,GK,Hoffenheim,30-292,1990,24.0,42,5,0,2,2,39.7,0.34,-0.3,-0.01,159,379,42.0,828,133,37.1,34.4,165,43.6,37.2,222,9,4.1,29,1.21,15.4
1,Roman Bürki,ch  SUI,GK,Dortmund,30-127,1990,16.0,26,2,0,5,0,20.7,0.28,-5.3,-0.33,72,162,44.4,442,86,29.4,31.7,87,36.8,35.7,94,7,7.4,5,0.31,13.8
2,Koen Casteels,be  BEL,GK,Wolfsburg,28-269,1992,25.0,21,2,1,3,1,22.6,0.29,+3.6,+0.15,185,400,46.3,784,121,38.9,36.4,146,65.1,50.5,199,18,9.0,24,1.00,15.7
3,Finn Dahmen,de  GER,GK,Mainz 05,22-359,1998,1.0,5,1,0,1,0,5.5,0.43,+0.5,+0.50,0,5,0.0,18,8,27.8,32.3,5,0.0,16.0,16,1,6.3,0,0.00,8.4
4,Ralf Fährmann,de  GER,GK,Schalke 04,32-175,1988,13.8,35,2,0,5,2,27.2,0.30,-5.8,-0.42,78,248,31.5,417,69,39.8,36.3,128,64.1,47.6,133,8,6.0,12,0.87,14.6
5,Rafał Gikiewicz,pl  POL,GK,Augsburg,33-146,1987,25.0,39,6,0,3,2,37.6,0.25,+1.6,+0.06,186,470,39.6,845,166,41.5,36.4,218,54.6,45.1,298,19,6.4,13,0.52,14.1
6,Lennart Grill,de  GER,GK,Leverkusen,22-055,1999,3.0,4,0,0,0,0,4.4,0.37,+0.4,+0.13,9,23,39.1,113,21,18.6,28.1,20,10.0,23.3,21,2,9.5,2,0.67,14.9
7,Péter Gulácsi,hu  HUN,GK,RB Leipzig,30-319,1990,26.0,21,2,0,2,0,19.9,0.30,-1.1,-0.04,110,225,48.9,782,141,25.2,30.9,126,22.2,29.3,153,10,6.5,37,1.42,18.0
8,Marwin Hitz,ch  SUI,GK,Dortmund,33-184,1987,10.0,11,2,0,1,0,8.7,0.29,-0.3,-0.03,54,92,58.7,248,38,25.8,30.0,67,41.8,37.9,48,5,10.4,4,0.44,14.1
9,Timo Horn,de  GER,GK,Köln,27-313,1993,25.4,45,7,1,5,0,39.5,0.29,-3.5,-0.14,218,477,45.7,842,89,47.5,39.7,155,49.7,42.8,203,8,3.9,17,0.70,13.6
10,Lukáš Hrádecký,fi  FIN,GK,Leverkusen,31-117,1989,20.5,21,1,0,0,2,18.8,0.31,-0.2,-0.01,147,370,39.7,922,117,35.5,34.4,116,37.1,34.7,124,9,7.3,24,1.17,17.5
11,Rune Jarstein,no  NOR,GK,Hertha BSC,36-173,1984,7.0,13,1,0,2,1,9.7,0.28,-2.3,-0.32,43,124,34.7,194,25,46.9,39.7,60,55.0,44.5,59,6,10.2,4,0.57,13.0
12,Loris Karius,de  GER,GK,Union Berlin,27-272,1993,3.2,1,0,0,0,1,1.7,0.35,+1.7,+0.53,21,56,37.5,75,9,56.0,44.3,20,70.0,56.5,30,2,6.7,0,0.00,11.5
13,Gregor Kobel,ch  SUI,GK,Stuttgart,23-105,1997,26.0,41,3,1,2,1,35.0,0.27,-1.0,-0.04,112,265,42.3,712,152,31.0,31.0,209,21.1,24.7,219,15,6.8,14,0.56,13.9
14,Michael Langer,at  AUT,GK,Schalke 04,36-074,1985,2.7,12,0,0,5,1,8.7,0.36,-2.3,-0.85,11,35,31.4,50,7,44.0,38.2,26,50.0,39.3,23,0,0.0,3,1.13,15.1
15,Niklas Lomb,de  GER,GK,Leverkusen,27-236,1993,1.5,3,0,0,0,0,3.1,0.38,+0.1,+0.04,5,17,29.4,53,13,26.4,30.5,7,42.9,37.9,12,1,8.3,1,0.67,14.2
16,Andreas Luthe,de  GER,GK,Union Berlin,34-011,1987,22.8,31,3,0,7,0,25.9,0.30,-0.1,-0.01,140,372,37.6,638,80,42.8,37.9,149,66.4,46.8,174,13,7.5,5,0.23,12.8
17,Florian Müller,de  GER,GK,Freiburg,23-128,1997,25.0,39,2,2,3,1,38.7,0.30,+0.7,+0.03,149,496,30.0,824,113,39.2,38.4,223,77.6,59.5,206,10,4.9,18,0.72,14.4
18,Manuel Neuer,de  GER,GK,Bayern Munich,34-359,1986,26.0,35,1,0,5,0,36.6,0.36,+1.6,+0.06,184,283,65.0,848,139,29.6,31.2,135,23.7,29.6,156,3,1.9,34,1.36,16.4
19,Stefan Ortega,de  GER,GK,Arminia,28-135,1992,26.0,45,3,0,6,1,43.5,0.29,-0.5,-0.02,386,783,49.3,1322,96,50.7,42.9,183,61.7,49.1,260,16,6.2,22,0.85,14.5
20,Jiří Pavlenka,cz  CZE,GK,Werder Bremen,28-341,1992,26.0,38,2,0,4,1,31.5,0.27,-3.5,-0.14,184,398,46.2,637,125,43.8,38.0,217,54.8,43.7,290,13,4.5,17,0.68,13.8
21,Philipp Pentke,de  GER,GK,Hoffenheim,35-324,1985,1.0,1,0,0,0,0,0.4,0.21,-0.6,-0.57,2,6,33.3,25,5,20.0,29.8,4,25.0,31.5,2,0,0.0,1,1.00,20.3
22,Pavao Pervan,at  AUT,GK,Wolfsburg,33-128,1987,1.0,1,0,0,1,0,2.7,0.39,+1.7,+1.72,8,19,42.1,23,1,56.5,43.2,9,66.7,53.4,13,1,7.7,0,0.00,11.3
23,Frederik Rønnow,dk  DEN,GK,Schalke 04,28-229,1992,9.5,22,4,0,4,1,18.3,0.28,+0.3,+0.04,42,113,37.2,252,59,31.7,32.0,75,44.0,37.9,56,2,3.6,4,0.47,14.0
24,Alexander Schwolow,de  GER,GK,Hertha BSC,28-292,1992,18.0,32,5,1,3,0,28.0,0.35,-4.0,-0.22,124,244,50.8,486,75,33.7,34.0,143,55.9,45.7,145,10,6.9,9,0.50,13.4
25,Tobias Sippel,de  GER,GK,M'Gladbach,32-364,1988,1.0,1,0,0,0,0,1.2,0.59,+0.2,+0.18,5,9,55.6,20,2,40.0,35.5,5,20.0,20.2,6,1,16.7,2,2.00,24.0
26,Yann Sommer,ch  SUI,GK,M'Gladbach,32-094,1988,25.0,39,5,0,4,0,32.9,0.31,-6.1,-0.25,141,310,45.5,821,95,31.7,32.0,178,28.1,30.0,196,9,4.6,15,0.63,13.2
