,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Ousmane Dembélé,11.0,fr  FRA,FW,23-288,81,18,18,0,0,0,0,1,0,0,0,0,0,15,2,1,10,8,0,0,0,15,0,0,2,0
1,Martin Braithwaite,9.0,dk  DEN,FW,29-267,9,7,7,0,0,0,0,1,0,0,0,0,0,5,0,2,0,6,1,0,0,5,0,0,0,1
2,Lionel Messi,10.0,ar  ARG,FW,33-248,90,65,61,4,1,2,8,2,4,2,1,0,0,52,5,8,60,4,1,0,0,55,2,1,2,0
3,Pedri,16.0,es  ESP,CM,18-094,70,26,25,1,0,0,6,2,1,1,0,0,0,23,0,3,5,21,0,0,0,23,0,0,0,1
4,Ilaix Moriba,27.0,es  ESP,CM,18-039,20,16,16,0,0,0,4,0,0,0,0,0,0,13,3,0,3,12,0,0,1,14,0,0,0,1
5,Frenkie de Jong,21.0,nl  NED,CM,23-291,90,59,57,2,2,0,10,0,1,0,0,0,0,53,4,2,3,56,0,0,0,52,0,1,0,0
6,Sergio Busquets,5.0,es  ESP,DM,32-226,90,82,76,6,6,0,8,1,1,0,0,0,0,68,10,4,12,69,0,0,0,73,0,0,1,1
7,Jordi Alba,18.0,es  ESP,WB,31-343,90,67,63,4,0,0,0,0,0,0,0,0,0,51,11,5,53,10,0,4,0,62,0,0,1,2
8,Sergiño Dest,2.0,us  USA,WB,20-116,90,43,39,4,0,0,5,0,2,0,0,0,0,36,5,2,3,36,0,4,0,37,0,0,3,1
9,Clément Lenglet,15.0,fr  FRA,CB,25-255,90,63,62,1,1,0,2,2,0,0,0,0,0,54,4,5,54,7,2,0,0,54,0,2,1,3
10,Gerard Piqué,3.0,es  ESP,CB,34-025,66,59,54,5,5,0,5,5,0,0,0,0,0,49,1,9,2,55,1,0,0,55,0,2,2,0
11,Ronald Araújo,4.0,uy  URU,CB,21-357,15,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0
12,Samuel Umtiti,23.0,fr  FRA,CB,27-105,9,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,0,0,6,0,0,0,0
13,Óscar Mingueza,28.0,es  ESP,CB,21-290,90,53,47,6,5,0,3,1,0,0,0,0,0,47,4,2,4,47,1,1,0,48,0,0,2,1
14,Marc-André ter Stegen,1.0,de  GER,GK,28-303,90,45,37,8,1,0,3,1,0,0,0,0,0,29,4,12,9,29,0,0,6,37,0,0,1,0
15,15 Players,,,,,990,612,571,41,21,2,54,16,9,3,1,0,0,504,53,55,225,362,6,9,7,538,2,6,15,11
