,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation,Pos,Age,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Harry Maguire,eng  ENG,DF,28-017,29,29,2610.0,29.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0,0.07,0.03,0.1,0.07,0.1,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07,eng  ENG,DF,28-017,29.0,2,31,9,29.0,1.07,0.31,0.06,0.22,11.1,0,0,0,1.7,1.7,0.06,0.3,0.3,eng  ENG,DF,28-017,29.0,1664,1876,88.7,37029,10687,423,469,90.2,905,974,92.9,324,410,79.0,1,0.3,0.7,6,162,6,0,79,eng  ENG,DF,28-017,29.0,1876,1823,53,44,0,192,64,3,0,0,0,0,1431,142,303,252,1443,100,9,10,1664,5,25,26,9,eng  ENG,DF,28-017,29.0,25,0.86,18,0,1,4,1,1,6,0.21,4,0,0,1,0,1,0,eng  ENG,DF,28-017,29.0,24,14,16,8,0,10,21,47.6,11,152,55,36.2,90,57,5,37,21,0,16,51,75,150,1,eng  ENG,DF,28-017,29.0,2182,327,1105,1063,186,46,2131,5,12,41.7,6,0,1355,9109,5363,170,51,3,5,9,1524,1488,97.6,9
1,Bruno Fernandes,pt  POR,MF,26-195,29,28,2462.0,27.4,16.0,10.0,8.0,8.0,9.0,5.0,0.0,0.58,0.37,0.95,0.29,0.66,12.8,5.9,9.7,15.6,0.47,0.35,0.82,0.22,0.57,pt  POR,MF,26-195,27.4,16,81,30,37.0,2.96,1.1,0.1,0.27,22.9,11,8,9,12.8,5.9,0.07,3.2,2.1,pt  POR,MF,26-195,27.4,1353,1821,74.3,26298,7687,636,753,84.5,470,585,80.3,224,382,58.6,10,9.7,0.3,81,151,79,7,191,pt  POR,MF,26-195,27.4,1821,1657,164,41,17,247,105,69,53,14,22,8,1187,228,406,131,1584,55,28,16,1353,14,34,53,83,pt  POR,MF,26-195,27.4,138,5.04,100,19,2,7,7,3,22,0.8,18,2,0,2,0,0,0,pt  POR,MF,26-195,27.4,51,34,19,21,11,17,75,22.7,58,559,135,24.2,96,266,197,37,1,0,36,15,66,21,0,pt  POR,MF,26-195,27.4,2159,31,252,968,1049,96,1992,17,44,38.6,21,2,1333,5813,3313,193,57,10,34,32,1971,1642,83.3,237
2,Aaron Wan-Bissaka,eng  ENG,DF,23-116,27,27,2430.0,27.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.07,0.07,0.15,0.07,0.15,0.8,0.8,1.4,2.2,0.03,0.05,0.08,0.03,0.08,eng  ENG,DF,23-116,27.0,2,7,3,42.9,0.26,0.11,0.29,0.67,15.9,0,0,0,0.8,0.8,0.12,1.2,1.2,eng  ENG,DF,23-116,27.0,1388,1623,85.5,20855,7562,800,867,92.3,517,594,87.0,51,98,52.0,2,1.4,0.6,19,74,18,8,98,eng  ENG,DF,23-116,27.0,1623,1401,222,9,0,151,7,37,0,0,0,0,1194,278,151,62,1300,30,213,2,1388,5,10,39,52,eng  ENG,DF,23-116,27.0,40,1.48,35,1,1,1,0,2,5,0.19,5,0,0,0,0,0,0,eng  ENG,DF,23-116,27.0,86,45,50,30,6,16,33,48.5,17,344,110,32.0,156,143,45,97,12,0,85,43,129,77,0,eng  ENG,DF,23-116,27.0,1976,94,650,906,554,31,1758,27,45,60.0,29,1,1206,6277,3519,168,63,2,13,18,1300,1204,92.6,65
3,Marcus Rashford,eng  ENG,FW,23-142,29,27,2376.0,26.4,9.0,7.0,9.0,0.0,0.0,4.0,0.0,0.34,0.27,0.61,0.34,0.61,7.8,7.8,2.6,10.4,0.3,0.1,0.39,0.3,0.39,eng  ENG,FW,23-142,26.4,9,63,30,47.6,2.39,1.14,0.14,0.3,18.1,4,0,0,7.8,7.8,0.12,1.2,1.2,eng  ENG,FW,23-142,26.4,823,1026,80.2,12958,2502,450,519,86.7,284,340,83.5,65,100,65.0,7,2.6,4.4,32,26,41,4,75,eng  ENG,FW,23-142,26.4,1026,1003,23,3,2,141,22,31,1,0,0,1,831,104,91,75,894,27,14,4,823,3,12,37,42,eng  ENG,FW,23-142,26.4,79,2.99,59,0,12,3,5,0,13,0.49,11,0,1,0,1,0,0,eng  ENG,FW,23-142,26.4,9,6,2,2,5,2,17,11.8,15,256,57,22.3,32,104,120,20,2,0,18,10,19,7,0,eng  ENG,FW,23-142,26.4,1348,14,98,528,839,144,1322,72,124,58.1,75,15,1047,5239,3413,176,67,48,53,61,1554,1135,73.0,216
4,David de Gea,es  ESP,GK,30-135,24,24,2115.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es  ESP,GK,30-135,23.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,es  ESP,GK,30-135,23.5,412,536,76.9,10758,6511,119,120,99.2,162,169,95.9,128,242,52.9,0,0.0,0.0,0,3,0,0,0,es  ESP,GK,30-135,23.5,536,338,198,34,0,23,10,0,0,0,0,0,324,23,189,33,418,2,0,71,412,2,7,6,1,es  ESP,GK,30-135,23.5,1,0.04,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,es  ESP,GK,30-135,23.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,es  ESP,GK,30-135,23.5,578,530,576,2,0,0,381,0,0,,0,0,216,901,395,0,0,0,0,0,223,222,99.6,0
5,Luke Shaw,eng  ENG,DF,25-253,25,23,2024.0,22.5,1.0,5.0,1.0,0.0,0.0,6.0,0.0,0.04,0.22,0.27,0.04,0.27,0.5,0.5,4.1,4.6,0.02,0.18,0.2,0.02,0.2,eng  ENG,DF,25-253,22.5,1,8,5,62.5,0.36,0.22,0.13,0.2,17.0,0,0,0,0.5,0.5,0.06,0.5,0.5,eng  ENG,DF,25-253,22.5,1279,1571,81.4,19968,8341,728,788,92.4,439,520,84.4,86,188,45.7,5,4.1,0.9,51,62,36,14,119,eng  ENG,DF,25-253,22.5,1571,1272,299,28,0,180,43,72,64,24,30,7,1038,268,265,1213,85,44,207,3,1279,7,16,30,60,eng  ENG,DF,25-253,22.5,82,3.65,52,25,0,1,4,0,11,0.49,6,3,0,0,2,0,0,eng  ENG,DF,25-253,22.5,51,37,24,18,9,19,33,57.6,14,275,108,39.3,94,119,62,48,7,0,41,17,68,49,1,eng  ENG,DF,25-253,22.5,1784,71,441,750,729,47,1490,26,41,63.4,27,3,1077,6716,4183,172,74,10,16,21,1217,1098,90.2,68
6,Victor Lindelöf,se  SWE,DF,26-248,22,22,1955.0,21.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.09,0.05,0.09,0.7,0.7,0.5,1.2,0.03,0.02,0.06,0.03,0.06,se  SWE,DF,26-248,21.7,1,4,1,25.0,0.18,0.05,0.25,1.0,5.9,0,0,0,0.7,0.7,0.17,0.3,0.3,se  SWE,DF,26-248,21.7,1252,1372,91.3,24342,7866,426,452,94.2,682,710,96.1,134,186,72.0,1,0.5,0.5,5,76,3,0,67,se  SWE,DF,26-248,21.7,1372,1329,43,29,1,103,15,0,0,0,0,0,1137,107,128,201,1070,49,14,6,1252,1,11,14,13,se  SWE,DF,26-248,21.7,8,0.37,8,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,se  SWE,DF,26-248,21.7,17,11,10,7,0,7,14,50.0,7,132,45,34.1,78,49,5,35,17,0,18,17,34,95,0,se  SWE,DF,26-248,21.7,1546,264,848,719,69,8,1504,2,4,50.0,2,0,999,6695,3533,87,16,0,2,4,1130,1111,98.3,2
7,Fred,br  BRA,MF,28-017,23,20,1835.0,20.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9,3.0,0.05,0.09,0.14,0.05,0.14,br  BRA,MF,28-017,20.4,0,21,5,23.8,1.03,0.25,0.0,0.0,22.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,br  BRA,MF,28-017,20.4,1160,1323,87.7,23224,5622,433,474,91.4,515,562,91.6,196,243,80.7,0,1.9,-1.9,18,136,14,0,111,br  BRA,MF,28-017,20.4,1323,1283,40,35,4,151,40,7,0,0,0,0,1068,135,120,924,373,13,5,4,1160,3,19,35,28,br  BRA,MF,28-017,20.4,51,2.5,44,0,2,1,1,3,4,0.2,3,0,0,0,0,1,0,br  BRA,MF,28-017,20.4,62,41,26,29,7,20,62,32.3,42,470,138,29.4,174,217,79,49,7,0,42,41,103,25,0,br  BRA,MF,28-017,20.4,1580,55,397,951,346,13,1546,18,26,69.2,23,0,1077,5117,2504,85,31,2,18,25,1199,1121,93.5,25
8,Scott McTominay,sco  SCO,MF,24-104,25,18,1611.0,17.9,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.22,0.06,0.28,0.22,0.28,1.2,1.2,0.8,2.0,0.07,0.05,0.11,0.07,0.11,sco  SCO,MF,24-104,17.9,4,19,5,26.3,1.06,0.28,0.21,0.8,17.2,0,0,0,1.2,1.2,0.06,2.8,2.8,sco  SCO,MF,24-104,17.9,820,942,87.0,16339,4033,302,331,91.2,389,437,89.0,118,152,77.6,1,0.8,0.2,12,78,7,0,72,sco  SCO,MF,24-104,17.9,942,915,27,21,0,110,34,8,0,0,0,0,767,67,108,75,802,42,6,3,820,1,9,14,15,sco  SCO,MF,24-104,17.9,27,1.51,19,0,0,1,5,2,3,0.17,1,0,0,0,1,1,0,sco  SCO,MF,24-104,17.9,32,19,19,10,3,9,29,31.0,20,252,80,31.7,92,123,37,47,12,0,35,28,60,38,0,sco  SCO,MF,24-104,17.9,1166,71,350,675,240,25,1145,17,23,73.9,17,0,805,4531,2498,96,35,4,26,20,857,807,94.2,31
9,Anthony Martial,fr  FRA,FW,25-107,22,17,1480.0,16.4,4.0,3.0,4.0,0.0,0.0,0.0,1.0,0.24,0.18,0.43,0.24,0.43,6.6,6.6,2.0,8.6,0.4,0.12,0.52,0.4,0.52,fr  FRA,FW,25-107,16.4,4,43,21,48.8,2.61,1.28,0.09,0.19,14.1,0,0,0,6.6,6.6,0.15,-2.6,-2.6,fr  FRA,FW,25-107,16.4,402,486,82.7,5642,1141,247,279,88.5,120,144,83.3,16,20,80.0,3,2.0,1.0,15,26,15,0,43,fr  FRA,FW,25-107,16.4,486,475,11,2,3,104,3,12,0,0,0,0,417,43,26,64,398,11,1,3,402,2,8,19,21,fr  FRA,FW,25-107,16.4,43,2.61,28,0,3,4,7,1,8,0.49,2,0,0,2,4,0,0,fr  FRA,FW,25-107,16.4,1,1,0,0,1,0,7,0.0,7,145,41,28.3,13,38,94,21,5,0,16,4,5,9,0,fr  FRA,FW,25-107,16.4,700,12,58,283,414,121,691,33,50,66.0,34,1,564,2975,1555,96,28,17,37,48,880,578,65.7,159
