,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
0,2018-07-25,Wed,Champions Lg,Second qualifying round,Home,W 2–0,nl  Ajax,at  Sturm Graz,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
1,2018-08-01,Wed,Champions Lg,Second qualifying round,Away,W 3–1,nl  Ajax,at  Sturm Graz,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2,2018-08-07,Tue,Champions Lg,Third qualifying round,Away,D 2–2,nl  Ajax,be  Standard Liège,Y,CB,78,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
3,2018-08-11,Sat,Dutch Eredivisie,Regular Season,Home,D 1–1,Ajax,Heracles Almelo,N,,35,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
4,2018-08-14,Tue,Champions Lg,Third qualifying round,Home,W 3–0,nl  Ajax,be  Standard Liège,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
5,2018-08-18,Sat,Dutch Eredivisie,Regular Season,Away,W 1–0,Ajax,VVV-Venlo,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
6,2018-08-22,Wed,Champions Lg,Play-off round,Home,W 3–1,nl  Ajax,ua  Dynamo Kyiv,Y,CM,90,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
7,2018-08-25,Sat,Dutch Eredivisie,Regular Season,Home,W 5–0,Ajax,Emmen,Y,CM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
8,2018-08-28,Tue,Champions Lg,Play-off round,Away,D 0–0,nl  Ajax,ua  Dynamo Kyiv,Y,CM,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
9,2018-09-02,Sun,Dutch Eredivisie,Regular Season,Away,W 4–0,Ajax,Vitesse,Y,CM,69,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
10,2018-09-06,Thu,Friendlies (M),Friendlies (M),Home,W 2–1,nl  Netherlands,pe  Peru,N,,45,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
11,2018-09-09,Sun,UEFA Nations League,League A,Away,L 1–2,nl  Netherlands,fr  France,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
12,2018-09-15,Sat,Dutch Eredivisie,Regular Season,Home,W 3–0,Ajax,Groningen,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
13,2018-09-19,Wed,Champions Lg,Group stage,Home,W 3–0,nl  Ajax,gr  AEK Athens,Y,CB,90,0,0,0,0,1,0,1,0,94,9,1,0,3,0.1,0.1,0.0,4,2,81,82,98.8,5,66,9,1,1,Match Report
14,2018-09-23,Sun,Dutch Eredivisie,Regular Season,Away,L 0–3,Ajax,PSV Eindhoven,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2018-10-07,Sun,Dutch Eredivisie,Regular Season,Home,W 5–0,Ajax,AZ Alkmaar,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
17,2018-10-13,Sat,UEFA Nations League,League A,Home,W 3–0,nl  Netherlands,de  Germany,Y,CM,76,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
18,2018-10-16,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,nl  Netherlands,be  Belgium,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
19,2018-10-20,Sat,Dutch Eredivisie,Regular Season,Away,W 4–0,Ajax,Heerenveen,Y,CM,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
20,2018-10-23,Tue,Champions Lg,Group stage,Home,W 1–0,nl  Ajax,pt  Benfica,Y,LM,90,0,0,0,0,2,0,0,0,89,16,2,2,2,0.0,0.0,0.1,6,0,63,75,84.0,8,59,10,1,1,Match Report
21,2018-10-28,Sun,Dutch Eredivisie,Regular Season,Home,W 3–0,Ajax,Feyenoord,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
22,2018-11-03,Sat,Dutch Eredivisie,Regular Season,Home,W 2–0,Ajax,Willem II,Y,CM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
23,2018-11-07,Wed,Champions Lg,Group stage,Away,D 1–1,nl  Ajax,pt  Benfica,Y,DM,85,0,0,0,0,0,0,0,0,80,9,2,2,1,0.0,0.0,0.0,2,0,66,72,91.7,3,61,4,0,0,Match Report
24,2018-11-11,Sun,Dutch Eredivisie,Regular Season,Away,W 7–1,Ajax,Excelsior,Y,CM,61,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
25,2018-11-16,Fri,UEFA Nations League,League A,Home,W 2–0,nl  Netherlands,fr  France,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
26,2018-11-19,Mon,UEFA Nations League,League A,Away,D 2–2,nl  Netherlands,de  Germany,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
27,2018-11-24,Sat,Dutch Eredivisie,Regular Season,Away,W 3–0,Ajax,NAC Breda,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
