,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
0,2020-09-04,Fri,UEFA Nations League,League A,Home,W 1–0,nl  Netherlands,pl  Poland,Y,CM,90,0,0,0,0,1,0,1,0,,,,1,,,,,,,,,,,,,,,Match Report
1,2020-09-07,Mon,UEFA Nations League,League A,Home,L 0–1,nl  Netherlands,it  Italy,Y,CM,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 4–0,Barcelona,Villarreal,Y,DM,90,0,0,0,0,0,0,0,0,89,7,0,0,0,0.0,0.0,0.2,4,1,78,87,89.7,5,75,11,1,2,Match Report
3,2020-10-01,Thu,La Liga,Matchweek 4,Away,W 3–0,Barcelona,Celta Vigo,Y,CM,90,0,0,0,0,0,0,0,0,65,9,2,1,1,0.0,0.0,0.2,0,0,49,57,86.0,2,50,4,3,3,Match Report
4,2020-10-04,Sun,La Liga,Matchweek 5,Home,D 1–1,Barcelona,Sevilla,Y,CM,90,0,0,0,0,1,0,0,0,64,5,0,0,1,0.4,0.4,0.0,1,0,46,56,82.1,5,54,5,2,2,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,L 0–1,nl  Netherlands,mx  Mexico,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,nl  Netherlands,ba  Bosnia and Herzegovina,Y,CM,90,0,0,0,0,2,1,0,0,,,,2,,,,,,,,,,,,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Away,D 1–1,nl  Netherlands,it  Italy,Y,DM,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,L 0–1,Barcelona,Getafe,Y,DM,79,0,0,0,0,0,0,0,0,64,8,0,1,1,0.0,0.0,0.0,0,0,49,56,87.5,3,48,5,1,1,Match Report
9,2020-10-20,Tue,Champions Lg,Group stage,Home,W 5–1,es  Barcelona,hu  Ferencváros,Y,DM,90,0,1,0,0,0,0,0,0,82,13,1,0,0,0.0,0.0,0.3,3,1,72,79,91.1,6,68,11,1,1,Match Report
10,2020-10-24,Sat,La Liga,Matchweek 7,Home,L 1–3,Barcelona,Real Madrid,Y,DM,90,0,0,0,0,0,0,0,0,84,12,1,0,3,0.0,0.0,0.0,1,0,68,74,91.9,9,66,7,1,1,Match Report
11,2020-10-28,Wed,Champions Lg,Group stage,Away,W 2–0,es  Barcelona,it  Juventus,Y,"DM,CB",90,0,0,0,0,0,0,0,0,53,9,1,1,0,0.0,0.0,0.0,0,0,46,49,93.9,0,36,2,0,0,Match Report
12,2020-10-31,Sat,La Liga,Matchweek 8,Away,D 1–1,Barcelona,Alavés,Y,"DM,CB",90,0,0,0,0,1,0,0,0,108,5,1,0,1,0.2,0.2,0.0,3,0,97,103,94.2,7,80,18,0,0,Match Report
13,2020-11-04,Wed,Champions Lg,Group stage,Home,W 2–1,es  Barcelona,ua  Dynamo Kyiv,Y,"CB,DM",90,0,0,0,0,0,0,0,0,99,8,1,0,2,0.0,0.0,0.0,1,1,91,94,96.8,9,78,21,0,0,Match Report
14,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 5–2,Barcelona,Betis,Y,DM,90,0,0,0,0,0,0,0,0,78,14,1,1,0,0.0,0.0,0.0,3,1,66,76,86.8,12,65,10,0,0,Match Report
15,2020-11-11,Wed,Friendlies (M),Friendlies (M),Home,D 1–1,nl  Netherlands,es  Spain,Y,CM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
16,2020-11-15,Sun,UEFA Nations League,League A,Home,W 3–1,nl  Netherlands,ba  Bosnia and Herzegovina,Y,CM,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,Match Report
17,2020-11-18,Wed,UEFA Nations League,League A,Away,W 2–1,nl  Netherlands,pl  Poland,Y,CM,90,0,0,0,0,1,1,0,0,,,,2,,,,,,,,,,,,,,,Match Report
