,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
339,Brais Méndez,es  ESP,MF,Celta Vigo,25-119,1997,33,32,2690,29.9,4,5,4,0,0,7,0,0.13,0.17,0.30,0.13,0.30,3.9,3.9,2.6,6.6,0.13,0.09,0.22,0.13,0.22
340,Édgar Méndez,es  ESP,"FW,MF",Alavés,32-124,1990,30,16,1489,16.5,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,2.1,2.1,1.5,3.6,0.12,0.09,0.22,0.12,0.22
341,Ferland Mendy,fr  FRA,DF,Real Madrid,26-332,1995,19,18,1552,17.2,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.9,0.9,1.2,2.0,0.05,0.07,0.12,0.05,0.12
342,Fran Mérida,es  ESP,MF,Espanyol,32-063,1990,8,2,183,2.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.05,0.09,0.04,0.09
343,Mikel Merino,es  ESP,MF,Real Sociedad,25-318,1996,30,29,2531,28.1,3,2,3,0,0,7,0,0.11,0.07,0.18,0.11,0.18,3.7,3.7,3.2,6.9,0.13,0.12,0.25,0.13,0.25
344,Martín Merquelanz,es  ESP,FW,Rayo Vallecano,26-328,1995,4,3,173,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.08,0.36,0.43,0.08,0.43
345,Matt Miazga,us  USA,DF,Alavés,26-291,1995,11,9,833,9.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04
346,Miguel,es  ESP,"FW,MF",Alavés,22-245,1999,19,7,609,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,1.6,1.6,0.3,1.8,0.23,0.04,0.27,0.23,0.27
347,Éder Militão,br  BRA,DF,Real Madrid,24-108,1998,31,31,2784,30.9,1,2,1,0,0,5,0,0.03,0.06,0.10,0.03,0.10,2.6,2.6,1.2,3.8,0.08,0.04,0.12,0.08,0.12
348,Luis Milla,es  ESP,MF,Granada,27-211,1994,29,28,2412,26.8,3,3,0,3,3,4,0,0.11,0.11,0.22,0.00,0.11,3.5,1.2,3.6,4.8,0.13,0.13,0.26,0.04,0.17
349,Pere Milla,es  ESP,"FW,MF",Elche,29-225,1992,29,14,1459,16.2,8,3,8,0,0,3,0,0.49,0.19,0.68,0.49,0.68,4.2,4.2,1.8,6.1,0.26,0.11,0.37,0.26,0.37
350,Santi Mina,es  ESP,FW,Celta Vigo,26-150,1995,33,30,2367,26.3,7,3,7,0,1,4,0,0.27,0.11,0.38,0.27,0.38,7.9,7.1,2.0,9.1,0.30,0.07,0.37,0.27,0.35
351,Óscar Mingueza,es  ESP,DF,Barcelona,22-358,1999,16,8,792,8.8,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.9,1.1,0.02,0.10,0.12,0.02,0.12
352,Rafa Mir,es  ESP,FW,Sevilla,24-322,1997,30,17,1672,18.6,9,0,9,0,0,5,0,0.48,0.00,0.48,0.48,0.48,6.8,6.8,0.4,7.2,0.37,0.02,0.39,0.37,0.39
353,Jorge Miramón,es  ESP,DF,Levante,32-338,1989,25,20,1758,19.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.1,0.03,0.03,0.06,0.03,0.06
354,Juan Miranda,es  ESP,DF,Betis,22-107,2000,11,9,762,8.5,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,1.0,1.1,0.02,0.12,0.13,0.02,0.13
