,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Abdelkabir Abqar,MAR,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Adrian Rodriguez,ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Alan Godoy,ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Alex Balboa,EQG,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,4,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19.0,21,6,672.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,0.13,0.05,0.18,0.13,0.18
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,34,34,3053.0,33.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.01,0.01,0.0,0.01
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30.0,30,30,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.3,1.8,0.05,0.01,0.06,0.05,0.06
ESP-La Liga,2122,Alavés,George Gagua,GEO,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28.0,17,15,1300.0,14.4,5.0,0.0,5.0,0.0,0.0,8.0,1.0,0.35,0.0,0.35,0.35,0.35,2.9,2.9,0.1,3.0,0.2,0.01,0.21,0.2,0.21
ESP-La Liga,2122,Alavés,Iván Martín,ESP,MF,22.0,6,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05
ESP-La Liga,2122,Alavés,Iván Sanz,ESP,,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27.0,14,10,678.0,7.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,0.6,0.6,1.7,2.3,0.08,0.22,0.31,0.08,0.31
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19.0,9,4,462.0,5.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.05,0.05,0.0,0.05
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29.0,10,2,279.0,3.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,0.17,0.1,0.27,0.17,0.27
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31.0,37,35,3122.0,34.7,14.0,4.0,8.0,6.0,7.0,0.0,0.0,0.4,0.12,0.52,0.23,0.35,12.4,7.0,4.0,11.0,0.36,0.12,0.47,0.2,0.32
ESP-La Liga,2122,Alavés,Loum Ndiaye,SEN,MF,24.0,32,26,2312.0,25.7,2.0,0.0,2.0,0.0,0.0,10.0,0.0,0.08,0.0,0.08,0.08,0.08,2.3,2.3,0.1,2.5,0.09,0.01,0.1,0.09,0.1
ESP-La Liga,2122,Alavés,Lucas Pérez,ESP,"FW,MF",32.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"FW,MF",27.0,37,36,3111.0,34.6,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.03,0.09,0.12,0.03,0.12,3.1,3.1,4.8,7.9,0.09,0.14,0.23,0.09,0.23
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,13,4,394.0,4.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,24,10,1077.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,1.1,1.4,0.03,0.09,0.12,0.03,0.12
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,11,2,370.0,4.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24,0.24,0.49,0.24,0.49,1.0,1.0,0.4,1.3,0.23,0.1,0.33,0.23,0.33
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,3,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.45,0.45,0.0,0.45
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,24,17,1616.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,1.0,1.2,0.01,0.05,0.07,0.01,0.07
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,11,9,833.0,9.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,22,10,829.0,9.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.22,0.11,0.22,2.1,2.1,0.3,2.4,0.23,0.03,0.26,0.23,0.26
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,14,12,1073.0,11.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.02,0.03,0.05,0.02,0.05
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38,418,3420.0,38.0,65.0,48.0,59.0,6.0,9.0,79.0,4.0,1.71,1.26,2.97,1.55,2.82,58.4,51.6,41.4,93.0,1.54,1.09,2.63,1.36,2.45
ESP-La Liga,2122,Alavés,Oscar Medina,,GK,,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,27,17,1366.0,15.2,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,2.0,2.0,0.6,2.6,0.13,0.04,0.17,0.13,0.17
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,34,31,2621.0,29.1,0.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.14,0.14,0.0,0.14,0.5,0.5,2.1,2.6,0.02,0.07,0.09,0.02,0.09
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38,418,3420.0,38.0,29.0,20.0,23.0,6.0,7.0,93.0,4.0,0.76,0.53,1.29,0.61,1.13,36.9,31.7,22.7,54.3,0.97,0.6,1.57,0.83,1.43
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,5,2,239.0,2.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.03,0.0,0.03
ESP-La Liga,2122,Alavés,Taichi Hara,JPN,FW,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,29,16,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.02,0.02,0.04,0.02,0.04
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,28,17,1386.0,15.4,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,1.2,1.2,1.7,2.9,0.08,0.11,0.19,0.08,0.19
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,34,34,3042.0,33.8,3.0,2.0,3.0,0.0,0.0,9.0,0.0,0.09,0.06,0.15,0.09,0.15,1.9,1.9,0.2,2.1,0.06,0.0,0.06,0.06,0.06
