,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,2,Rubén Alcaraz,Valladolid,Saved,33.0,Right Foot,,Kenan Kodro,Pass (Live),Nacho,Pass (Live)
1,9,Kenan Kodro,Valladolid,Woodwork,9.0,Head,,Saidy Janko,Pass (Live),,
2,11,Óscar Mingueza,Barcelona,Saved,9.0,Head,,Lionel Messi,Pass (Dead),,
3,45+1,Pedri,Barcelona,Saved to Post,25.0,Right Foot,,,,,
4,,,,,,,,,,,
5,47,Jordi Alba,Barcelona,Off Target,26.0,Left Foot,,Pedri,Pass (Live),Sergio Busquets,Pass (Live)
6,55,Clément Lenglet,Barcelona,Saved,31.0,Left Foot,,Lionel Messi,Pass (Live),Sergio Busquets,Pass (Live)
7,57,Lucas Olaza,Valladolid,Off Target,16.0,Left Foot,,Lucas Olaza,Dribble,Rubén Alcaraz,Pass (Live)
8,65,Óscar Plano,Valladolid,Off Target,20.0,Right Foot,Half volley,Nacho,Pass (Live),Jordi Masip,Pass (Live)
9,74,Martin Braithwaite,Barcelona,Blocked,15.0,Right Foot,Half volley,,,,
10,82,Maranhão,Valladolid,Saved,28.0,Right Foot,,Nacho,Pass (Live),Roque Mesa,Pass (Live)
11,89,Ilaix,Barcelona,Off Target,1.0,Head,,Francisco Trincão,Pass (Live),Lionel Messi,Pass (Live)
12,90,Ronald Araújo,Barcelona,Wayward,6.0,Head,,Frenkie de Jong,Pass (Live),Francisco Trincão,Pass (Live)
13,90+2,Riqui Puig,Barcelona,Saved,26.0,Right Foot,,Frenkie de Jong,Pass (Live),Lionel Messi,Pass (Live)
