,Valladolid (3-5-2),Valladolid (3-5-2).1
0,1,Jordi Masip
1,3,Kenan Kodro
2,5,Javi Sánchez
3,6,Bruno González
4,7,Sergi Guardiola
5,10,Óscar Plano
6,14,Rubén Alcaraz
7,17,Roque Mesa
8,18,Saidy Janko
9,22,Nacho
10,25,Lucas Olaza
11,Bench,Bench
12,26,Samu Pérez
13,11,Pablo Hervías
14,16,Maranhão
15,19,Toni Villa
16,23,Waldo Rubio
17,27,Kuki
18,29,Oriol Rey
19,30,Miguel Ángel Rubio
20,32,Fran Álvarez
21,35,Mohamed Moukhliss
