,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Kenan Kodro,3.0,ba  BIH,FW,27-229,84,18,21,85.7,227,20,12,14,85.7,5,5,100.0,0,0,,0,0.1,2,0,0,0,0
1,Waldo Rubio,23.0,es  ESP,FW,25-231,6,1,1,100.0,7,3,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
2,Sergi Guardiola,7.0,es  ESP,FW,29-311,76,17,27,63.0,257,93,10,16,62.5,4,5,80.0,2,4,50.0,0,0.0,0,0,2,0,3
3,Maranhão,16.0,br  BRA,FW,24-167,14,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
4,Rubén Alcaraz,14.0,es  ESP,CM,29-339,90,42,53,79.2,882,190,16,20,80.0,19,21,90.5,6,9,66.7,0,0.1,1,0,0,0,0
5,Roque Mesa,17.0,es  ESP,CM,31-302,90,35,42,83.3,610,231,17,18,94.4,14,16,87.5,3,5,60.0,0,0.0,0,6,0,0,6
6,Óscar Plano,10.0,es  ESP,DM,30-053,78,25,25,100.0,377,103,15,15,100.0,7,7,100.0,2,2,100.0,0,0.0,0,2,2,0,5
7,Nacho,22.0,es  ESP,WB,32-029,90,33,42,78.6,571,200,15,17,88.2,15,18,83.3,2,3,66.7,0,0.1,2,5,1,0,3
8,Saidy Janko,18.0,ch  SUI,WB,25-165,64,21,29,72.4,319,127,11,15,73.3,8,11,72.7,2,2,100.0,0,0.1,2,1,1,1,1
9,Pablo Hervías,11.0,es  ESP,WB,28-028,26,8,10,80.0,109,73,4,4,100.0,3,4,75.0,0,0,,0,0.0,0,0,0,0,0
10,Lucas Olaza,25.0,uy  URU,CB,26-258,90,18,31,58.1,328,228,9,9,100.0,5,7,71.4,4,15,26.7,0,0.0,0,0,1,0,1
11,Javi Sánchez,5.0,es  ESP,CB,24-022,90,9,13,69.2,233,55,2,2,100.0,3,4,75.0,4,7,57.1,0,0.0,0,0,0,0,1
12,Bruno González,6.0,es  ESP,CB,30-316,90,12,15,80.0,269,120,3,3,100.0,6,7,85.7,3,4,75.0,0,0.0,0,0,0,0,0
13,Jordi Masip,1.0,es  ESP,GK,32-092,90,16,37,43.2,741,564,2,2,100.0,1,1,100.0,13,34,38.2,0,0.0,0,1,0,0,0
14,14 Players,,,,,978,255,346,73.7,4930,2007,117,136,86.0,90,106,84.9,41,85,48.2,0,0.3,7,15,7,1,20
