,Possession_Barcelona,Possession_Valladolid
0,68%,32%
1,Passing Accuracy,Passing Accuracy
2,658 of 742 —  89%,74%  — 255 of 346
3,Shots on Target,Shots on Target
4,10 of 25 —  40%,29%  — 2 of 7
5,Saves,Saves
6,2 of 2 —  100%,80%  — 8 of 10
7,Cards,Cards
8,,
