,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Kenan Kodro,3.0,ba  BIH,FW,27-229,84,0,0,0,2,2,1,0,2,0,0,0,0,5,1,0,100.0
1,Waldo Rubio,23.0,es  ESP,FW,25-231,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Sergi Guardiola,7.0,es  ESP,FW,29-311,76,1,0,0,3,1,0,0,2,0,0,0,0,0,5,5,50.0
3,Maranhão,16.0,br  BRA,FW,24-167,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
4,Rubén Alcaraz,14.0,es  ESP,CM,29-339,90,0,0,0,3,2,0,0,1,1,0,0,0,15,1,1,50.0
5,Roque Mesa,17.0,es  ESP,CM,31-302,90,0,0,0,1,3,1,0,3,2,0,0,0,11,1,0,100.0
6,Óscar Plano,10.0,es  ESP,DM,30-053,78,0,1,0,0,2,0,0,3,1,0,0,0,8,0,0,
7,Nacho,22.0,es  ESP,WB,32-029,90,0,0,0,0,1,0,3,2,2,0,0,0,5,0,1,0.0
8,Saidy Janko,18.0,ch  SUI,WB,25-165,64,0,0,0,0,0,0,1,3,0,0,0,0,6,4,1,80.0
9,Pablo Hervías,11.0,es  ESP,WB,28-028,26,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,
10,Lucas Olaza,25.0,uy  URU,CB,26-258,90,0,0,0,1,0,0,3,3,0,0,0,0,5,0,0,
11,Javi Sánchez,5.0,es  ESP,CB,24-022,90,0,0,0,0,0,0,0,4,2,0,0,0,3,0,0,
12,Bruno González,6.0,es  ESP,CB,30-316,90,1,0,0,2,0,0,0,2,0,0,0,0,5,2,3,40.0
13,Jordi Masip,1.0,es  ESP,GK,32-092,90,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
14,14 Players,,,,,978,3,1,0,12,11,2,7,27,8,0,0,0,72,14,13,51.9
