,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
549,Sidnei Tavares,pt  POR,MF,Leicester City,18,2001,2,85,43,2.5,0.9,1,71,,1,14,2,2.00,1,1,0,0.00,-0.49,0.9,0.9,0.0,+0.02,-0.20
550,Caleb Taylor,eng  ENG,MF,West Brom,17,2003,0,,,,,0,,,0,,2,,,,,,,,,,,
551,Charlie Taylor,eng  ENG,DF,Burnley,26,1993,29,2426,84,70.9,27.0,28,85,,1,58,1,1.00,19,42,-23,-0.85,-0.94,28.0,41.3,-13.3,-0.49,-0.09
552,Neil Taylor,wls  WAL,DF,Aston Villa,31,1989,1,16,16,0.5,0.2,0,,,1,16,26,0.00,0,2,-2,-11.25,-11.54,0.3,0.9,-0.6,-3.41,-3.43
553,Allan Tchaptchet,fr  FRA,DF,Southampton,18,2001,1,13,13,0.4,0.1,0,,,1,13,1,0.00,0,3,-3,-20.77,-20.29,0.0,1.7,-1.7,-11.66,-11.40
554,Nathan Tella,eng  ENG,"FW,MF",Southampton,21,1999,18,745,41,21.8,8.3,7,62,,11,29,10,0.83,9,11,-2,-0.24,+0.40,11.3,11.4,-0.1,-0.01,+0.38
555,Alex Telles,br  BRA,DF,Manchester Utd,27,1992,9,690,77,20.2,7.7,8,82,,1,31,22,2.33,15,11,+4,+0.52,-0.30,15.2,8.2,+7.0,+0.91,+0.55
556,Kenny Tete,nl  NED,DF,Fulham,24,1995,22,1481,67,43.3,16.5,18,80,,4,11,2,0.73,10,27,-17,-1.03,-0.62,18.3,22.7,-4.3,-0.26,+0.08
557,William Thomas Fish,eng  ENG,DF,Manchester Utd,17,2003,1,1,1,0.0,0.0,0,,,1,1,0,3.00,0,0,0,0.00,-0.76,0.0,0.0,0.0,0.00,-0.47
558,Bobby Thomas,eng  ENG,DF,Burnley,,,0,,,,,0,,,0,,2,,,,,,,,,,,
559,Luke Thomas,eng  ENG,DF,Leicester City,19,2001,14,969,69,28.3,10.8,12,75,,2,34,17,1.43,23,18,+5,+0.46,-0.01,17.4,13.2,+4.2,+0.39,+0.24
560,Max Thompson,eng  ENG,FW,Burnley,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
561,Youri Tielemans,be  BEL,MF,Leicester City,23,1997,38,3357,88,98.2,37.3,37,90,,1,34,0,1.74,68,50,+18,+0.48,+0.48,54.6,47.2,+7.4,+0.20,-1.19
562,Kieran Tierney,sct  SCO,DF,Arsenal,23,1997,27,2299,85,67.2,25.5,26,87,,1,28,0,1.59,35,27,+8,+0.31,-0.33,34.6,29.8,+4.8,+0.19,-0.17
563,James Tomkins,eng  ENG,DF,Crystal Palace,31,1989,8,553,69,16.2,6.1,6,85,,2,23,4,1.00,6,12,-6,-0.98,-0.38,4.4,7.2,-2.8,-0.46,+0.24
564,Fikayo Tomori,eng  ENG,DF,Chelsea,22,1997,1,45,45,1.3,0.5,0,,,1,45,4,0.00,0,2,-2,-4.00,-4.64,1.0,1.9,-0.9,-1.86,-2.72
565,Ferrán Torres,es  ESP,"FW,MF",Manchester City,20,2000,24,1306,54,38.2,14.5,15,74,,9,22,13,2.13,29,13,+16,+1.10,-0.39,25.2,12.3,+12.8,+0.89,-0.35
566,Cenk Tosun,tr  TUR,FW,Everton,29,1991,5,48,10,1.4,0.5,0,,,5,10,6,0.80,1,3,-2,-3.75,-3.78,1.6,2.3,-0.7,-1.36,-1.25
567,Andros Townsend,eng  ENG,"MF,FW",Crystal Palace,29,1991,34,2258,66,66.0,25.1,25,84,,9,18,4,1.18,25,37,-12,-0.48,+0.53,20.8,35.5,-14.8,-0.59,+0.21
568,Conor Townsend,eng  ENG,DF,West Brom,27,1993,25,2234,89,65.3,24.8,25,89,,0,,2,0.80,23,36,-13,-0.52,+1.60,25.9,40.5,-14.6,-0.59,+0.89
569,James Trafford,eng  ENG,GK,Manchester City,17,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
570,Adama Traoré,es  ESP,FW,Wolves,24,1996,37,2649,72,77.5,29.4,28,87,,9,25,0,1.22,31,41,-10,-0.34,+0.36,33.9,35.9,-2.1,-0.07,+0.39
571,Bertrand Traoré,bf  BFA,FW,Aston Villa,24,1995,36,2317,64,67.7,25.7,29,74,,7,25,0,1.36,32,31,+1,+0.04,-0.61,33.4,35.0,-1.6,-0.06,-0.20
