,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,29,1990,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0
1,Tammy Abraham,eng  ENG,FW,Chelsea,22,1997,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0
2,Che Adams,sct  SCO,FW,Southampton,24,1996,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,22,1997,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0
4,Adrián,es  ESP,GK,Liverpool,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Sergio Agüero,ar  ARG,"FW,MF",Manchester City,32,1988,6.2,16,2.58,13,0,2,0,0,1,3,0.48,2,0,1,0,0,0
6,Ola Aina,ng  NGA,DF,Fulham,23,1996,29.6,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0
7,Rayan Aït Nouri,fr  FRA,DF,Wolves,19,2001,15.6,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0
8,Semi Ajayi,ng  NGA,DF,West Brom,26,1993,30.9,14,0.45,11,0,2,1,0,0,3,0.10,2,0,0,1,0,0
9,Nathan Aké,nl  NED,DF,Manchester City,25,1995,8.9,3,0.34,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
10,Marc Albrighton,eng  ENG,"DF,FW",Leicester City,30,1989,19.4,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1
11,Thiago Alcántara,es  ESP,MF,Liverpool,29,1991,20.6,61,2.96,51,2,3,2,1,2,2,0.10,2,0,0,0,0,0
12,Toby Alderweireld,be  BEL,DF,Tottenham,31,1989,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0
13,Rúnar Alex Rúnarsson,is  ISL,GK,Arsenal,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,21,1998,33.7,123,3.65,78,32,7,6,0,0,13,0.39,10,2,0,1,0,0
15,Ezgjan Alioski,mk  MKD,DF,Leeds United,28,1992,27.3,57,2.08,49,3,0,3,2,0,6,0.22,4,1,0,1,0,0
16,Alisson,br  BRA,GK,Liverpool,27,1992,33.0,5,0.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Allan,br  BRA,MF,Everton,29,1991,22.8,38,1.67,32,0,4,1,1,0,2,0.09,2,0,0,0,0,0
18,Dele Alli,eng  ENG,MF,Tottenham,24,1996,6.9,22,3.19,18,0,0,1,2,1,3,0.44,2,0,0,1,0,0
