,minute,team,player,x,y,xG,result,shotType,assist
0,3,Arsenal,Martin Odegaard,0.7919999694824219,0.675,0.023008374497294426,BlockedShot,LeftFoot,Emile Smith-Rowe
1,5,Arsenal,Thomas Partey,0.7140000152587891,0.4929999923706055,0.018891341984272003,MissedShots,RightFoot,Granit Xhaka
2,5,Arsenal,Granit Xhaka,0.6880000305175781,0.435,0.014004459604620934,SavedShot,LeftFoot,Calum Chambers
3,6,Arsenal,Nicolas Pepe,0.7719999694824219,0.35900001525878905,0.01802551932632923,BlockedShot,LeftFoot,Pierre-Emerick Aubameyang
4,9,Arsenal,Martin Odegaard,0.7869999694824219,0.6419999694824219,0.02365461178123951,BlockedShot,LeftFoot,Emile Smith-Rowe
5,23,Arsenal,Pierre-Emerick Aubameyang,0.9530000305175781,0.5690000152587891,0.1463516503572464,MissedShots,OtherBodyPart,Martin Odegaard
6,26,Arsenal,Thomas Partey,0.8130000305175781,0.7290000152587891,0.01791401207447052,SavedShot,RightFoot,Pierre-Emerick Aubameyang
7,26,Arsenal,Granit Xhaka,0.6890000152587891,0.4570000076293945,0.017330745235085487,BlockedShot,LeftFoot,Emile Smith-Rowe
8,28,Arsenal,Granit Xhaka,0.7269999694824218,0.2989999961853027,0.035846009850502014,SavedShot,LeftFoot,None
9,43,Arsenal,Gabriel,0.91,0.6029999923706054,0.013912434689700603,ShotOnPost,Head,Granit Xhaka
10,44,Arsenal,Thomas Partey,0.9290000152587891,0.42400001525878905,0.07064541429281235,MissedShots,Head,Martin Odegaard
11,48,Arsenal,Nicolas Pepe,0.9019999694824219,0.37599998474121094,0.0679204985499382,Goal,RightFoot,Calum Chambers
12,59,Arsenal,Nicolas Pepe,0.8719999694824219,0.31,0.06008283793926239,Goal,LeftFoot,Martin Odegaard
13,67,Arsenal,Pierre-Emerick Aubameyang,0.9169999694824219,0.6959999847412109,0.10961167514324188,MissedShots,LeftFoot,Emile Smith-Rowe
14,68,Arsenal,Nicolas Pepe,0.7859999847412109,0.6140000152587891,0.04300326481461525,MissedShots,LeftFoot,Pierre-Emerick Aubameyang
15,72,Arsenal,Thomas Partey,0.855999984741211,0.6179999923706054,0.0927015170454979,ShotOnPost,RightFoot,Granit Xhaka
16,34,Brighton,Jakub Moder,0.895,0.6120000076293945,0.10073334723711014,BlockedShot,LeftFoot,Alireza Jahanbakhsh
17,34,Brighton,Lewis Dunk,0.735,0.7219999694824218,0.009818541817367077,MissedShots,RightFoot,None
18,50,Brighton,Aaron Connolly,0.9180000305175782,0.6759999847412109,0.05167355015873909,MissedShots,RightFoot,None
19,55,Brighton,Yves Bissouma,0.750999984741211,0.45299999237060545,0.0208560973405838,MissedShots,RightFoot,None
20,64,Brighton,Jakub Moder,0.765,0.7619999694824219,0.010886820033192635,SavedShot,RightFoot,Aaron Connolly
