,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isOwnGoal,isGoal,cardType.value,cardType.displayName,venue,opponent
10,2308407253.0,8,0,30.0,338,58.8,13.8,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.3'}]","[90, 118, 116, 29, 138, 34, 37, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,44721.0,54.4,4.3,,,,,,,,,,,,Telia Parken,Croatia
11,2308407255.0,9,0,32.0,338,54.4,4.3,0,[],[92],False,1,FirstHalf,49,BallRecovery,1,Successful,25931.0,,,,,,,,,,,,,,Telia Parken,Croatia
12,2308407273.0,10,0,32.0,338,54.4,4.3,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.7'}]","[90, 116, 29, 34, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,25931.0,36.2,35.8,,,,,,,,,,,,Telia Parken,Croatia
13,2308407281.0,11,0,35.0,338,36.2,35.8,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.4'}]","[90, 116, 29, 34, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,368091.0,34.7,43.4,,,,,,,,,,,,Telia Parken,Croatia
14,2308407289.0,12,0,39.0,338,36.6,47.9,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.2'}]","[90, 116, 29, 35, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,122117.0,45.6,84.1,,,,,,,,,,,,Telia Parken,Croatia
15,2308407319.0,13,0,42.0,338,45.5,71.5,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.5'}]","[90, 116, 29, 34, 37, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,119817.0,41.4,35.5,,,,,,,,,,,,Telia Parken,Croatia
16,2308407327.0,14,0,49.0,338,54.0,36.3,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.5'}]","[90, 118, 116, 29, 34, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,368091.0,53.0,58.5,,,,,,,,,,,,Telia Parken,Croatia
17,2308407339.0,15,0,51.0,338,53.0,58.5,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.7'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,122117.0,58.1,32.2,,,,,,,,,,,,Telia Parken,Croatia
18,2308407345.0,16,0,55.0,338,56.4,28.6,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.7'}]","[90, 118, 116, 29, 34, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,44721.0,53.7,44.0,,,,,,,,,,,,Telia Parken,Croatia
19,2308407349.0,17,0,57.0,338,54.1,44.2,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 118, 116, 29, 35, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,368091.0,54.4,58.1,,,,,,,,,,,,Telia Parken,Croatia
20,2308407353.0,18,1,1.0,338,59.0,61.7,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.7'}]","[90, 118, 116, 29, 35, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,122117.0,65.9,71.1,,,,,,,,,,,,Telia Parken,Croatia
