,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,cardType.value,cardType.displayName,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,venue,opponent
13,2306667267.0,8,0,16.0,335,52.6,40.0,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 119, 28, 34, 36, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,0,Unsuccessful,115479.0,51.9,57.9,,,,,,,,,,,Johan Cruijff Arena,Netherlands
14,2306667279.0,10,0,18.0,324,49.1,40.6,0,[],[92],False,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,49,BallRecovery,1,Successful,40560.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
15,2306667285.0,11,0,20.0,324,51.8,40.8,0,"[{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}]","[90, 62]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,4,Foul,1,Successful,40560.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
16,2306667281.0,9,0,20.0,335,48.2,59.2,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]",[63],False,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,4,Foul,0,Unsuccessful,110154.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
17,2306667313.0,12,0,29.0,324,50.8,41.2,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '70.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 131, 34, 36, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,40560.0,44.3,70.5,,,,,,,,,,,Johan Cruijff Arena,Netherlands
18,2306667325.0,13,0,35.0,324,57.1,74.1,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.6'}]","[90, 116, 29, 34, 37, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,83659.0,33.9,56.6,,,,,,,,,,,Johan Cruijff Arena,Netherlands
19,2306667331.0,14,0,40.0,324,33.2,62.0,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 116, 29, 35, 36, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,39722.0,38.9,92.6,,,,,,,,,,,Johan Cruijff Arena,Netherlands
20,2306667335.0,15,0,43.0,324,35.2,92.9,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.3'}]","[90, 116, 29, 35, 37, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,83659.0,44.7,92.3,,,,,,,,,,,Johan Cruijff Arena,Netherlands
21,2306667337.0,16,0,45.0,324,45.8,93.2,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '89.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,92051.0,60.1,89.1,,,,,,,,,,,Johan Cruijff Arena,Netherlands
22,2306667341.0,17,0,47.0,324,58.6,87.5,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.6'}]","[90, 117, 119, 28, 34, 37, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,0,Unsuccessful,25032.0,47.0,78.3,,,,,,,,,,,Johan Cruijff Arena,Netherlands
