,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Max Aarons,eng  ENG,DF,Norwich City,21,2000,32.0,8,0,0,31,59,1,45,56,37,0,2,1,177,15,51,22.7
1,Che Adams,sct  SCO,FW,Southampton,25,1996,22.7,0,0,0,31,47,7,11,10,9,0,0,0,120,56,111,33.5
2,Rayan Aït Nouri,fr  FRA,DF,Wolves,20,2001,20.3,4,0,0,20,23,3,56,38,43,1,0,0,135,20,19,51.3
3,Kristoffer Ajer,no  NOR,DF,Brentford,23,1998,22.2,5,0,0,18,19,0,12,49,22,0,0,0,186,63,38,62.4
4,Nathan Aké,nl  NED,DF,Manchester City,26,1995,10.3,0,0,0,8,5,0,0,18,5,0,0,0,78,41,8,83.7
5,Marc Albrighton,eng  ENG,"FW,DF",Leicester City,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3
6,Thiago Alcántara,es  ESP,MF,Liverpool,30,1991,17.0,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8
7,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45.0
8,Alisson,br  BRA,GK,Liverpool,28,1992,36.0,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,
9,Allan,br  BRA,MF,Everton,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48.0
10,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7
11,Marcos Alonso,es  ESP,DF,Chelsea,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4
12,Steven Alzate,co  COL,MF,Brighton,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8
13,Daniel Amartey,gh  GHA,DF,Leicester City,26,1994,23.6,4,0,0,17,9,1,0,30,12,0,0,0,211,45,38,54.2
14,Joachim Andersen,dk  DEN,DF,Crystal Palace,25,1996,32.4,4,0,0,19,8,1,14,60,23,0,0,1,287,84,43,66.1
15,Michail Antonio,jm  JAM,FW,West Ham,31,1990,33.0,8,1,1,51,63,13,54,14,23,0,0,0,138,81,145,35.8
16,Cameron Archer,eng  ENG,"MF,FW",Aston Villa,19,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3
17,Alphonse Areola,fr  FRA,GK,West Ham,28,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
18,Adam Armstrong,eng  ENG,FW,Southampton,24,1997,15.7,1,0,0,15,9,2,22,9,7,1,0,0,57,14,38,26.9
19,Stuart Armstrong,sct  SCO,MF,Southampton,29,1992,16.4,1,0,0,11,24,1,32,14,15,1,0,0,147,5,22,18.5
20,Kepa Arrizabalaga,es  ESP,GK,Chelsea,26,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,
21,Harrison Ashby,sct  SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
