,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Max Aarons,eng  ENG,DF,Norwich City,21,2000,34,2881,85,84.2,32.0,32,89,29,2,22,2,0.53,18,69,-51,-1.59,+0.08,25.8,60.8,-35.0,-1.09,+0.35
1,Tammy Abraham,eng  ENG,FW,Chelsea,23,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
2,Che Adams,sct  SCO,FW,Southampton,25,1996,30,2039,68,59.6,22.7,23,82,13,7,22,4,1.03,25,40,-15,-0.66,-0.08,29.7,34.4,-4.6,-0.21,+0.27
3,Omotayo Adaramola,ie  IRL,DF,Crystal Palace,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
4,Adrián,es  ESP,GK,Liverpool,34,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,
5,Rayan Aït Nouri,fr  FRA,DF,Wolves,20,2001,23,1828,79,53.5,20.3,20,89,17,3,13,12,1.13,25,26,-1,-0.05,+0.18,17.9,36.6,-18.7,-0.92,-0.60
6,Kristoffer Ajer,no  NOR,DF,Brentford,23,1998,24,1995,83,58.3,22.2,23,85,17,1,45,3,1.29,29,32,-3,-0.14,+0.18,29.6,29.8,-0.3,-0.01,+0.05
7,Nathan Aké,nl  NED,DF,Manchester City,26,1995,14,923,66,27.0,10.3,10,82,8,4,25,22,2.64,19,3,+16,+1.56,-0.49,20.8,6.0,+14.8,+1.44,-0.26
8,Marc Albrighton,eng  ENG,"FW,DF",Leicester City,31,1989,17,1132,67,33.1,12.6,11,90,11,6,24,17,1.35,16,24,-8,-0.64,-1.07,12.8,26.5,-13.8,-1.09,-1.24
9,Thiago Alcántara,es  ESP,MF,Liverpool,30,1991,25,1534,61,44.9,17.0,17,80,5,8,22,1,2.64,42,7,+35,+2.05,+0.48,42.1,11.1,+31.0,+1.82,+0.68
10,Ryan Alebiousu,eng  ENG,DF,Arsenal,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
11,Ajibola Alese,eng  ENG,DF,West Ham,21,2000,0,,,,,0,,0,0,,11,,,,,,,,,,,
12,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,22,1998,32,2853,89,83.4,31.7,32,89,30,0,,2,2.38,80,22,+58,+1.83,+0.24,75.5,30.4,+45.1,+1.42,-0.14
13,Alisson,br  BRA,GK,Liverpool,28,1992,36,3240,90,94.7,36.0,36,90,36,0,,0,2.44,87,24,+63,+1.75,-0.75,84.3,32.5,+51.8,+1.44,-0.16
14,Allan,br  BRA,MF,Everton,30,1991,28,2183,78,63.8,24.3,25,85,17,3,23,5,1.14,26,38,-12,-0.49,+0.31,27.4,33.4,-6.1,-0.25,+0.16
15,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,27,1994,30,1716,57,50.2,19.1,19,78,5,11,21,6,1.20,16,32,-16,-0.84,-0.73,18.0,30.1,-12.1,-0.63,-0.47
16,Marcos Alonso,es  ESP,DF,Chelsea,30,1990,28,2167,77,63.4,24.1,25,83,16,3,28,6,1.64,42,22,+20,+0.83,-0.82,38.9,22.9,+16.0,+0.66,-0.44
