,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
244,Joshua King,no  NOR,FW,Watford,29,1992,25.0,60,2.40,46,0,4,4,5,1,7,0.28,5,0,1,1,0,0
245,Kristoffer Klaesson,no  NOR,GK,Leeds United,20,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
246,Mateusz Klich,pl  POL,MF,Leeds United,31,1990,23.0,68,2.95,54,3,3,4,3,1,6,0.26,5,0,0,1,0,0
247,Robin Koch,de  GER,"MF,DF",Leeds United,25,1996,17.5,18,1.03,16,0,0,1,1,0,1,0.06,1,0,0,0,0,0
248,Sead Kolašinac,ba  BIH,DF,Arsenal,28,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
249,Ibrahima Konaté,fr  FRA,DF,Liverpool,22,1999,11.0,6,0.55,6,0,0,0,0,0,2,0.18,2,0,0,0,0,0
250,Ezri Konsa,eng  ENG,DF,Aston Villa,23,1997,27.5,10,0.36,8,0,0,1,0,1,0,0.00,0,0,0,0,0,0
251,Cheikhou Kouyaté,sn  SEN,MF,Crystal Palace,31,1989,21.9,17,0.78,14,0,2,0,0,1,1,0.05,1,0,0,0,0,0
252,Mateo Kovačić,hr  CRO,MF,Chelsea,27,1994,17.3,58,3.35,50,0,2,3,3,0,6,0.35,6,0,0,0,0,0
253,Emil Krafth,se  SWE,DF,Newcastle Utd,26,1994,18.2,13,0.72,7,4,1,1,0,0,1,0.06,1,0,0,0,0,0
254,Alex Král,cz  CZE,MF,West Ham,23,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
255,Tim Krul,nl  NED,GK,Norwich City,33,1988,29.0,5,0.17,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
256,Juraj Kucka,sk  SVK,MF,Watford,34,1987,21.3,37,1.73,23,0,5,2,5,2,2,0.09,1,0,0,0,1,0
257,Dejan Kulusevski,se  SWE,"MF,FW",Tottenham,21,2000,14.0,47,3.35,35,0,6,5,1,0,14,1.00,10,0,3,1,0,0
258,Alexandre Lacazette,fr  FRA,"FW,MF",Arsenal,30,1991,19.8,65,3.28,43,0,7,4,9,2,9,0.45,6,0,0,1,1,1
259,Adam Lallana,eng  ENG,MF,Brighton,33,1988,17.3,27,1.56,23,0,1,0,2,1,3,0.17,3,0,0,0,0,0
260,Tariq Lamptey,eng  ENG,"DF,FW",Brighton,20,2000,17.3,47,2.71,33,0,4,3,4,3,2,0.12,2,0,0,0,0,0
261,Manuel Lanzini,ar  ARG,"MF,FW",West Ham,28,1993,19.8,55,2.77,45,5,2,0,2,1,10,0.50,6,1,1,0,1,1
262,Aymeric Laporte,es  ESP,DF,Manchester City,27,1994,31.4,30,0.95,26,0,0,3,1,0,4,0.13,2,0,0,1,1,0
263,Jamaal Lascelles,eng  ENG,DF,Newcastle Utd,27,1993,22.9,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0
264,Pierre Lees-Melou,fr  FRA,MF,Norwich City,28,1993,25.2,52,2.07,44,1,1,1,1,4,1,0.04,0,0,0,0,1,0
265,Aaron Lennon,eng  ENG,MF,Burnley,34,1987,17.2,32,1.86,20,0,5,1,6,0,5,0.29,1,0,2,0,2,0
266,Bernd Leno,de  GER,GK,Arsenal,29,1992,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
267,Jamal Lewis,nir  NIR,DF,Newcastle Utd,23,1998,2.9,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0
268,Victor Lindelöf,se  SWE,DF,Manchester Utd,27,1994,26.2,10,0.38,10,0,0,0,0,0,3,0.11,3,0,0,0,0,0
269,Jesse Lingard,eng  ENG,"FW,MF",Manchester Utd,28,1992,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0
270,Valentino Livramento,eng  ENG,DF,Southampton,18,2002,24.5,40,1.63,37,0,1,0,2,0,2,0.08,1,0,0,0,1,0
271,Diego Llorente,es  ESP,DF,Leeds United,27,1993,26.0,6,0.23,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
272,Hugo Lloris,fr  FRA,GK,Tottenham,34,1986,38.0,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0
273,Giovani Lo Celso,ar  ARG,"MF,FW",Tottenham,25,1996,2.6,10,3.78,5,2,0,1,2,0,0,0.00,0,0,0,0,0,0
274,Jürgen Locadia,nl  NED,FW,Brighton,27,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
275,Ruben Loftus-Cheek,eng  ENG,"MF,DF",Chelsea,25,1996,15.5,52,3.36,39,0,3,4,3,3,7,0.45,4,0,0,2,0,1
276,Kevin Long,ie  IRL,DF,Burnley,30,1990,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
277,Shane Long,ie  IRL,FW,Southampton,34,1987,3.4,5,1.46,2,0,0,0,3,0,0,0.00,0,0,0,0,0,0
278,Sean Longstaff,eng  ENG,MF,Newcastle Utd,23,1997,16.3,24,1.48,20,1,0,1,0,2,4,0.25,3,0,0,0,0,1
279,Ademola Lookman,ng  NGA,"FW,MF",Leicester City,23,1997,16.1,40,2.48,30,1,4,2,2,1,2,0.12,1,0,0,0,1,0
