,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28.0,0,0,0,21,20,0,1,24,37,0,1,0,226,86,42,67.2
1,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,20.2,5,0,0,55,43,1,18,17,41,0,1,0,194,14,19,42.4
2,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,6.9,2,0,0,16,10,7,4,4,8,1,0,0,25,27,39,40.9
3,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,0.5,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50.0
4,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,11.3,3,0,0,13,18,0,11,9,18,0,0,0,85,9,14,39.1
5,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,10.6,2,0,0,13,6,0,0,10,11,0,0,0,94,41,13,75.9
6,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,11.9,2,2,0,10,20,0,52,11,28,0,0,0,119,16,15,51.6
7,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,7.0,3,1,0,11,14,1,2,12,19,0,0,0,72,12,10,54.5
8,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,6.0,1,0,0,10,3,0,1,5,7,0,0,0,79,8,7,53.3
9,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,14.2,3,0,0,11,12,0,38,13,18,0,0,0,143,19,8,70.4
10,Ludovic Ajorque,re  REU,FW,Strasbourg,25,1994,22.9,3,0,0,37,21,4,18,3,14,1,1,0,74,112,71,61.2
11,Marley Aké,fr  FRA,"FW,MF",Marseille,18,2001,1.1,1,0,0,3,3,0,1,2,2,0,0,0,7,0,4,0.0
