,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,24,1995,11,9,900,10.0,17,1.70,46,29,63.0,1,2,6,0,0.0,0,0,0,0,
1,Alphonse Areola,fr  FRA,GK,Paris S-G,26,1993,3,3,270,3.0,2,0.67,4,2,50.0,2,0,1,2,66.7,0,0,0,0,
2,Stefan Bajic,fr  FRA,GK,Saint-Étienne,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
3,Walter Benítez,ar  ARG,GK,Nice,26,1993,26,26,2340,26.0,36,1.38,129,99,75.2,9,8,9,4,15.4,6,4,1,1,20.0
4,Paul Bernardoni,fr  FRA,GK,Nîmes,22,1997,25,25,2204,24.5,38,1.55,102,69,66.7,7,4,14,6,24.0,4,4,0,0,0.0
5,Dimitry Bertaud,fr  FRA,GK,Montpellier,21,1998,3,3,196,2.2,3,1.38,6,3,50.0,0,0,3,0,0.0,0,0,0,0,
6,Ludovic Butelle,fr  FRA,GK,Angers,36,1983,26,26,2340,26.0,32,1.23,78,50,62.8,10,6,10,11,42.3,3,3,0,0,0.0
7,Marcin Bułka,pl  POL,GK,Paris S-G,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
8,Matis Carvalho,pt  POR,GK,Montpellier,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,
9,Yannis Clementia,fr  FRA,GK,Nice,22,1997,2,2,180,2.0,2,1.00,6,5,83.3,2,0,0,0,0.0,1,1,0,0,0.0
10,Benoît Costil,fr  FRA,GK,Bordeaux,32,1987,28,28,2520,28.0,34,1.21,106,75,69.8,9,10,9,6,21.4,3,2,1,0,33.3
11,Paul Delecroix,fr  FRA,GK,Metz,30,1988,2,1,135,1.5,4,2.67,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0
12,Lucas Dias,fr  FRA,GK,Nîmes,20,1999,4,3,316,3.5,6,1.71,18,12,66.7,0,2,1,1,33.3,0,0,0,0,
13,Mauro Goicoechea,uy  URU,GK,Toulouse,31,1988,2,2,180,2.0,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,
14,Alfred Gomis,sn  SEN,GK,Dijon,25,1993,19,19,1620,18.0,20,1.11,83,65,77.1,6,7,6,6,31.6,1,1,0,0,0.0
15,Régis Gurtner,fr  FRA,GK,Amiens,32,1986,28,28,2520,28.0,50,1.79,140,92,65.0,4,11,13,5,17.9,1,1,0,0,0.0
16,Lovre Kalinić,hr  CRO,GK,Toulouse,29,1990,4,4,306,3.4,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,
17,Alban Lafont,fr  FRA,GK,Nantes,20,1999,27,27,2430,27.0,29,1.07,91,65,71.4,11,4,12,10,37.0,6,3,2,1,40.0
18,Gautier Larsonneur,fr  FRA,GK,Brest,22,1997,27,27,2398,26.6,34,1.28,128,95,75.8,7,10,10,7,25.9,5,3,1,1,25.0
