,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28.0,61,37,43,16,2,14,28,50.0,14,299,111,37.1,189,97,13,43,19,0,24,24,85,166,1
1,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,20.2,60,41,24,34,2,24,62,38.7,38,417,114,27.3,121,233,63,18,3,0,15,17,77,22,0
2,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,6.9,10,8,3,5,2,3,11,27.3,8,181,53,29.3,5,86,90,1,0,0,1,4,14,5,0
3,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,0.5,0,0,0,0,0,0,3,0.0,3,17,4,23.5,6,10,1,0,0,0,0,1,1,0,0
4,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,11.3,27,18,6,15,6,10,31,32.3,21,328,86,26.2,72,166,90,11,0,0,11,9,36,4,0
5,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,10.6,14,11,9,4,1,6,13,46.2,7,106,28,26.4,74,30,2,21,13,0,8,10,24,88,2
6,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,11.9,39,28,20,14,5,18,27,66.7,9,203,71,35.0,99,75,29,11,2,0,9,11,50,25,1
7,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,7.0,21,19,5,14,2,4,11,36.4,7,148,57,38.5,24,104,20,8,1,0,7,12,33,13,0
8,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,6.0,11,7,7,4,0,2,25,8.0,23,164,48,29.3,41,108,15,12,2,0,10,5,16,7,0
9,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,14.2,32,18,13,11,8,6,24,25.0,18,224,83,37.1,104,83,37,32,1,0,31,13,45,51,0
10,Ludovic Ajorque,re  REU,FW,Strasbourg,25,1994,22.9,18,14,3,13,2,3,19,15.8,16,280,75,26.8,19,146,115,11,2,0,9,3,21,23,0
11,Marley Aké,fr  FRA,"FW,MF",Marseille,18,2001,1.1,4,2,2,2,0,1,2,50.0,1,15,4,26.7,3,10,2,0,0,0,0,2,6,0,0
12,Chadrac Akolo,cd  COD,"FW,MF",Amiens,24,1995,6.0,17,13,7,7,3,3,17,17.6,14,140,43,30.7,40,71,29,8,1,0,7,5,22,4,0
13,Sofiane Alakouch,fr  FRA,DF,Nîmes,21,1998,15.6,49,30,28,12,9,25,49,51.0,24,250,78,31.2,124,81,45,23,2,0,21,18,67,35,2
14,Haitam Aleesami,no  NOR,DF,Amiens,28,1991,21.3,44,28,24,17,3,20,50,40.0,30,374,105,28.1,170,160,44,55,13,1,42,26,70,98,1
15,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,1
16,Rachid Alioui,ma  MAR,FW,Angers,27,1992,17.4,13,11,2,8,3,4,13,30.8,9,373,84,22.5,10,213,150,4,0,0,4,4,17,10,0
17,Mickaël Alphonse,GPE,DF,Dijon,30,1989,15.3,43,19,30,10,3,16,34,47.1,18,221,59,26.7,122,81,18,38,5,0,33,13,56,82,0
18,Romain Amalfitano,fr  FRA,MF,Dijon,29,1989,18.8,43,22,20,20,3,14,57,24.6,43,438,123,28.1,155,242,41,25,8,0,17,17,60,22,1
19,Jordan Amavi,fr  FRA,DF,Marseille,25,1994,24.0,62,28,40,17,5,31,68,45.6,37,287,88,30.7,143,97,47,53,5,0,48,30,92,131,1
20,Thierry Ambrose,fr  FRA,FW,Metz,22,1997,6.1,7,5,1,4,2,1,8,12.5,7,122,37,30.3,25,53,44,5,0,0,5,4,11,3,0
21,Kelvin Amian,fr  FRA,DF,Toulouse,21,1998,18.1,27,15,22,4,1,9,23,39.1,14,218,51,23.4,128,56,34,25,9,0,16,12,39,61,2
22,Joachim Andersen,dk  DEN,DF,Lyon,23,1996,17.0,18,10,16,2,0,6,19,31.6,13,107,34,31.8,79,24,4,22,14,0,8,8,26,95,2
