,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28,28,2520,28.0,3,0,3,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.1,1.5,0.05,0.00,0.05,0.05,0.05
1,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,25,20,1817,20.2,1,2,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,1.4,3.0,0.08,0.07,0.15,0.08,0.15
2,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,15,6,623,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.03,0.16,0.19,0.03,0.19
3,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,4,0,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.11,0.11,0.00,0.11
4,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,21,11,1020,11.3,3,3,3,0,0,3,0,0.26,0.26,0.53,0.26,0.53,0.9,0.9,2.0,2.9,0.08,0.18,0.26,0.08,0.26
5,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,11,11,957,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.0,0.7,0.06,0.00,0.06,0.06,0.06
6,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,19,11,1072,11.9,0,2,0,0,0,2,2,0.00,0.17,0.17,0.00,0.17,0.1,0.1,1.5,1.6,0.01,0.12,0.13,0.01,0.13
7,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,11,8,630,7.0,1,1,1,0,0,3,1,0.14,0.14,0.29,0.14,0.29,0.8,0.8,0.1,0.9,0.12,0.02,0.13,0.12,0.13
8,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,12,6,536,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
9,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,17,16,1282,14.2,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.8,1.0,0.01,0.06,0.07,0.01,0.07
10,Ludovic Ajorque,re  REU,FW,Strasbourg,25,1994,26,24,2058,22.9,8,4,7,1,1,3,0,0.35,0.17,0.52,0.31,0.48,6.2,5.4,3.0,8.5,0.27,0.13,0.40,0.24,0.37
11,Marley Aké,fr  FRA,"FW,MF",Marseille,18,2001,9,0,99,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.19,0.00,0.19,0.19,0.19
12,Chadrac Akolo,cd  COD,"FW,MF",Amiens,24,1995,15,5,544,6.0,2,1,2,0,0,1,0,0.33,0.17,0.50,0.33,0.50,1.0,1.0,1.2,2.2,0.17,0.20,0.37,0.17,0.37
13,Sofiane Alakouch,fr  FRA,DF,Nîmes,21,1998,17,17,1400,15.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.1,1.7,0.04,0.07,0.11,0.04,0.11
14,Haitam Aleesami,no  NOR,DF,Amiens,28,1991,22,21,1916,21.3,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,0.2,0.2,1.3,1.5,0.01,0.06,0.07,0.01,0.07
15,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,24,1995,11,9,901,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
16,Rachid Alioui,ma  MAR,FW,Angers,27,1992,28,17,1563,17.4,6,1,6,0,0,1,0,0.35,0.06,0.40,0.35,0.40,5.3,5.3,1.4,6.7,0.30,0.08,0.39,0.30,0.39
17,Mickaël Alphonse,GPE,DF,Dijon,30,1989,17,15,1378,15.3,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.3,0.5,0.01,0.02,0.03,0.01,0.03
18,Romain Amalfitano,fr  FRA,MF,Dijon,29,1989,26,18,1695,18.8,1,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,0.3,0.3,0.9,1.2,0.02,0.05,0.06,0.02,0.06
19,Jordan Amavi,fr  FRA,DF,Marseille,25,1994,26,24,2164,24.0,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,1.3,1.9,0.02,0.05,0.08,0.02,0.08
20,Thierry Ambrose,fr  FRA,FW,Metz,22,1997,18,4,548,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,1.8,0.21,0.09,0.30,0.21,0.30
21,Kelvin Amian,fr  FRA,DF,Toulouse,21,1998,20,17,1633,18.1,0,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.4,1.1,0.04,0.02,0.06,0.04,0.06
22,Joachim Andersen,dk  DEN,DF,Lyon,23,1996,18,17,1531,17.0,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.2,1.1,0.05,0.01,0.06,0.05,0.06
23,Benjamin André,fr  FRA,MF,Lille,28,1990,26,23,2054,22.8,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,1.0,1.0,1.1,2.1,0.04,0.05,0.09,0.04,0.09
24,Victorien Angban,ci  CIV,MF,Metz,22,1996,20,11,1029,11.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
25,Janis Antiste,fr  FRA,MF,Toulouse,16,2002,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.55,0.00,0.55,0.55,0.55
26,Houssem Aouar,fr  FRA,MF,Lyon,21,1998,25,23,1956,21.7,3,4,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,3.7,3.7,3.0,6.7,0.17,0.14,0.31,0.17,0.31
27,Adil Aouchiche,fr  FRA,MF,Paris S-G,17,2002,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
28,Dennis Appiah,fr  FRA,DF,Nantes,27,1992,19,18,1605,17.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02
29,Luiz Araújo,br  BRA,"FW,MF",Lille,23,1996,21,7,828,9.2,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,1.3,1.3,1.8,3.1,0.14,0.19,0.33,0.14,0.33
30,Alphonse Areola,fr  FRA,GK,Paris S-G,26,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
31,Youcef Attal,dz  ALG,"FW,DF",Nice,23,1996,13,12,1003,11.1,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,1.5,1.5,0.6,2.1,0.13,0.05,0.19,0.13,0.19
32,Jean-Kévin Augustin,fr  FRA,FW,Monaco,22,1997,10,2,266,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.16,0.00,0.16,0.16,0.16
33,Mathias Autret,fr  FRA,"MF,FW",Brest,28,1991,23,14,1222,13.6,2,3,2,0,0,3,0,0.15,0.22,0.37,0.15,0.37,2.0,2.0,2.9,4.9,0.14,0.22,0.36,0.14,0.36
34,Ludovic Baal,gf  GUF,DF,Brest,33,1986,11,9,827,9.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.01,0.08,0.09,0.01,0.09
