,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28.0,3,19,5,26.3,0.68,0.18,0.16,0.60,14.2,0,0,0,1.3,1.3,0.07,+1.7,+1.7
1,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,25.0,3,0,0,1.6,1.6,0.05,-0.6,-0.6
2,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,6.9,0,5,0,0.0,0.72,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
3,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,11.3,3,18,6,33.3,1.59,0.53,0.17,0.50,23.1,1,0,0,0.9,0.9,0.05,+2.1,+2.1
5,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,10.6,1,5,1,20.0,0.47,0.09,0.20,1.00,18.6,1,0,0,0.7,0.7,0.13,+0.3,+0.3
6,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,11.9,0,7,3,42.9,0.59,0.25,0.00,0.00,22.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
7,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,7.0,1,10,4,40.0,1.43,0.57,0.10,0.25,16.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2
8,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,6.0,0,2,0,0.0,0.34,0.00,0.00,,31.6,0,0,0,0.0,0.0,0.01,0.0,0.0
9,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,14.2,0,4,0,0.0,0.28,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
