,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Ismael Aaneba,fr  FRA,MF,Strasbourg,20,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,
1,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.46,26,21,+5,+0.18,,28.4,26.3,+2.1,+0.07,
2,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,19.4,26.8,-7.4,-0.37,-0.57
3,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,7.7,9.2,-1.6,-0.23,+0.01
4,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,4,46,12,1.8,0.5,0,,0,4,11,3,0.00,0,0,0,0.00,+1.31,0.3,0.8,-0.5,-0.92,-0.42
5,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,21,1020,49,40.5,11.3,11,76,3,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.1,11.5,-0.4,-0.04,+0.14
6,Amir Adouyev,ru  RUS,MF,Montpellier,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
7,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,11,957,87,38.0,10.6,11,87,10,0,,3,1.27,9,13,-4,-0.38,-0.03,11.5,16.4,-4.9,-0.46,+0.08
8,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,19,1072,56,42.5,11.9,11,83,9,8,20,5,1.32,20,16,+4,+0.34,+0.58,20.8,17.3,+3.5,+0.30,+0.02
9,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,11,630,57,25.0,7.0,8,61,2,3,47,3,1.00,8,10,-2,-0.29,+0.38,9.8,11.0,-1.2,-0.17,+0.09
10,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,12,536,45,21.3,6.0,6,79,2,6,10,5,1.17,7,6,+1,+0.17,-0.06,6.4,7.0,-0.6,-0.11,+0.03
11,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,17,1282,75,50.9,14.2,16,79,10,1,19,0,1.53,18,17,+1,+0.07,+0.51,14.6,13.9,+0.7,+0.05,+0.22
12,Ludovic Ajorque,re  REU,FW,Strasbourg,25,1994,26,2058,79,84.7,22.9,24,84,12,2,20,1,1.46,31,21,+10,+0.44,+2.86,29.8,24.2,+5.6,+0.25,+0.61
13,Marley Aké,fr  FRA,"FW,MF",Marseille,18,2001,9,99,11,3.9,1.1,0,,0,9,10,15,1.89,3,3,0,0.00,-0.45,2.3,1.3,+1.0,+0.91,+0.79
14,Chadrac Akolo,cd  COD,"FW,MF",Amiens,24,1995,15,544,36,21.6,6.0,5,65,0,10,22,6,0.87,7,16,-9,-1.49,-1.03,6.9,9.3,-2.4,-0.40,-0.12
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,21,1998,17,1400,82,55.6,15.6,17,82,11,0,,8,0.76,13,23,-10,-0.64,-0.24,15.4,23.9,-8.5,-0.55,-0.08
16,Haitam Aleesami,no  NOR,DF,Amiens,28,1991,22,1916,87,76.0,21.3,21,89,20,1,51,6,0.86,27,42,-15,-0.70,-0.11,23.3,30.4,-7.1,-0.33,-0.09
17,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,24,1995,11,901,82,35.8,10.0,9,90,9,2,45,15,0.64,8,17,-9,-0.90,-0.84,10.6,16.1,-5.5,-0.54,-0.06
18,Abdallah Ali Mohamed,km  COM,DF,Marseille,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
19,Rachid Alioui,ma  MAR,FW,Angers,27,1992,28,1563,56,62.0,17.4,17,75,5,11,27,0,1.39,14,21,-7,-0.40,-0.59,16.1,19.5,-3.3,-0.19,-0.35
20,Mickaël Alphonse,GPE,DF,Dijon,30,1989,17,1378,81,54.7,15.3,15,89,14,2,19,6,0.88,11,23,-12,-0.78,-0.94,14.8,22.1,-7.3,-0.48,+0.07
21,Romain Amalfitano,fr  FRA,MF,Dijon,29,1989,26,1695,65,67.3,18.8,18,83,12,8,24,2,1.04,18,25,-7,-0.37,-0.04,19.1,26.8,-7.7,-0.41,+0.31
22,Jordan Amavi,fr  FRA,DF,Marseille,25,1994,26,2164,83,85.9,24.0,24,88,23,2,24,1,2.04,36,22,+14,+0.58,+1.09,30.7,23.8,+6.9,+0.29,+0.95
23,Thierry Ambrose,fr  FRA,FW,Metz,22,1997,18,548,30,21.7,6.1,4,78,1,14,17,8,1.06,6,10,-4,-0.66,-0.47,8.4,8.9,-0.5,-0.08,+0.21
24,Kelvin Amian,fr  FRA,DF,Toulouse,21,1998,20,1633,82,64.8,18.1,17,90,17,3,34,0,0.60,20,43,-23,-1.27,+0.05,21.7,31.2,-9.5,-0.52,-0.06
25,Joachim Andersen,dk  DEN,DF,Lyon,23,1996,18,1531,85,60.8,17.0,17,90,17,1,0,10,1.56,29,17,+12,+0.71,+0.43,22.3,17.7,+4.6,+0.27,-0.33
26,Benjamin André,fr  FRA,MF,Lille,28,1990,26,2054,79,81.5,22.8,23,87,19,3,14,0,1.88,30,21,+9,+0.39,+0.59,30.8,21.7,+9.1,+0.40,+0.23
27,Victorien Angban,ci  CIV,MF,Metz,22,1996,20,1029,51,40.8,11.4,11,84,8,9,12,3,1.30,11,13,-2,-0.17,+0.19,10.9,14.1,-3.2,-0.28,-0.05
28,Janis Antiste,fr  FRA,MF,Toulouse,16,2002,1,12,12,0.5,0.1,0,,0,1,11,0,0.00,0,0,0,0.00,+1.29,0.2,0.1,+0.2,+1.29,+1.80
29,Houssem Aouar,fr  FRA,MF,Lyon,21,1998,25,1956,78,77.6,21.7,23,84,14,2,14,1,1.32,30,23,+7,+0.32,-0.95,28.1,22.1,+6.1,+0.28,-0.54
30,Adil Aouchiche,fr  FRA,MF,Paris S-G,17,2002,1,64,64,2.6,0.7,1,64,0,0,,3,3.00,2,0,+2,+2.81,+0.95,1.4,0.3,+1.0,+1.47,-0.32
31,Dennis Appiah,fr  FRA,DF,Nantes,27,1992,19,1605,84,63.7,17.8,18,88,16,1,28,5,1.37,16,16,0,0.00,+0.30,18.2,20.6,-2.4,-0.13,+0.20
32,Luiz Araújo,br  BRA,"FW,MF",Lille,23,1996,21,828,39,32.9,9.2,7,84,3,14,17,5,1.48,11,14,-3,-0.33,-0.91,14.1,12.5,+1.6,+0.18,-0.27
