,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28.0,1328,1515,87.7,29512,9038,331,355,93.2,715,777,92.0,273,360,75.8,0,0.1,-0.1,2,45,3,0,80
1,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,20.2,801,957,83.7,14640,3851,365,395,92.4,337,369,91.3,93,172,54.1,2,1.4,+0.6,26,85,6,4,59
2,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,6.9,74,132,56.1,1085,199,38,66,57.6,23,37,62.2,4,8,50.0,0,1.1,-1.1,5,5,2,0,8
3,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,0.5,21,27,77.8,336,127,12,12,100.0,7,9,77.8,2,6,33.3,0,0.1,-0.1,2,4,1,0,4
4,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,11.3,460,581,79.2,8420,1964,216,250,86.4,178,215,82.8,59,99,59.6,3,2.0,+1.0,18,50,8,0,55
5,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,10.6,487,572,85.1,11844,4421,128,132,97.0,235,249,94.4,123,183,67.2,0,0.0,0.0,0,21,0,0,21
6,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,11.9,666,791,84.2,11012,4091,356,378,94.2,244,284,85.9,54,100,54.0,2,1.5,+0.5,14,39,25,15,51
7,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,7.0,262,313,83.7,4836,830,103,118,87.3,122,135,90.4,32,50,64.0,1,0.1,+0.9,3,17,0,0,19
8,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,6.0,357,413,86.4,6250,1555,172,188,91.5,149,163,91.4,35,52,67.3,1,0.1,+0.9,4,28,3,0,38
9,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,14.2,625,801,78.0,10424,4748,340,371,91.6,231,283,81.6,50,119,42.0,2,0.8,+1.2,12,35,18,12,49
10,Ludovic Ajorque,re  REU,FW,Strasbourg,25,1994,22.9,371,509,72.9,5861,927,199,252,79.0,127,177,71.8,33,52,63.5,4,3.0,+1.0,14,14,12,4,27
11,Marley Aké,fr  FRA,"FW,MF",Marseille,18,2001,1.1,25,29,86.2,414,68,14,14,100.0,7,11,63.6,3,3,100.0,0,0.0,0.0,0,1,1,0,2
12,Chadrac Akolo,cd  COD,"FW,MF",Amiens,24,1995,6.0,172,206,83.5,2703,811,88,98,89.8,70,83,84.3,8,14,57.1,1,1.2,-0.2,5,15,2,0,26
13,Sofiane Alakouch,fr  FRA,DF,Nîmes,21,1998,15.6,664,810,82.0,11883,4858,301,330,91.2,290,336,86.3,68,116,58.6,0,1.1,-1.1,13,48,13,6,64
14,Haitam Aleesami,no  NOR,DF,Amiens,28,1991,21.3,910,1170,77.8,15008,6447,461,514,89.7,365,478,76.4,70,143,49.0,1,1.3,-0.3,13,67,12,6,98
15,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,24,1995,10.0,237,327,72.5,7492,4994,34,35,97.1,107,109,98.2,95,182,52.2,0,0.1,-0.1,2,1,0,0,0
16,Rachid Alioui,ma  MAR,FW,Angers,27,1992,17.4,342,467,73.2,5013,717,204,264,77.3,106,141,75.2,19,30,63.3,1,1.4,-0.4,18,22,9,1,24
17,Mickaël Alphonse,GPE,DF,Dijon,30,1989,15.3,500,716,69.8,9890,3681,191,224,85.3,223,289,77.2,82,177,46.3,1,0.3,+0.7,9,31,12,5,53
18,Romain Amalfitano,fr  FRA,MF,Dijon,29,1989,18.8,700,892,78.5,14193,4185,262,301,87.0,301,360,83.6,125,199,62.8,1,0.9,+0.1,8,81,13,1,91
19,Jordan Amavi,fr  FRA,DF,Marseille,25,1994,24.0,983,1222,80.4,17629,6127,422,484,87.2,447,531,84.2,96,159,60.4,1,1.3,-0.3,14,46,15,8,74
20,Thierry Ambrose,fr  FRA,FW,Metz,22,1997,6.1,140,193,72.5,2513,752,66,83,79.5,56,74,75.7,15,25,60.0,0,0.5,-0.5,11,20,7,3,17
21,Kelvin Amian,fr  FRA,DF,Toulouse,21,1998,18.1,551,669,82.4,9533,3668,259,279,92.8,224,254,88.2,54,105,51.4,2,0.4,+1.6,3,36,8,2,56
22,Joachim Andersen,dk  DEN,DF,Lyon,23,1996,17.0,1192,1308,91.1,27960,7114,227,242,93.8,703,742,94.7,257,315,81.6,0,0.2,-0.2,4,57,3,1,65
23,Benjamin André,fr  FRA,MF,Lille,28,1990,22.8,981,1239,79.2,17299,4174,462,534,86.5,379,464,81.7,112,173,64.7,1,1.1,-0.1,13,98,8,4,81
