,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Yunis Abdelhamid,ma  MAR,DF,Reims,31,1987,28.0,1515,1437,78,75,1,184,49,1,0,0,0,0,1142,141,232,1008,411,66,3,3,1328,3,21,25,12
1,Mehdi Abeid,dz  ALG,MF,Nantes,26,1992,20.2,957,864,93,42,1,157,50,18,47,16,16,7,684,113,160,104,788,42,4,8,801,3,23,11,12
2,Charles Abi,fr  FRA,FW,Saint-Étienne,19,2000,6.9,132,120,12,0,1,53,1,4,0,0,0,0,69,38,25,78,16,11,0,5,74,1,3,3,9
3,Amine Adli,fr  FRA,"MF,FW",Toulouse,19,2000,0.5,27,22,5,1,0,4,3,1,3,2,0,0,14,8,5,22,2,1,1,0,21,0,1,0,0
4,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,19,2000,11.3,581,540,41,18,1,144,22,11,19,8,7,3,441,76,64,62,498,8,3,1,460,3,9,22,7
5,Nayef Aguerd,ma  MAR,DF,Dijon,23,1996,10.6,572,556,16,12,0,61,32,0,0,0,0,0,407,37,128,481,59,18,4,1,487,2,12,4,7
6,Ruben Aguilar,fr  FRA,DF,Monaco,26,1993,11.9,791,675,116,9,0,102,18,52,0,0,0,0,502,154,135,14,642,15,107,5,666,0,8,6,19
7,Jean-Eudes Aholou,ci  CIV,MF,Saint-Étienne,25,1994,7.0,313,306,7,6,0,53,6,2,0,0,0,0,236,54,23,254,40,11,1,1,262,2,13,8,6
8,Youssef Aït Bennasser,ma  MAR,MF,Bordeaux,23,1996,6.0,413,406,7,5,2,93,5,1,1,1,0,0,330,48,35,63,330,13,1,1,357,2,6,6,3
9,Rayan Aït Nouri,fr  FRA,DF,Angers,18,2001,14.2,801,649,152,7,1,104,21,38,3,0,2,1,446,147,208,554,72,22,142,1,625,2,19,17,30
10,Ludovic Ajorque,re  REU,FW,Strasbourg,25,1994,22.9,509,486,23,0,2,170,11,18,0,0,0,0,260,155,94,254,113,48,3,7,371,5,11,13,12
11,Marley Aké,fr  FRA,"FW,MF",Marseille,18,2001,1.1,29,27,2,0,0,6,1,1,0,0,0,0,22,3,4,2,27,0,0,0,25,0,1,0,0
12,Chadrac Akolo,cd  COD,"FW,MF",Amiens,24,1995,6.0,206,202,4,2,0,48,3,7,1,0,0,1,164,21,21,14,181,6,1,0,172,0,2,6,4
13,Sofiane Alakouch,fr  FRA,DF,Nîmes,21,1998,15.6,810,612,198,14,1,99,13,27,0,0,0,0,418,224,168,45,544,29,184,3,664,1,9,7,30
14,Haitam Aleesami,no  NOR,DF,Amiens,28,1991,21.3,1170,934,236,19,0,200,17,36,4,1,2,0,648,231,291,757,124,57,213,1,910,2,13,24,23
15,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,24,1995,10.0,327,222,105,24,0,45,9,0,0,0,0,0,154,27,146,23,238,0,0,54,237,2,14,2,0
16,Rachid Alioui,ma  MAR,FW,Angers,27,1992,17.4,467,430,37,3,1,116,7,14,1,1,0,0,300,90,77,97,301,28,2,7,342,0,7,19,21
17,Mickaël Alphonse,GPE,DF,Dijon,30,1989,15.3,716,547,169,7,0,110,14,26,1,0,1,0,379,129,208,73,440,30,161,1,500,2,15,19,33
18,Romain Amalfitano,fr  FRA,MF,Dijon,29,1989,18.8,892,868,24,10,1,158,29,11,5,1,4,0,586,125,181,72,767,33,8,3,700,1,19,22,14
19,Jordan Amavi,fr  FRA,DF,Marseille,25,1994,24.0,1222,1005,217,13,1,183,11,31,0,0,0,0,705,259,258,639,286,55,204,6,983,0,26,13,38
20,Thierry Ambrose,fr  FRA,FW,Metz,22,1997,6.1,193,191,2,1,0,60,5,12,0,0,0,0,110,29,54,38,122,14,0,1,140,0,5,2,9
21,Kelvin Amian,fr  FRA,DF,Toulouse,21,1998,18.1,669,526,143,19,1,116,6,9,0,0,0,0,402,145,122,53,465,18,124,3,551,2,10,6,17
22,Joachim Andersen,dk  DEN,DF,Lyon,23,1996,17.0,1308,1281,27,26,0,156,53,3,0,0,0,0,1028,117,163,172,1054,44,1,3,1192,3,14,9,4
23,Benjamin André,fr  FRA,MF,Lille,28,1990,22.8,1239,1218,21,20,0,273,24,10,0,0,0,0,793,224,222,153,942,83,1,8,981,7,42,31,32
24,Victorien Angban,ci  CIV,MF,Metz,22,1996,11.4,622,595,27,22,0,132,21,2,1,0,0,1,488,60,74,98,489,21,1,8,548,1,7,8,10
25,Janis Antiste,fr  FRA,MF,Toulouse,16,2002,0.1,9,7,2,0,0,0,2,1,2,1,1,0,6,1,2,0,9,0,0,0,5,0,1,0,0
26,Houssem Aouar,fr  FRA,MF,Lyon,21,1998,21.7,1076,1032,44,17,6,209,30,21,11,4,5,0,834,146,96,100,936,21,4,2,911,0,14,22,30
27,Adil Aouchiche,fr  FRA,MF,Paris S-G,17,2002,0.7,31,31,0,0,0,2,1,0,0,0,0,0,24,6,1,7,24,0,0,0,24,1,1,0,3
28,Dennis Appiah,fr  FRA,DF,Nantes,27,1992,17.8,964,764,200,14,0,145,6,25,0,0,0,0,557,198,209,84,625,51,186,2,744,2,23,26,41
29,Luiz Araújo,br  BRA,"FW,MF",Lille,23,1996,9.2,309,288,21,7,1,87,6,20,7,1,2,0,200,61,48,236,45,17,6,0,223,2,3,4,16
30,Alphonse Areola,fr  FRA,GK,Paris S-G,26,1993,3.0,58,45,13,3,0,1,0,0,0,0,0,0,55,0,3,4,45,0,0,9,56,1,0,0,0
31,Youcef Attal,dz  ALG,"FW,DF",Nice,23,1996,11.1,509,442,67,13,0,75,13,30,2,0,0,0,355,106,48,41,402,7,52,0,411,0,8,12,22
32,Jean-Kévin Augustin,fr  FRA,FW,Monaco,22,1997,3.0,40,39,1,0,0,9,1,0,0,0,0,0,34,3,3,6,33,1,0,0,33,0,0,2,0
33,Mathias Autret,fr  FRA,"MF,FW",Brest,28,1991,13.6,562,481,81,24,6,107,36,30,46,27,14,1,291,104,167,57,466,21,10,3,381,4,18,17,23
34,Ludovic Baal,gf  GUF,DF,Brest,33,1986,9.2,619,515,104,11,2,103,11,20,0,0,0,0,366,132,121,479,20,17,93,1,500,0,10,14,13
35,Bastian Badu,fr  FRA,FW,Montpellier,19,2000,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,1,0,0,6,0,0,0,0
36,Stéphane Bahoken,cm  CMR,FW,Angers,27,1992,10.1,204,185,19,0,1,49,6,15,0,0,0,0,138,43,23,15,171,3,2,7,150,1,6,3,6
37,Dénys Bain,fr  FRA,DF,Brest,26,1993,14.1,655,634,21,21,0,74,14,0,0,0,0,0,543,56,56,387,244,14,0,1,610,0,8,7,3
38,Stefan Bajic,fr  FRA,GK,Saint-Étienne,17,2001,1.0,19,9,10,2,0,0,0,0,0,0,0,0,16,1,2,3,12,0,0,4,19,0,0,0,0
39,Tiemoué Bakayoko,fr  FRA,MF,Monaco,24,1994,19.1,961,935,26,26,1,192,24,14,0,0,0,0,706,154,101,182,721,34,0,10,831,7,13,17,14
