,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ousmane Dembélé,11.0,fr  FRA,"FW,LW",23-325,90,53,0,0,12,47,9,52,6,7,85.7,6,0,54,374,265,16,4,4,4,2,61,50,82.0,12
1,Antoine Griezmann,7.0,fr  FRA,"AM,LM",30-015,62,58,1,7,22,31,3,57,0,0,,0,0,48,200,119,4,0,0,0,0,56,49,87.5,7
2,Francisco Trincão,17.0,pt  POR,CM,21-097,28,22,0,2,4,17,2,21,0,0,,0,0,18,75,48,3,1,0,0,0,19,18,94.7,0
3,Lionel Messi,10.0,ar  ARG,"AM,RW,RM",33-285,90,78,0,0,24,62,8,71,4,7,57.1,4,1,67,359,260,13,6,0,4,6,84,64,76.2,7
4,Pedri,16.0,es  ESP,"DM,CM",18-131,76,90,1,15,33,51,2,89,0,0,,0,0,75,406,265,12,4,1,1,0,72,69,95.8,2
5,Ilaix,27.0,es  ESP,CM,18-076,14,14,0,1,9,5,1,14,0,0,,0,0,9,65,40,3,1,0,0,0,11,11,100.0,2
6,Sergio Busquets,5.0,es  ESP,DM,32-263,63,75,2,7,44,26,0,73,0,0,,0,0,60,96,54,2,2,0,0,0,60,58,96.7,0
7,Martin Braithwaite,9.0,dk  DEN,FW,29-304,27,5,0,0,1,4,2,5,0,0,,0,0,3,2,2,1,0,1,0,0,7,2,28.6,1
8,Jordi Alba,18.0,es  ESP,"LB,WB",32-015,90,113,6,29,41,52,6,98,0,2,0.0,0,0,87,285,218,6,2,1,1,0,90,83,92.2,10
9,Sergiño Dest,2.0,us  USA,"WB,RB",20-153,86,63,0,8,22,39,2,61,0,2,0.0,0,0,53,191,152,11,2,1,1,0,59,55,93.2,3
10,Riqui Puig,12.0,es  ESP,RB,21-235,4,9,0,2,5,3,0,9,1,1,100.0,1,0,9,82,58,1,0,0,0,0,7,7,100.0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-292,90,67,8,31,30,9,1,66,0,0,,0,0,47,160,97,5,2,0,1,0,45,44,97.8,0
12,Frenkie de Jong,21.0,nl  NED,"CB,DM,CM",23-328,90,113,7,22,66,35,5,112,1,2,50.0,1,0,93,541,321,20,5,0,0,1,100,93,93.0,5
13,Óscar Mingueza,28.0,es  ESP,CB,21-327,62,51,2,11,35,10,1,48,0,0,,0,0,34,166,93,3,1,0,0,0,32,32,100.0,1
14,Ronald Araújo,4.0,uy  URU,CB,22-029,28,14,1,4,9,2,1,14,0,0,,0,0,10,38,22,1,1,0,0,0,10,10,100.0,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-340,90,26,23,26,0,0,0,19,0,0,,0,0,16,50,31,0,0,0,0,0,13,13,100.0,0
16,16 Players,,,,,990,851,51,165,357,393,43,809,12,21,57.1,12,1,683,3090,2045,101,31,8,12,9,726,658,90.6,50
