,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Kike Barja,11.0,es  ESP,FW,23-339,61,3,2,1,1,1,2,2,100.0,0,24,6,25.0,4,10,10,1,0,0,1,1,4,0,0
1,Jony,7.0,es  ESP,FW,29-240,29,0,0,0,0,0,0,1,0.0,1,5,1,20.0,3,1,1,0,0,0,0,0,0,0,0
2,Jonathan Calleri,16.0,ar  ARG,FW,27-164,70,1,1,1,0,0,0,1,0.0,1,20,5,25.0,3,9,8,1,0,0,1,0,1,0,0
3,Ante Budimir,17.0,hr  CRO,FW,29-227,20,0,0,0,0,0,0,0,,0,10,1,10.0,0,3,7,1,0,0,1,0,0,0,0
4,Rubén García,14.0,es  ESP,LM,27-235,69,1,1,1,0,0,1,3,33.3,2,20,4,20.0,7,8,5,1,0,0,1,2,3,0,0
5,Adrián López,20.0,es  ESP,LM,33-057,21,1,1,0,1,0,1,2,50.0,1,9,0,0.0,1,6,2,0,0,0,0,0,1,0,0
6,Roberto Torres,10.0,es  ESP,RM,31-364,83,0,0,0,0,0,0,0,,0,11,1,9.1,1,5,5,1,0,0,1,2,2,3,0
7,Enric Gallego,19.0,es  ESP,RM,34-175,7,0,0,0,0,0,0,1,0.0,1,5,0,0.0,0,3,2,1,0,0,1,0,0,0,0
8,Jon Moncayola,27.0,es  ESP,DM,22-297,90,1,0,1,0,0,0,3,0.0,3,34,7,20.6,14,19,1,3,2,0,1,0,1,1,0
9,Lucas Torró,24.0,es  ESP,DM,26-230,83,0,0,0,0,0,0,1,0.0,1,13,3,23.1,2,8,3,0,0,0,0,0,0,0,0
10,Oier Sanjurjo,6.0,es  ESP,DM,34-285,7,1,1,0,1,0,1,2,50.0,1,9,3,33.3,1,5,3,0,0,0,0,0,1,2,0
11,Manuel Sánchez,39.0,es  ESP,LB,20-194,90,3,1,1,2,0,1,2,50.0,1,27,5,18.5,10,6,11,0,0,0,0,2,5,1,0
12,David García,5.0,es  ESP,CB,27-020,90,1,1,1,0,0,1,3,33.3,2,8,2,25.0,5,2,1,0,0,0,0,1,2,3,0
13,Aridane Hernández,23.0,gq  EQG,CB,31-348,90,2,1,1,1,0,1,1,100.0,0,5,2,40.0,3,2,0,4,4,0,0,2,4,3,0
14,Nacho Vidal,2.0,es  ESP,RB,26-041,90,2,2,1,1,0,2,2,100.0,0,15,3,20.0,7,5,3,1,0,0,1,2,4,3,0
15,Sergio Herrera,1.0,es  ESP,GK,27-274,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,16,11,8,7,1,10,24,41.7,14,215,43,20.0,61,92,62,14,6,0,8,12,28,16,0
