,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,14,Kike Barja,Osasuna,Saved,20.0,Left Foot,,Jonathan Calleri,Pass (Live),,
1,26,Antoine Griezmann,Barcelona,Off Target,12.0,Head,,Lionel Messi,Pass (Live),Sergio Busquets,Pass (Live)
2,34,Rubén García,Osasuna,Saved,10.0,Left Foot,,Jon Moncayola,Pass (Live),Roberto Torres,Pass (Live)
3,,,,,,,,,,,
4,51,Ousmane Dembélé,Barcelona,Blocked,24.0,Right Foot,,Lionel Messi,Pass (Live),Ousmane Dembélé,Pass (Live)
5,57,Sergiño Dest,Barcelona,Blocked,19.0,Left Foot,,Ousmane Dembélé,Pass (Live),Sergiño Dest,Pass (Live)
6,61,Frenkie de Jong,Barcelona,Blocked,11.0,Right Foot,,Ousmane Dembélé,Pass (Live),Frenkie de Jong,Pass (Live)
7,77,Pedri,Barcelona,Saved,27.0,Right Foot,,Lionel Messi,Pass (Live),Jordi Alba,Pass (Live)
8,83,Ilaix Moriba,Barcelona,Goal,18.0,Left Foot,,Ilaix Moriba,Dribble,Lionel Messi,Pass (Live)
9,85,Ante Budimir,Osasuna,Blocked,14.0,Left Foot,Half volley,Manuel Sánchez,Pass (Live),Adrián López,Pass (Live)
10,89,Adrián López,Osasuna,Off Target,17.0,Right Foot,Half volley,Ante Budimir,Pass (Live),Jony,Pass (Live)
11,90+3,David García,Osasuna,Off Target,7.0,Head,,Jony,Pass (Live),Jon Moncayola,Pass (Live)
