,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Antoine Griezmann,7.0,fr  FRA,"FW,LW",29-350,66,1,1,1,0,0,0,0,,0,12,2,16.7,2,5,5,0,0,0,0,0,1,0,0
1,Martin Braithwaite,9.0,dk  DEN,LW,29-274,24,0,0,0,0,0,0,0,,0,6,2,33.3,2,0,4,0,0,0,0,0,0,1,0
2,Lionel Messi,10.0,ar  ARG,FW,33-255,90,0,0,0,0,0,0,0,,0,4,1,25.0,0,2,2,0,0,0,0,0,0,0,0
3,Pedri,16.0,es  ESP,CM,18-101,86,2,1,1,1,0,2,3,66.7,1,28,4,14.3,4,19,5,1,0,0,1,2,4,0,0
4,Riqui Puig,12.0,es  ESP,CM,21-205,4,0,0,0,0,0,0,0,,0,4,2,50.0,1,2,1,0,0,0,0,0,0,0,0
5,Frenkie de Jong,21.0,nl  NED,CM,23-298,90,0,0,0,0,0,0,0,,0,11,3,27.3,3,6,2,0,0,0,0,3,3,0,0
6,Sergio Busquets,5.0,es  ESP,DM,32-233,66,3,2,2,1,0,0,0,,0,18,9,50.0,8,7,3,1,1,0,0,2,5,1,0
7,Ilaix Moriba,27.0,es  ESP,DM,18-046,24,1,1,0,1,0,0,0,,0,9,1,11.1,0,6,3,0,0,0,0,0,1,0,0
8,Jordi Alba,18.0,es  ESP,"WB,LB",31-350,86,1,1,0,0,1,0,2,0.0,2,7,2,28.6,1,3,3,3,0,0,3,2,3,1,0
9,Junior Firpo,24.0,es  ESP,LB,24-196,4,1,1,1,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,1,2,0
10,Sergiño Dest,2.0,us  USA,"WB,RB",20-123,90,1,1,0,1,0,0,0,,0,20,6,30.0,7,13,0,2,0,0,2,0,1,1,0
11,Samuel Umtiti,23.0,fr  FRA,CB,27-112,45,0,0,0,0,0,0,0,,0,5,1,20.0,1,4,0,1,1,0,0,1,1,1,0
12,Ousmane Dembélé,11.0,fr  FRA,RW,23-295,45,0,0,0,0,0,0,0,,0,6,0,0.0,1,3,2,0,0,0,0,1,1,0,0
13,Clément Lenglet,15.0,fr  FRA,CB,25-262,90,1,0,1,0,0,0,0,,0,12,4,33.3,7,5,0,1,0,0,1,1,2,5,0
14,Óscar Mingueza,28.0,es  ESP,CB,21-297,90,3,2,2,1,0,2,3,66.7,1,15,7,46.7,9,6,0,2,1,0,1,0,3,4,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-310,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,14,10,8,5,1,4,8,50.0,4,159,45,28.3,48,81,30,11,3,0,8,12,26,16,0
