,Osasuna (4-4-2),Osasuna (4-4-2).1
0,1,Sergio Herrera
1,2,Nacho Vidal
2,5,David García
3,10,Roberto Torres
4,11,Kike Barja
5,14,Rubén García
6,16,Jonathan Calleri
7,23,Aridane Hernández
8,24,Lucas Torró
9,27,Jon Moncayola
10,39,Manuel Sánchez
11,Bench,Bench
12,25,Juan Pérez
13,36,Iván Martínez
14,3,Juan Cruz Armada
15,4,Unai García
16,6,Oier Sanjurjo
17,7,Jony
18,8,Darko Brašanac
19,15,Jonás Ramalho
20,17,Ante Budimir
21,19,Enric Gallego
22,20,Adrián López
23,28,Javi Martínez
