,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Kike Barja,11.0,es  ESP,FW,23-339,61,14,23,60.9,195,37,10,13,76.9,3,6,50.0,1,3,33.3,0,0.1,1,0,2,1,1
1,Jony,7.0,es  ESP,FW,29-240,29,15,22,68.2,288,160,6,6,100.0,6,12,50.0,3,4,75.0,0,0.1,1,1,3,2,2
2,Jonathan Calleri,16.0,ar  ARG,FW,27-164,70,9,13,69.2,143,12,4,8,50.0,4,4,100.0,0,0,,0,0.0,1,0,0,0,1
3,Ante Budimir,17.0,hr  CRO,FW,29-227,20,8,10,80.0,112,36,1,2,50.0,5,6,83.3,0,0,,0,0.1,1,2,1,0,1
4,Rubén García,14.0,es  ESP,LM,27-235,69,23,33,69.7,379,134,11,15,73.3,6,8,75.0,4,7,57.1,0,0.4,2,2,2,1,3
5,Adrián López,20.0,es  ESP,LM,33-057,21,11,14,78.6,179,34,6,8,75.0,3,4,75.0,2,2,100.0,0,0.0,0,1,0,0,1
6,Roberto Torres,10.0,es  ESP,RM,31-364,83,26,37,70.3,530,134,10,12,83.3,13,15,86.7,3,9,33.3,0,0.0,0,0,0,0,2
7,Enric Gallego,19.0,es  ESP,RM,34-175,7,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
8,Jon Moncayola,27.0,es  ESP,DM,22-297,90,45,49,91.8,1016,296,11,11,100.0,25,26,96.2,8,11,72.7,0,0.4,1,4,1,0,5
9,Lucas Torró,24.0,es  ESP,DM,26-230,83,33,36,91.7,610,117,10,11,90.9,18,20,90.0,3,3,100.0,0,0.0,0,4,0,0,1
10,Oier Sanjurjo,6.0,es  ESP,DM,34-285,7,3,4,75.0,28,4,1,2,50.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
11,Manuel Sánchez,39.0,es  ESP,LB,20-194,90,39,43,90.7,747,282,10,10,100.0,28,30,93.3,1,2,50.0,0,0.0,1,6,1,1,4
12,David García,5.0,es  ESP,CB,27-020,90,41,51,80.4,1052,432,7,8,87.5,21,24,87.5,13,19,68.4,0,0.0,0,2,0,0,2
13,Aridane Hernández,23.0,gq  EQG,CB,31-348,90,33,37,89.2,806,311,6,7,85.7,16,16,100.0,9,12,75.0,0,0.0,0,3,0,0,2
14,Nacho Vidal,2.0,es  ESP,RB,26-041,90,34,43,79.1,663,255,11,11,100.0,17,21,81.0,5,8,62.5,0,0.0,1,0,2,2,2
15,Sergio Herrera,1.0,es  ESP,GK,27-274,90,23,33,69.7,959,592,3,3,100.0,3,3,100.0,17,27,63.0,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,358,449,79.7,7714,2836,108,128,84.4,169,196,86.2,69,107,64.5,0,1.2,9,25,12,7,27
