,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType.value,cardType.displayName,isGoal,venue,opponent
0,2330306371.0,2,0,0.0,75,0.0,0.0,0,[],[],False,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Giuseppe Meazza,Inter
1,2330306359.0,2,0,0.0,52,0.0,0.0,0,[],[],False,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Giuseppe Meazza,Inter
2,2330306393.0,3,0,0.0,52,50.2,50.0,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,20874.0,51.9,47.0,,,,,,,,,,,Giuseppe Meazza,Inter
3,2330306407.0,4,0,2.0,52,59.7,35.7,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.3'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,14296.0,65.4,23.3,,,,,,,,,,,Giuseppe Meazza,Inter
4,2330306421.0,5,0,4.0,52,65.4,21.9,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 118, 116, 29, 34, 36, 215, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,144511.0,63.1,29.3,,,,,,,,,,,Giuseppe Meazza,Inter
5,2330306465.0,6,0,9.0,52,63.8,26.1,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.3'}]","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,344644.0,68.3,3.1,,,,,,,,,,,Giuseppe Meazza,Inter
6,2330306491.0,7,0,9.0,52,62.3,18.6,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 118, 116, 29, 34, 36, 215, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,106883.0,55.4,23.4,,,,,,,,,,,Giuseppe Meazza,Inter
7,2330306509.0,8,0,10.0,52,55.4,23.4,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.5'}]","[90, 116, 29, 34, 36, 215, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,88526.0,45.6,31.5,,,,,,,,,,,Giuseppe Meazza,Inter
8,2330306539.0,9,0,12.0,52,45.6,31.5,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.4'}]","[90, 119, 28, 35, 37, 215, 217]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,0,Unsuccessful,337879.0,64.9,0.0,,,,,,,,,,,Giuseppe Meazza,Inter
9,2330306621.0,4,0,21.0,75,39.1,100.0,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.1'}]","[90, 211, 34, 37, 214]",True,1592138,2021-09-15T00:00:00,2021-09-15T20:00:00,0 : 1,0 : 1,0 : 0,,Giuseppe Meazza,93,1,FirstHalf,1,Pass,1,Successful,70524.0,29.1,91.2,,,,,,,,,,,Giuseppe Meazza,Inter
