,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType.value,cardType.displayName,isGoal,venue,opponent
0,2332413079.0,2,0,0.0,55,0.0,0.0,0,[],[],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Mestalla,Valencia
1,2332413077.0,2,0,0.0,52,0.0,0.0,0,[],[],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Mestalla,Valencia
2,2332413091.0,3,0,0.0,52,50.2,50.0,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,1,Pass,1,Successful,20874.0,51.2,47.5,,,,,,,,,,,Mestalla,Valencia
3,2332413093.0,4,0,1.0,52,51.3,54.5,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.7'}]","[90, 119, 28, 35, 36, 215, 217]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,1,Pass,0,Unsuccessful,14296.0,53.1,56.9,,,,,,,,,,,Mestalla,Valencia
4,2332413095.0,3,0,1.0,55,48.4,38.5,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[90],True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,61,BallTouch,1,Successful,247995.0,,,,,,,,,,,,,Mestalla,Valencia
5,2332413109.0,4,0,3.0,55,50.1,26.1,0,[],[92],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,49,BallRecovery,1,Successful,313542.0,,,,,,,,,,,,,Mestalla,Valencia
6,2332413163.0,5,0,8.0,55,68.9,17.6,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.8'}]","[90, 119, 28, 35, 37, 216, 217]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,1,Pass,0,Unsuccessful,313542.0,90.2,0.0,,,,,,,,,,,Mestalla,Valencia
7,2332413341.0,6,0,29.0,52,22.4,100.0,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.3'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.8'}]","[90, 211, 35, 37, 214]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,1,Pass,0,Unsuccessful,106875.0,30.8,92.3,,,,,,,,,,,Mestalla,Valencia
8,2332413349.0,7,0,30.0,55,70.2,4.4,0,[],[92],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,49,BallRecovery,1,Successful,367180.0,,,,,,,,,,,,,Mestalla,Valencia
9,2332413385.0,8,0,31.0,55,70.5,4.4,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '92.9'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.5'}]","[90, 119, 28, 123, 35, 36, 216, 217]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,1,Pass,0,Unsuccessful,367180.0,92.9,30.6,,,,,,,,,,,Mestalla,Valencia
10,2332413389.0,8,0,34.0,52,8.5,67.0,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 68]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,61,BallTouch,0,Unsuccessful,337879.0,,,,,,,,,,,,,Mestalla,Valencia
11,2332413417.0,9,0,36.0,55,84.6,17.5,0,"[{'type': {'value': 75, 'displayName': 'MissRight'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[121],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,6,CornerAwarded,1,Successful,367180.0,,,,,,,,,,,,,Mestalla,Valencia
12,2332413401.0,9,0,36.0,52,15.4,82.5,0,"[{'type': {'value': 73, 'displayName': 'MissLeft'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[121],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,6,CornerAwarded,0,Unsuccessful,337879.0,,,,,,,,,,,,,Mestalla,Valencia
13,2332413543.0,10,0,50.0,55,99.5,0.5,0,"[{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.6'}, {'type': {'value': 6, 'displayName': 'CornerTaken'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.0'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '93.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 136, 123, 125, 30, 32, 33, 34, 36, 216, 217]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,1,Pass,0,Unsuccessful,313542.0,93.7,31.6,,,,,,,,,,,Mestalla,Valencia
14,2332413601.0,12,0,51.0,52,6.7,65.3,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '14.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.4'}]","[90, 93, 94, 214]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,12,Clearance,1,Successful,106883.0,14.8,88.4,,,,,,,,,,,Mestalla,Valencia
15,2332413583.0,10,0,54.0,52,14.0,90.2,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}]","[90, 53]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,3,TakeOn,1,Successful,33404.0,,,,,,,,,,,,,Mestalla,Valencia
16,2332413579.0,11,0,54.0,55,86.0,9.8,0,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}]",[54],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,45,Challenge,0,Unsuccessful,313542.0,,,,,,,,,,,,,Mestalla,Valencia
17,2332413587.0,11,0,55.0,52,12.3,89.1,0,[],[92],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,49,BallRecovery,1,Successful,33404.0,,,,,,,,,,,,,Mestalla,Valencia
18,2332413631.0,13,0,58.0,52,12.1,89.0,0,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '12'}]","[90, 62]",True,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,4,Foul,1,Successful,33404.0,,,,,,,,,,,,,Mestalla,Valencia
19,2332413653.0,12,0,58.0,55,87.9,11.0,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '13'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[63],False,1560167,2021-09-19T00:00:00,2021-09-19T20:00:00,1 : 2,1 : 2,0 : 0,,Mestalla,95,1,FirstHalf,4,Foul,0,Unsuccessful,247995.0,,,,,,,,,,,,,Mestalla,Valencia
