,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2017-07-02,Sun,FIFA Confederations Cup,Final,Neutral,W 1–0,de  Germany,cl  Chile,Y,GK,90,8,0,8,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
1,2017-08-13,Sun,Supercopa de España,Supercopa de España,Neutral,L 1–3,Barcelona,Real Madrid,Y,GK,90,,3,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2,2017-08-16,Wed,Supercopa de España,Supercopa de España,Away,L 0–2,Barcelona,Real Madrid,Y,GK,90,,2,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
3,2017-08-20,Sun,La Liga,Matchweek 1,Home,W 2–0,Barcelona,Betis,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,3,5,60.0,18,0,16.7,24.7,5,40.0,41.4,1,0,0.0,0,13.5,Match Report
4,2017-08-26,Sat,La Liga,Matchweek 2,Away,W 2–0,Barcelona,Alavés,Y,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,2,4,50.0,17,0,23.5,26.4,1,0.0,38.0,1,0,0.0,0,10.7,Match Report
5,2017-09-01,Fri,WCQ — UEFA (M),First round,Away,W 2–1,de  Germany,cz  Czech Republic,Y,GK,90,,1,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
6,2017-09-04,Mon,WCQ — UEFA (M),First round,Home,W 6–0,de  Germany,no  Norway,Y,GK,90,,0,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
7,2017-09-09,Sat,La Liga,Matchweek 3,Home,W 5–0,Barcelona,Espanyol,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,7,11,63.6,32,2,31.3,27.9,5,20.0,33.0,8,2,25.0,0,15.0,Match Report
8,2017-09-12,Tue,Champions Lg,Group stage,Home,W 3–0,es  Barcelona,it  Juventus,Y,GK,90,6,0,6,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
9,2017-09-16,Sat,La Liga,Matchweek 4,Away,W 2–1,Barcelona,Getafe,Y,GK,90,4,1,3,75.0,0,0.4,0,0,0,0,2,5,40.0,17,8,11.8,23.5,6,50.0,48.5,10,2,20.0,0,14.4,Match Report
