,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
0,2016-07-02,Sat,UEFA Euro,Quarter-finals,Neutral,D 1  (6)  –1  (5),de  Germany,it  Italy,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
1,2016-07-07,Thu,UEFA Euro,Semi-finals,Home,L 0–2,de  Germany,fr  France,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2016-08-28,Sun,La Liga,Matchweek 2,Away,W 1–0,Barcelona,Athletic Club,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
3,2016-08-31,Wed,Friendlies (M),Friendlies (M),Home,W 2–0,de  Germany,fi  Finland,Y,GK,45,,,,,1,0,0,0,0,Match Report
4,2016-09-04,Sun,WCQ — UEFA (M),First round,Away,W 3–0,de  Germany,no  Norway,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2016-09-13,Tue,Champions Lg,Group stage,Home,W 7–0,es  Barcelona,sct  Celtic,Y,GK,90,0,0,1,,1,1,0,1,0,Match Report
6,2016-09-17,Sat,La Liga,Matchweek 4,Away,W 5–1,Barcelona,Leganés,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
7,2016-09-21,Wed,La Liga,Matchweek 5,Home,D 1–1,Barcelona,Atlético Madrid,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
8,2016-09-24,Sat,La Liga,Matchweek 6,Away,W 5–0,Barcelona,Sporting Gijón,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
9,2016-09-28,Wed,Champions Lg,Group stage,Away,W 2–1,es  Barcelona,de  M'Gladbach,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
10,2016-10-02,Sun,La Liga,Matchweek 7,Away,L 3–4,Barcelona,Celta Vigo,Y,GK,90,10,4,6,60.0,0,0,0,0,0,Match Report
11,2016-10-08,Sat,WCQ — UEFA (M),First round,Home,W 3–0,de  Germany,cz  Czech Republic,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
12,2016-10-11,Tue,WCQ — UEFA (M),First round,Home,W 2–0,de  Germany,nir  Northern Ireland,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
13,2016-10-15,Sat,La Liga,Matchweek 8,Home,W 4–0,Barcelona,La Coruña,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
14,2016-10-19,Wed,Champions Lg,Group stage,Home,W 4–0,es  Barcelona,eng  Manchester City,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
15,2016-10-22,Sat,La Liga,Matchweek 9,Away,W 3–2,Barcelona,Valencia,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
16,2016-10-29,Sat,La Liga,Matchweek 10,Home,W 1–0,Barcelona,Granada,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
17,2016-11-01,Tue,Champions Lg,Group stage,Away,L 1–3,es  Barcelona,eng  Manchester City,Y,GK,90,4,3,1,25.0,0,0,0,0,0,Match Report
18,2016-11-06,Sun,La Liga,Matchweek 11,Away,W 2–1,Barcelona,Sevilla,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
19,2016-11-11,Fri,WCQ — UEFA (M),First round,Away,W 8–0,de  Germany,sm  San Marino,Y,GK,90,,0,,,1,0,0,0,0,Match Report
20,2016-11-15,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,de  Germany,it  Italy,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
21,2016-11-19,Sat,La Liga,Matchweek 12,Home,D 0–0,Barcelona,Málaga,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
22,2016-11-23,Wed,Champions Lg,Group stage,Away,W 2–0,es  Barcelona,sct  Celtic,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
23,2016-11-27,Sun,La Liga,Matchweek 13,Away,D 1–1,Barcelona,Real Sociedad,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
24,,,,,,,,,,,,,,,,,,,,,
25,2016-12-03,Sat,La Liga,Matchweek 14,Home,D 1–1,Barcelona,Real Madrid,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
26,,,,,,,,,,,,,,,,,,,,,
27,2016-12-10,Sat,La Liga,Matchweek 15,Away,W 3–0,Barcelona,Osasuna,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
28,2016-12-18,Sun,La Liga,Matchweek 16,Home,W 4–1,Barcelona,Espanyol,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
29,,,,,,,,,,,,,,,,,,,,,
30,2017-01-05,Thu,Copa del Rey,Round of 16,Away,L 1–2,Barcelona,Athletic Club,Y,,90,,2,,,0,0,0,0,0,Match Report
31,2017-01-08,Sun,La Liga,Matchweek 17,Away,D 1–1,Barcelona,Villarreal,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
32,2017-01-11,Wed,Copa del Rey,Round of 16,Home,W 3–1,Barcelona,Athletic Club,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
33,2017-01-14,Sat,La Liga,Matchweek 18,Home,W 5–0,Barcelona,Las Palmas,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
34,,,,,,,,,,,,,,,,,,,,,
35,2017-01-22,Sun,La Liga,Matchweek 19,Away,W 4–0,Barcelona,Eibar,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
36,,,,,,,,,,,,,,,,,,,,,
37,2017-01-29,Sun,La Liga,Matchweek 20,Away,D 1–1,Barcelona,Betis,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
38,,,,,,,,,,,,,,,,,,,,,
39,2017-02-04,Sat,La Liga,Matchweek 21,Home,W 3–0,Barcelona,Athletic Club,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
40,,,,,,,,,,,,,,,,,,,,,
41,2017-02-11,Sat,La Liga,Matchweek 22,Away,W 6–0,Barcelona,Alavés,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
42,2017-02-14,Tue,Champions Lg,Round of 16,Away,L 0–4,es  Barcelona,fr  Paris S-G,Y,GK,90,10,4,6,60.0,0,0,0,0,0,Match Report
43,2017-02-19,Sun,La Liga,Matchweek 23,Home,W 2–1,Barcelona,Leganés,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
44,2017-02-26,Sun,La Liga,Matchweek 24,Away,W 2–1,Barcelona,Atlético Madrid,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
45,2017-03-01,Wed,La Liga,Matchweek 25,Home,W 6–1,Barcelona,Sporting Gijón,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
46,2017-03-04,Sat,La Liga,Matchweek 26,Home,W 5–0,Barcelona,Celta Vigo,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
47,2017-03-08,Wed,Champions Lg,Round of 16,Home,W 6–1,es  Barcelona,fr  Paris S-G,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
48,2017-03-12,Sun,La Liga,Matchweek 27,Away,L 1–2,Barcelona,La Coruña,Y,GK,90,9,2,7,77.8,0,0,0,0,0,Match Report
49,2017-03-19,Sun,La Liga,Matchweek 28,Home,W 4–2,Barcelona,Valencia,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
50,2017-03-22,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,de  Germany,eng  England,Y,GK,90,,0,,,1,0,0,0,0,Match Report
51,2017-03-26,Sun,WCQ — UEFA (M),First round,Away,W 4–1,de  Germany,az  Azerbaijan,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
52,2017-04-02,Sun,La Liga,Matchweek 29,Away,W 4–1,Barcelona,Granada,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
53,2017-04-05,Wed,La Liga,Matchweek 30,Home,W 3–0,Barcelona,Sevilla,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
54,2017-04-08,Sat,La Liga,Matchweek 31,Away,L 0–2,Barcelona,Málaga,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
55,2017-04-11,Tue,Champions Lg,Quarter-finals,Away,L 0–3,es  Barcelona,it  Juventus,Y,GK,90,8,3,5,62.5,0,0,0,0,0,Match Report
56,2017-04-15,Sat,La Liga,Matchweek 32,Home,W 3–2,Barcelona,Real Sociedad,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report
57,2017-04-19,Wed,Champions Lg,Quarter-finals,Home,D 0–0,es  Barcelona,it  Juventus,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
58,2017-04-23,Sun,La Liga,Matchweek 33,Away,W 3–2,Barcelona,Real Madrid,Y,GK,90,14,2,12,85.7,0,0,0,0,0,Match Report
59,2017-04-26,Wed,La Liga,Matchweek 34,Home,W 7–1,Barcelona,Osasuna,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
60,2017-04-29,Sat,La Liga,Matchweek 35,Away,W 3–0,Barcelona,Espanyol,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
61,2017-05-06,Sat,La Liga,Matchweek 36,Home,W 4–1,Barcelona,Villarreal,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
62,2017-05-14,Sun,La Liga,Matchweek 37,Away,W 4–1,Barcelona,Las Palmas,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
63,2017-05-21,Sun,La Liga,Matchweek 38,Home,W 4–2,Barcelona,Eibar,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
64,2017-05-27,Sat,Copa del Rey,Final,Home,W 3–1,Barcelona,Alavés,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
65,2017-06-06,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,de  Germany,dk  Denmark,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
66,2017-06-10,Sat,WCQ — UEFA (M),First round,Home,W 7–0,de  Germany,sm  San Marino,Y,GK,90,,0,,,1,0,0,0,0,Match Report
