,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
17,2018-10-28,Sun,La Liga,Matchweek 10,Home,W 5–1,Barcelona,Real Madrid,Y,GK,90,4,1,3,75.0,0,0.9,0,0,0,0,7,9,77.8,26,11,23.1,30.2,8,37.5,34.8,10,1,10.0,0,11.5,Match Report
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2018-11-03,Sat,La Liga,Matchweek 11,Away,W 3–2,Barcelona,Rayo Vallecano,Y,GK,90,5,2,3,60.0,0,1.8,0,0,0,0,6,10,60.0,21,1,38.1,34.3,8,25.0,36.1,12,0,0.0,0,,Match Report
20,2018-11-06,Tue,Champions Lg,Group stage,Away,D 1–1,es  Barcelona,it  Inter,Y,GK,90,2,1,1,50.0,0,1.2,0,0,0,0,10,12,83.3,24,7,33.3,31.0,7,57.1,40.7,20,3,15.0,0,17.5,Match Report
21,2018-11-11,Sun,La Liga,Matchweek 12,Home,L 3–4,Barcelona,Betis,Y,GK,90,8,4,4,50.0,0,2.9,0,0,0,0,8,11,72.7,25,5,32.0,31.1,6,50.0,47.0,2,0,0.0,0,15.0,Match Report
22,2018-11-24,Sat,La Liga,Matchweek 13,Away,D 1–1,Barcelona,Atlético Madrid,Y,GK,90,1,1,0,0.0,0,0.2,0,0,0,0,1,3,33.3,25,3,12.0,24.2,4,0.0,17.0,9,1,11.1,0,12.0,Match Report
23,2018-11-28,Wed,Champions Lg,Group stage,Away,W 2–1,es  Barcelona,nl  PSV Eindhoven,Y,GK,90,9,1,8,88.9,0,3.4,0,0,0,0,8,16,50.0,25,7,36.0,32.8,10,70.0,45.2,10,0,0.0,1,14.8,Match Report
24,2018-12-02,Sun,La Liga,Matchweek 14,Home,W 2–0,Barcelona,Villarreal,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,2,2,100.0,16,4,6.3,22.6,3,33.3,38.3,5,0,0.0,2,19.0,Match Report
25,2018-12-05,Wed,Copa del Rey,Round of 32,Home,W 4–1,Barcelona,Leonesa,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
26,2018-12-08,Sat,La Liga,Matchweek 15,Away,W 4–0,Barcelona,Espanyol,Y,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,7,13,53.8,25,7,28.0,32.6,10,60.0,46.8,9,0,0.0,0,7.5,Match Report
