,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2022-08-13,Sat,La Liga,Matchweek 1,Home,D 0–0,Barcelona,Rayo Vallecano,Y,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,6,8,75.0,53,5,13.2,24.2,6,16.7,27.2,7,0,0.0,0,17.0,Match Report
1,2022-08-21,Sun,La Liga,Matchweek 2,Away,W 4–1,Barcelona,Real Sociedad,Y*,GK,90,5,1,4,80.0,0,1.3,0,0,0,0,3,9,33.3,35,5,22.9,29.5,5,20.0,37.8,7,0,0.0,2,24.0,Match Report
2,2022-08-28,Sun,La Liga,Matchweek 3,Home,W 4–0,Barcelona,Valladolid,Y,GK,90,2,0,2,100.0,1,0.7,0,0,0,0,1,3,33.3,23,2,8.7,23.4,5,20.0,38.0,7,2,28.6,0,6.5,Match Report
3,2022-09-03,Sat,La Liga,Matchweek 4,Away,W 3–0,Barcelona,Sevilla,Y,GK,90,4,0,4,100.0,1,1.1,0,0,0,0,7,14,50.0,41,4,29.3,29.3,4,50.0,46.8,12,0,0.0,3,14.1,Match Report
4,2022-09-07,Wed,Champions Lg,Group stage,Home,W 5–1,es  Barcelona,cz  Viktoria Plzeň,Y,GK,90,1,1,0,0.0,0,0.6,0,0,0,0,1,3,33.3,22,5,13.6,24.3,7,0.0,17.7,7,0,0.0,1,12.5,Match Report
5,2022-09-10,Sat,La Liga,Matchweek 5,Away,W 4–0,Barcelona,Cádiz,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,5,8,62.5,30,4,20.0,25.1,5,40.0,36.4,12,1,8.3,0,7.0,Match Report
6,2022-09-13,Tue,Champions Lg,Group stage,Away,L 0–2,es  Barcelona,de  Bayern Munich,Y,GK,90,4,2,2,50.0,0,2.0,0,0,0,0,8,11,72.7,39,5,23.1,29.2,6,33.3,34.3,5,0,0.0,1,19.0,Match Report
7,2022-09-17,Sat,La Liga,Matchweek 6,Home,W 3–0,Barcelona,Elche,Y*,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,0,0,,18,4,0.0,17.8,1,0.0,35.0,2,0,0.0,0,,Match Report
8,2022-09-23,Fri,UEFA Nations League,League A,Home,L 0–1,de  Germany,hu  Hungary,Y,GK,90,3,1,2,66.7,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
9,2022-09-26,Mon,UEFA Nations League,League A,Away,D 3–3,de  Germany,eng  England,Y,GK,90,7,3,5,71.4,0,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
10,2022-10-01,Sat,La Liga,Matchweek 7,Away,W 1–0,Barcelona,Mallorca,Y,GK,90,3,0,3,100.0,1,0.5,0,0,0,0,4,7,57.1,26,7,15.4,28.2,7,42.9,41.0,14,0,0.0,0,,Match Report
11,2022-10-04,Tue,Champions Lg,Group stage,Away,L 0–1,es  Barcelona,it  Inter,Y,GK,90,2,1,1,50.0,0,0.5,0,0,0,0,5,7,71.4,21,3,23.8,29.9,5,40.0,35.6,8,0,0.0,0,,Match Report
12,2022-10-09,Sun,La Liga,Matchweek 8,Home,W 1–0,Barcelona,Celta Vigo,Y,GK,90,3,0,3,100.0,1,0.5,0,0,0,0,4,10,40.0,33,4,21.2,30.3,5,60.0,39.2,14,0,0.0,1,15.3,Match Report
