,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
33,2022-03-13,18:15,Segunda División,Matchweek 31,Sun,Away,L,0,3,Oviedo,39.0,12224,Jordi Masip,4-4-2,Javier Villanueva,Match Report,
34,2022-03-19,18:15,Segunda División,Matchweek 32,Sat,Home,L,0,1,Las Palmas,47.0,15252,Jordi Masip,4-4-2,Luis Milla,Match Report,
35,2022-03-27,18:15,Segunda División,Matchweek 33,Sun,Away,W,2,1,Alcorcón,52.0,2497,Jordi Masip,4-4-2◆,Alejandro Quintero,Match Report,
36,2022-04-02,16:00,Segunda División,Matchweek 34,Sat,Home,W,4,1,Lugo,62.0,13516,Jordi Masip,4-3-3,Jon González,Match Report,
37,2022-04-09,18:15,Segunda División,Matchweek 35,Sat,Away,D,2,2,Málaga,63.0,18004,Jordi Masip,4-3-3,Juan Pulido,Match Report,
38,2022-04-16,18:15,Segunda División,Matchweek 36,Sat,Home,D,2,2,Almería,57.0,19608,Jordi Masip,4-3-3,Francisco Hernández,Match Report,
39,2022-04-24,16:15,Segunda División,Matchweek 37,Sun,Away,W,1,0,CD Mirandés,42.0,41040,Jordi Masip,4-3-3,Álvaro Moreno,Match Report,
40,2022-05-02,21:00,Segunda División,Matchweek 38,Mon,Home,L,1,2,Real Sociedad B,71.0,14326,Jordi Masip,4-3-3,David Gálvez,Match Report,
41,2022-05-08,16:00,Segunda División,Matchweek 39,Sun,Away,W,2,0,Eibar,56.0,7237,Jordi Masip,4-3-3,Luis Milla,Match Report,
42,2022-05-14,18:15,Segunda División,Matchweek 40,Sat,Home,W,2,0,Ponferradina,55.0,20213,Jordi Masip,4-3-3,Daniel Trujillo,Match Report,
43,2022-05-21,22:00,Segunda División,Matchweek 41,Sat,Away,W,2,1,UD Ibiza,54.0,4614,Jordi Masip,4-3-3,José López,Match Report,
44,2022-05-29,20:00,Segunda División,Matchweek 42,Sun,Home,W,3,0,Huesca,65.0,22397,Jordi Masip,4-3-3,Juan Pulido,Match Report,
