,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Ángel Rodríguez,9.0,es  ESP,FW,33-361,62,0,0,0,0,1,0,0,0,18,30,0,0,2,0.3,0.3,0.0,2,1,7,12,58.3,0,7,0,0,0
1,Enes Ünal,10.0,tr  TUR,FW,23-347,28,1,0,1,1,0,0,0,0,12,8,0,0,0,0.8,0.0,0.0,1,1,8,9,88.9,1,6,1,0,0
2,Takefusa Kubo,5.0,jp  JPN,LW,19-322,90,0,0,0,0,1,0,0,0,34,44,1,3,5,0.2,0.2,0.0,2,1,16,19,84.2,2,22,5,1,4
3,Iglesias,29.0,es  ESP,RW,22-293,90,0,0,0,0,0,0,0,0,29,22,2,1,1,0.0,0.0,0.2,4,1,10,17,58.8,2,20,2,1,3
4,Nemanja Maksimović,20.0,rs  SRB,CM,26-086,45,0,0,0,0,0,0,0,0,15,22,2,0,0,0.0,0.0,0.0,1,0,6,9,66.7,1,4,1,0,0
5,Mauro Arambarri,18.0,uy  URU,CM,25-204,45,0,0,0,0,0,0,0,0,11,22,0,2,1,0.0,0.0,0.0,0,0,6,7,85.7,0,9,1,1,2
6,Carles Aleñá,11.0,es  ESP,CM,23-107,45,0,0,0,0,0,0,0,0,12,35,0,1,0,0.0,0.0,0.0,0,0,7,10,70.0,2,6,1,0,0
7,Sabit Abdulai,35.0,gh  GHA,CM,21-346,45,0,0,0,0,0,0,0,0,13,13,1,1,0,0.0,0.0,0.0,0,0,7,10,70.0,1,9,1,1,2
8,Chema,6.0,es  ESP,DM,29-050,75,0,0,0,0,0,0,0,0,14,17,1,2,0,0.0,0.0,0.0,0,0,3,8,37.5,1,4,0,0,1
9,José Antonio Miranda,32.0,gq  EQG,DM,22-274,15,0,0,0,0,1,0,0,0,5,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,1,0,1
10,Marc Cucurella,15.0,es  ESP,LB,22-274,45,0,0,0,0,0,0,0,0,20,16,1,1,2,0.0,0.0,0.3,1,0,13,16,81.3,2,9,1,0,0
11,Emmanuel Amankwaa Akurugu,40.0,gh  GHA,LB,19-153,45,0,0,0,0,0,0,0,0,17,4,0,0,4,0.0,0.0,0.0,0,0,8,12,66.7,1,8,1,0,0
12,Sofian Chakla,21.0,ma  MAR,CB,27-232,90,0,0,0,0,1,0,0,0,29,8,3,3,0,0.1,0.1,0.0,0,0,11,19,57.9,4,11,1,0,0
13,Djené,2.0,tg  TOG,CB,29-112,90,0,0,0,0,0,0,0,0,29,8,1,1,1,0.0,0.0,0.0,0,0,19,22,86.4,3,14,0,1,1
14,Damián Suárez,22.0,uy  URU,RB,32-360,90,0,0,0,0,0,0,0,0,42,23,1,6,1,0.0,0.0,0.1,1,0,20,33,60.6,5,24,8,1,1
15,David Soria,13.0,es  ESP,GK,28-018,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0.0,0.0,0.0,0,0,11,23,47.8,0,6,0,0,0
16,16 Players,,,,,990,1,0,1,1,4,0,0,0,327,276,13,21,17,1.3,0.5,0.5,12,4,153,229,66.8,25,162,24,6,15
