,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Antoine Griezmann,7.0,fr  FRA,FW,30-032,90,2,2,2,0,0,1,3,33.3,2,17,5,29.4,5,8,4,1,0,0,1,1,3,0,0
1,Lionel Messi,10.0,ar  ARG,FW,33-302,90,1,0,0,1,0,0,0,,0,9,4,44.4,0,5,4,0,0,0,0,0,1,0,0
2,Pedri,16.0,es  ESP,CM,18-148,90,1,0,0,1,0,1,2,50.0,1,30,8,26.7,9,17,4,0,0,0,0,0,1,0,0
3,Frenkie de Jong,21.0,nl  NED,"CB,CM",23-345,90,1,0,0,1,0,1,2,50.0,1,13,3,23.1,5,6,2,1,0,0,1,3,4,1,0
4,Sergio Busquets,5.0,es  ESP,DM,32-280,90,1,1,1,0,0,0,0,,0,15,3,20.0,8,6,1,1,0,0,1,1,2,1,0
5,Jordi Alba,18.0,es  ESP,WB,32-032,90,3,2,1,2,0,2,2,100.0,0,10,5,50.0,3,6,1,0,0,0,0,0,3,1,0
6,Sergi Roberto,20.0,es  ESP,WB,29-074,63,1,1,0,1,0,1,2,50.0,1,13,2,15.4,4,5,4,3,0,0,3,1,2,0,0
7,Francisco Trincão,17.0,pt  POR,WB,21-114,27,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0
8,Clément Lenglet,15.0,fr  FRA,CB,25-309,45,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,2,2,2,0
9,Ilaix,27.0,es  ESP,CM,18-093,45,0,0,0,0,0,0,1,0.0,1,12,2,16.7,1,10,1,3,0,0,3,0,0,1,0
10,Gerard Piqué,3.0,es  ESP,CB,34-079,45,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,1,0,0,1,1,1,2,0
11,Ronald Araújo,4.0,uy  URU,CB,22-046,45,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,0,1,0
12,Óscar Mingueza,28.0,es  ESP,CB,21-344,74,3,1,3,0,0,2,2,100.0,0,11,5,45.5,7,4,0,0,0,0,0,1,4,0,0
13,Samuel Umtiti,23.0,fr  FRA,CB,27-159,16,1,1,0,1,0,1,1,100.0,0,2,1,50.0,0,2,0,0,0,0,0,0,1,2,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-357,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
15,15 Players,,,,,990,14,8,7,7,0,9,15,60.0,6,140,40,28.6,49,70,21,10,0,0,10,10,24,11,0
